node,archetype,spread,conc,marker,size_node,kstar_physical_line,kstar_rating_MW,kstar_rating_source,MCC_mid,MCC_eve,import_signal,export_signal,hours_covered,kstar_sum_abs_mu,kstar_contribution,top5_lines,top5_shares
HERDLYN_6_N007,WHITE,43.8699425,0.1870637749747622,filled,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,3.5021121827956994,-2.460359173387096,-2.460359173387096,-3.5021121827956994,744,306547.52955,1.3655989621350573,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | ITC:LDWP_IPP_NORTH | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,33% | 26% | 6% | 5% | 4%
TULLOCH_7_B1,WHITE,47.11387406862745,0.1848036485457852,filled,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,2.82975026344086,-1.0279326612903228,-1.0279326612903228,-2.82975026344086,744,306547.52955,1.1406173001234146,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | ITC:LDWP_IPP_NORTH | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:32225_BRNSWKT1_115_32222_DTCH2TAP_115_BR_1 _1,23% | 21% | 4% | 4% | 4%
SOUTHBY_6_B1,WHITE,43.262796127450976,0.2188165899464793,filled,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,3.5721254354838705,-2.3283575806451613,-2.3283575806451613,-3.5721254354838705,744,306547.52955,1.1269330687679047,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30575_WND MSTR_230_38610_DELTAPMP_230_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | ITC:LDWP_IPP_NORTH,23% | 22% | 15% | 14% | 5%
DELTAPMP_2_N008,WHITE,43.262796127450976,0.2188410368260917,filled,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,3.5670427419354835,-2.328332627688172,-2.328332627688172,-3.5670427419354835,744,306547.52955,1.1267086031510403,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30575_WND MSTR_230_38610_DELTAPMP_230_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | ITC:LDWP_IPP_NORTH,23% | 22% | 15% | 14% | 5%
KELSO1_7_N001,WHITE,41.638845833333335,0.1813034519623361,filled,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,3.3282261720430104,-2.430522829301075,-2.430522829301075,-3.3282261720430104,744,306547.52955,1.1367245835246151,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | ITC:LDWP_IPP_NORTH | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2,26% | 25% | 12% | 5% | 5%
KELSO2_7_N001,WHITE,41.638845833333335,0.1813034519623361,filled,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,3.3282261720430104,-2.430522829301075,-2.430522829301075,-3.3282261720430104,744,306547.52955,1.1367245835246151,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | ITC:LDWP_IPP_NORTH | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2,26% | 25% | 12% | 5% | 5%
KELSO4_7_N001,WHITE,41.638845833333335,0.1813034519623361,filled,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,3.3282261720430104,-2.430522829301075,-2.430522829301075,-3.3282261720430104,744,306547.52955,1.1367245835246151,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | ITC:LDWP_IPP_NORTH | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2,26% | 25% | 12% | 5% | 5%
KELSO3_7_N001,WHITE,41.638845833333335,0.1813034519623361,filled,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,3.3282261720430104,-2.430522829301075,-2.430522829301075,-3.3282261720430104,744,306547.52955,1.1367245835246151,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | ITC:LDWP_IPP_NORTH | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2,26% | 25% | 12% | 5% | 5%
USWPRLF_2_N004,WHITE,41.40056730392157,0.1877329207165712,filled,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,3.000279978494624,-2.4270182392473125,-2.4270182392473125,-3.000279978494624,744,306547.52955,1.1326073848076896,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | ITC:LDWP_IPP_NORTH | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2,26% | 25% | 9% | 5% | 5%
AKINGS02_7_N001,RED,112.51417463235296,0.1902721768107995,filled,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-13.034941883333332,-2.7719498263888895,-2.7719498263888895,13.034941883333332,720,306547.52955,2.1710594202838513,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:34418_KINGSBRG_115_34428_CONTADNA_115_BR_1 _1 | NOM:30879_HENTAP1 _230_30885_MUSTANGS_230_BR_1 _1,22% | 14% | 13% | 10% | 9%
