physical_line,n_scenarios,sum_abs_mu,sub1,sub2,kV,matched_path,rating_MW,rating_source,match_confidence
NOM:115kv SOC_BeBe,8.0,1593477.45961,,,115.0,,250.0,voltage proxy 115 kV,0
NOM:39021_SC21ATP _70.0_34888_ARVIN   _70.0_BR_1 _1,5.0,1498809.09848,SC21ATP,ARVIN,70.0,,150.0,voltage proxy 70 kV,0
NOM:24723_CONTROL _115_24865_TAP188  _115_BR_2 _1,1.0,768812.2122999999,CONTROL,TAP188,115.0,,250.0,voltage proxy 115 kV,0
NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,2.0,494950.52205,MOSSLD,LASAGUIL,230.0,,700.0,voltage proxy 230 kV,0
NOM:31336_HPLND JT_60.0_31370_CLVRDLJT_60.0_BR_1 _1,1.0,465063.45818,HPLNDJT,CLVRDLJT,60.0,,150.0,voltage proxy 60 kV,0
ITC:WMesaWT2_448 MVA,6.0,418272.97943,WMesaWT2,,,,448.0,ITC name (explicit MVA),0
ITC:WMesaET1_448 MVA,5.0,409005.30579,WMesaET1,,,,448.0,ITC name (explicit MVA),0
NOM:30765_LOSBANOS_230_30766_PADR FLT_230_BR_1 _1,2.0,292655.641,LOSBANOS,PADRFLT,230.0,,700.0,voltage proxy 230 kV,0
NOM:7430_KTTLM_GATES_70_1,1.0,274327.57867,,,,,,unknown,0
NOM:7430_CP6_NG,1.0,175343.22700999997,,,,,,unknown,0
NOM:31334_CLER LKE_60.0_31338_KONOCTI6_60.0_BR_1 _1,2.0,167970.29174,CLERLKE,KONOCTI6,60.0,,150.0,voltage proxy 60 kV,0
NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,2.0,163740.20814,LEGRAND,ADRATAP,115.0,,250.0,voltage proxy 115 kV,0
NOM:32214_RIO OSO _115_32225_BRNSWKT1_115_BR_1 _1,4.0,154381.88754000003,RIOOSO,BRNSWKT1,115.0,,250.0,voltage proxy 115 kV,0
NOM:34321_MCSWAINJ_70.0_34232_EXCHEQUR_70.0_BR_1 _1,1.0,134607.23774,MCSWAINJ,EXCHEQUR,70.0,,150.0,voltage proxy 70 kV,0
