node,archetype,spread,size_node,kstar_physical_line,kstar_rating_MW,Latitude,Longitude,Plant Name,conc
KRNCNYN_6_N001,BLUE,946.4850750490197,228262441.716,NOM:39021_SC21ATP _70.0_34888_ARVIN   _70.0_BR_1 _1,150.0,35.44072,-118.796498,Kern Canyon,0.1018996573270726
AVENAL_6_GN001,RED,805.7725104656863,41548811.7795,NOM:34548_KETTLEMN_70.0_34552_GATES   _70.0_BR_1 _1,150.0,35.996324,-120.15146,CED Avenal,0.0548060884206959
AVENGEN_7_N002,RED,805.7725104656863,41548811.7795,NOM:34548_KETTLEMN_70.0_34552_GATES   _70.0_BR_1 _1,150.0,38.226752,-121.843271,Goose Haven Energy Center,0.0548060884206959
AVENAL_6_GN002,RED,805.7725104656863,41548811.7795,NOM:34548_KETTLEMN_70.0_34552_GATES   _70.0_BR_1 _1,150.0,35.996324,-120.15146,CED Avenal,0.0548060884206959
AVENAL_6_GN003,RED,805.7725104656863,41548811.7795,NOM:34548_KETTLEMN_70.0_34552_GATES   _70.0_BR_1 _1,150.0,35.996324,-120.15146,CED Avenal,0.0548060884206959
AVENGEN_7_N001,RED,805.7725104656863,41548811.7795,NOM:34548_KETTLEMN_70.0_34552_GATES   _70.0_BR_1 _1,150.0,38.226752,-121.843271,Goose Haven Energy Center,0.0548060884206959
VENTSO_7_N2,BLUE,654.1180762009803,141212928.79050002,NOM:22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1,150.0,36.386944,-120.236667,Five Points Solar Park,0.1101178425705229
