node,archetype,spread,size_node,kstar_physical_line,kstar_rating_MW,Latitude,Longitude,Plant Name,conc
AVENGEN_7_N001,RED,798.512858382353,53069662.389,NOM:34548_KETTLEMN_70.0_34552_GATES   _70.0_BR_1 _1,150.0,38.226752,-121.843271,Goose Haven Energy Center,0.045003331150075
AVENAL_6_GN001,RED,798.512858382353,53069662.389,NOM:34548_KETTLEMN_70.0_34552_GATES   _70.0_BR_1 _1,150.0,35.996324,-120.15146,CED Avenal,0.045003331150075
AVENAL_6_GN002,RED,798.512858382353,53069662.389,NOM:34548_KETTLEMN_70.0_34552_GATES   _70.0_BR_1 _1,150.0,35.996324,-120.15146,CED Avenal,0.045003331150075
AVENAL_6_GN003,RED,798.512858382353,53069662.389,NOM:34548_KETTLEMN_70.0_34552_GATES   _70.0_BR_1 _1,150.0,35.996324,-120.15146,CED Avenal,0.045003331150075
AVENGEN_7_N002,RED,798.512858382353,53069662.389,NOM:34548_KETTLEMN_70.0_34552_GATES   _70.0_BR_1 _1,150.0,38.226752,-121.843271,Goose Haven Energy Center,0.045003331150075
CANTGEN_7_N002,RED,204.68286460784316,2021456786.058,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,36.425085,-120.343543,Cantua Solar Station,0.1151795352907913
