physical_line,n_scenarios,sum_abs_mu,sub1,sub2,kV,matched_path,rating_MW,rating_source,match_confidence
ITC:CZ 345kV,1.0,499428.4763,CZ,,345.0,,1300.0,voltage proxy 345 kV,0
NOM:24723_CONTROL _115_24865_TAP188  _115_BR_2 _1,1.0,396727.90875,CONTROL,TAP188,115.0,,250.0,voltage proxy 115 kV,0
NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,3.0,206350.26588000002,LOSBANOS,PANOCHE,230.0,Midway -Los Banos,5400.0,WECC path 15,7
NOM:35618_SN JSE A_115_35620_EL PATIO_115_BR_1 _1,4.0,195580.542,SNJSEA,ELPATIO,115.0,,250.0,voltage proxy 115 kV,0
ITC:HWD_FAR A REA,1.0,183556.00632,HWD,,,,,unknown,0
NOM:7820_TL 230S_OVERLOAD_NG,1.0,157654.78767,,,,,,unknown,0
NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,1.0,101805.47822,DEVERS,,500.0,,2500.0,voltage proxy 500 kV,0
ITC:WINDSTAR EXPORT TCOR,1.0,96650.0179,WINDSTAR,,,,,unknown,0
NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1,4.0,90767.93418,PANOCHE,GATES,230.0,Midway -Los Banos,5400.0,WECC path 15,5
NOM:31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11,1.0,90546.06473,CARIBOU,XF,115.0,,250.0,voltage proxy 115 kV,0
NOM:31336_HPLND JT_60.0_31206_HPLND JT_115_XF_2,2.0,88013.13106,HPLNDJT,,115.0,,250.0,voltage proxy 115 kV,0
NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,1.0,74389.28424000001,LEGRAND,ADRATAP,115.0,,250.0,voltage proxy 115 kV,0
NOM:31374_GYSRJCT1_60.0_31382_FTCHMTNP_60.0_BR_1 _1,1.0,69873.69717,GYSRJCT1,FTCHMTNP,60.0,,150.0,voltage proxy 60 kV,0
NOM:36850_KIFER   _115_35615_FMC     _115_BR_1 _1,2.0,63489.232220000005,KIFER,FMC,115.0,,250.0,voltage proxy 115 kV,0
NOM:115kv LK,2.0,63345.021380000006,,,115.0,,250.0,voltage proxy 115 kV,0
NOM:35356_MNTA VSA_115_30705_MONTAVIS_230_XF_4,1.0,61837.70844,MNTAVSA,MONTAVIS,230.0,,700.0,voltage proxy 230 kV,0
NOM:24723_CONTROL _115_24866_TAP189  _115_BR_1 _1,1.0,61141.07587,CONTROL,TAP189,115.0,,250.0,voltage proxy 115 kV,0
NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,1.0,53253.42225,MOSSLD,LASAGUIL,230.0,,700.0,voltage proxy 230 kV,0
NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1,1.0,52420.63005,MESACAL,LAGUBELL,230.0,,700.0,voltage proxy 230 kV,0
NOM:30472_PEABODY _230_30529_BRDSLDNG_230_BR_1 _1,1.0,43397.60768,PEABODY,BRDSLDNG,230.0,,700.0,voltage proxy 230 kV,0
NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,2.0,42332.18248999999,LOSBANOS,GATES1,500.0,Midway -Los Banos,5400.0,WECC path 15,5
ITC:NWMT_AMPS_EAST,2.0,28786.171299999998,NWMT,,,,,unknown,0
ITC:PACE_FOURCORNE345_ITC,2.0,27363.26892,PACE,,,,,unknown,0
ITC:FRCE-PINT1,1.0,19289.659660000005,FRCE,PINT1,,,,unknown,0
NOM:30105_COTTNWD _230_30245_ROUND MT_230_BR_2 _1,1.0,18709.1252,COTTNWD,ROUNDMT,230.0,,700.0,voltage proxy 230 kV,0
NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1,2.0,18600.910840000004,TESLA,LOSBANOS,500.0,,2500.0,voltage proxy 500 kV,0
NOM:VC_TL_681B_import_NG,1.0,16869.496400000004,,,,,,unknown,0
ITC:TEPC_BA_IMP_ITC,1.0,16834.55964,TEPC,,,,,unknown,0
NOM:Lugo AA bank outage  Area EXP,1.0,16594.97906,,,,,,unknown,0
NOM:7690-INYOKN_VOLTAGE_EX_NG,1.0,15650.84598,,,,,,unknown,0
ITC:MALIN500_ISL,2.0,13214.96613,MALIN500,,,,,unknown,0
ITC:Line_PR-CVN_345KV,2.0,10977.53241,PR,CVN,345.0,,1300.0,voltage proxy 345 kV,0
ITC:HURRICAW_WALAWALA_230,1.0,10626.64953,HURRICAW,,,,,unknown,0
ITC:SRP_SYSTEM_ITC,2.0,10470.94833,SRP,,,,,unknown,0
NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,3.0,9937.385560000002,GATES1,MIDWAY,500.0,Midway -Los Banos,5400.0,WECC path 15,5
NOM:31336_HPLND JT_60.0_31370_CLVRDLJT_60.0_BR_1 _1,1.0,9602.51077,HPLNDJT,CLVRDLJT,60.0,,150.0,voltage proxy 60 kV,0
NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3,1.0,7859.930550000001,MIDWAY,VINCENT,500.0,Northern -Southern California,4000.0,WECC path 26,6
NOM:24087_MAGUNDEN_230_24401_ANTELOPE_230_BR_1 _1,1.0,7004.61904,MAGUNDEN,ANTELOPE,230.0,,700.0,voltage proxy 230 kV,0
NOM:22740_SANYSDRO_69.0_22616_OTAYLKTP_69.0_BR_1 _1,1.0,6966.5934099999995,SANYSDRO,OTAYLKTP,69.0,,150.0,voltage proxy 69 kV,0
NOM:30705_MONTAVIS_230_30730_HICKS   _230_BR_2 _1,1.0,6587.820030000001,MONTAVIS,HICKS,230.0,,700.0,voltage proxy 230 kV,0
NOM:30500_BELLOTA _230_30515_WARNERVL_230_BR_1 _1,2.0,6423.2783899999995,BELLOTA,WARNERVL,230.0,,700.0,voltage proxy 230 kV,0
NOM:34375_ULTPWRJ _115_34377_AIRPROD _115_BR_1 _1,1.0,6197.58975,ULTPWRJ,AIRPROD,115.0,,250.0,voltage proxy 115 kV,0
NOM:OMS_17337774_ML_BK81_NG,1.0,6012.492840000001,,,,,,unknown,0
NOM:MIGUEL_BKs_MXFLW_NG,1.0,5688.36613,,,,,,unknown,0
ITC:EPE_NET_ITC,2.0,4360.23974,EPE,,,,,unknown,0
ITC:PACE_POPWEST_ITC,1.0,4289.1315700000005,PACE,,,,,unknown,0
NOM:22886_SUNCREST_230_22885_SUNCREST_500_XF_2 _P,1.0,3719.05895,SUNCREST,,500.0,,2500.0,voltage proxy 500 kV,0
NOM:VC_TL_681B_export_NG,1.0,3605.38833,,,,,,unknown,0
ITC:MRHL_STMW_V11712,1.0,3533.61366,MRHL,,,,,unknown,0
ITC:LDWP_IPP_NORTH,2.0,3330.1520499999997,LDWP,,,,,unknown,0
ITC:LDWP_IPPDC-NS,1.0,3227.9979799999996,LDWP,,,,,unknown,0
ITC:TEPC_BA_EXP_ITC,1.0,3123.8028000000004,TEPC,,,,,unknown,0
NOM:24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1,1.0,2802.73482,NEENACH,TAP85,66.0,,,voltage 66 kV (no proxy),0
NOM:39536_FINKSS_230_38402_WSTLYTID_230_BR_1_1,2.0,2797.19828,FINKSS,WSTLYTID,230.0,,700.0,voltage proxy 230 kV,0
NOM:OMS_17256009_TL50005_NG,1.0,2664.52755,,,,,,unknown,0
ITC:PNM_SRP_ITC,2.0,2423.21855,PNM,,,,,unknown,0
NOM:22604_OTAY    _69.0_22616_OTAYLKTP_69.0_BR_1 _1,1.0,2016.99298,OTAY,OTAYLKTP,69.0,,150.0,voltage proxy 69 kV,0
NOM:30460_VACA-DIX_230_30472_PEABODY _230_BR_1 _1,1.0,1986.8601599999995,VACA-DIX,PEABODY,230.0,,700.0,voltage proxy 230 kV,0
ITC:PACE_PATHC_ITC,2.0,1955.62932,PACE,,,,,unknown,0
NOM:30460_VACA-DIX_230_30478_LAMBIE  _230_BR_1 _1,1.0,1819.85475,VACA-DIX,LAMBIE,230.0,,700.0,voltage proxy 230 kV,0
ITC:WMesaWT2_448 MVA,1.0,1801.8495,WMesaWT2,,,,448.0,ITC name (explicit MVA),0
ITC:ME-USAF 138,1.0,1668.86597,ME,USAF,,,,unknown,0
NOM:TL687_BREGGO_NAROWS,1.0,1622.56278,,,,,,unknown,0
NOM:25634_BUCKWND _115_25625_TAP809  _115_BR_1 _1,1.0,1466.2998899999998,BUCKWND,TAP809,115.0,,250.0,voltage proxy 115 kV,0
NOM:34540_HENRITTA_70.0_30881_HENRIETA_230_XF_4,1.0,1453.81336,HENRITTA,HENRIETA,230.0,,700.0,voltage proxy 230 kV,0
NOM:32056_CORTINA _60.0_30451_CRTNA  M_ 1.0_XF_1,1.0,1343.5402800000002,CORTINA,,60.0,,150.0,voltage proxy 60 kV,0
NOM:30055_GATES1  _500_30900_GATES   _230_XF_12_P,1.0,1322.39487,GATES1,GATES,500.0,Midway -Los Banos,5400.0,WECC path 15,5
NOM:OMS 50004 IV-ML OUTAGE_NG,1.0,1188.87977,,,,,,unknown,0
