node,spread_D2,spread_D4,spread_D8
0096WD_7_N001,34.64785150735295,57.112140196078435,76.12238219362746
1501WDC2_7_ND001,41.50911911764706,67.35600036764706,90.39543984068627
2C559EQ2_7_N001,34.60049170343137,57.043640196078435,76.11700155637256
2C559_1_B1,34.60049170343137,57.043640196078435,76.11700155637256
2C577C1_7_N001,64.88520970588235,103.66392231617647,141.53532789215683
2PBLSM34_7_N001,30.18172363970588,47.35693487745098,58.32442460784314
3PEAKS_1_BESS1GNODE,19.95362745098039,33.3708931372549,54.5429068627451
3PEAKS_GNODE1,17.513081862745096,27.861239779411765,34.28850174019608
4C687C2_7_N001,31.166095134803918,51.10033899509804,69.30341727941176
4C687_1_B1,31.166095134803918,51.10033899509804,69.30341727941176
4C744C12_7_N001,34.60049170343137,57.043640196078435,76.11700155637256
4C744C22_7_N001,34.60049170343137,57.043640196078435,76.11700155637256
4C744C32_7_N001,34.60049170343137,57.043640196078435,76.11700155637256
4C744C42_7_N001,34.60049170343137,57.043640196078435,76.11700155637256
90TH.SO_GNODEPDRP1,10.676873627450982,16.688223235294117,21.2069437377451
ACACIA_7_N001,30.278980294117652,49.222096029411766,63.720390857843135
ADCC_2_N001,30.485766335784312,50.017289240196085,63.802018958333335
ADERAG1_7_N001,152.21151495098042,259.8157675,420.5135659803922
ADRATAP_1_B1,152.21151495098042,259.8157675,420.5135659803922
AGATEBAY_7_GNODE1,33.056991311274516,45.84413149509804,60.477685208333334
AGRCJCT_6_B1,86.25218351715687,142.53392158088238,209.1641265808824
AGRICO_7_NBT1,86.25218351715687,142.53392158088238,209.1641265808824
AGUCALG1_7_B1,37.72726372549019,59.38877333333333,80.19241354166667
AIRPORT_GNODE1,30.318422328431375,45.86962555147059,57.112668541666665
AKINGS02_7_N001,63.00054044117647,105.31924558823532,149.92051216911767
ALAMITOS_2_B1,31.230438750000005,50.34246901960785,64.51917193627452
ALAMIT_7_NBT2,31.230438750000005,50.34246901960785,64.51917193627452
ALAMOSC_7_N001,30.001429485294118,47.607019779411765,58.30029585784314
ALAMT1G_7_B1,31.230438750000005,50.34246901960785,64.51917193627452
ALAMT2G_7_B1,31.230438750000005,50.34246901960785,64.51917193627452
ALAMT3G_7_B1,31.230438750000005,50.34246901960785,64.51917193627452
ALAMT4G_7_B1,31.230438750000005,50.34246901960785,64.51917193627452
ALAMT5G_7_B1,31.230438750000005,50.34246901960785,64.51917193627452
ALAMT6G_7_B1,31.230438750000005,50.34246901960785,64.51917193627452
ALASB1_7_NSB1,31.0458337377451,50.048544203431376,63.57451387254902
ALASB2_7_NSB2,31.146411519607845,50.2832900122549,63.21444607843137
ALLEGHNY_6_N002,24.32937287990196,40.68215738970588,59.51479267156863
ALMASL3_7_N001,25.664240477941178,40.647354485294116,58.04821965686274
ALMASL3_7_N002,25.664240477941178,40.647354485294116,58.04821965686274
ALMASL_7_GUB6N,25.664240477941178,40.647354485294116,58.04821965686274
ALMASL_7_GUS6N,25.664240477941178,40.647354485294116,58.04821965686274
ALMASL_7_GUS7N,25.664240477941178,40.647354485294116,58.04821965686274
ALMDACT1_7_B1,33.63369852941176,55.78397919117647,75.44564958333333
ALMDACT2_7_B1,33.63369852941176,55.78397919117647,75.44564958333333
ALMERGB2_7_N001,31.230438750000005,50.34246901960785,64.51917193627452
ALPAUGH_7_N001,35.47901073529412,57.98475008578431,79.28363727941176
ALTA1G_7_B1,39.4513887254902,61.343339644607845,87.01037727941176
ALTA2G_7_B1,39.4513887254902,61.343339644607845,87.01037727941176
ALTA6B2_7_N003,31.769084436274504,51.875696004901954,61.38985602941177
ALTA6E2_7_N002,31.769084436274504,51.875696004901954,61.38985602941177
ALTAD1_7_N006,31.769084436274504,51.875696004901954,61.38985602941177
ALTAD2_7_N006,31.769084436274504,51.873293063725484,61.38985602941177
ALTAPES_7_N001,29.214550833333334,44.13789571078431,57.344162855392156
ALTWD1_7_N003,27.486754007352943,40.89801694852942,52.72007718137255
ALTWD1_7_N004,27.486754007352943,40.89801694852942,52.72007718137255
AMERIGAS_1_GN001,25.73337762254902,40.16433927696079,58.31730208333333
AMWWD1_1_NWD1,27.63675734068628,40.75578629901961,52.767003982843136
ANGELA_7_N001,31.375436691176475,52.1909568627451,78.08905588235295
ANGELA_7_N002,31.375436691176475,52.1909568627451,78.08905588235295
ANTELOPE_2_B1,30.400453627450982,49.05787958333333,60.004247426470585
ANTELOPE_6_B1,30.278980294117652,49.222096029411766,63.720390857843135
APLHILGN_7_N002,27.28970240196079,43.5687262745098,62.86047085784314
APPALOSA_3_SOLAR1GNODE,17.46044705882353,28.267588455882354,34.56693730392156
APPLEHL_1_N004,27.28970240196079,43.5687262745098,62.86047085784314
AQUAWS_7_CN1,48.834511519607844,77.54573693627451,100.54441170343138
AQUAWS_7_N002,48.834511519607844,77.54573693627451,100.54441170343138
ARAMIS_7_N001,33.567737916666665,59.263503700980394,95.61346463235292
ARAMIS_7_N002,33.567737916666665,59.263503700980394,95.61346463235292
ARAMIS_7_N003,33.567737916666665,59.263503700980394,95.61346463235292
ARAMIS_7_N004,33.567737916666665,59.263503700980394,95.61346463235292
ARCATA_6_N001,25.130970649509806,37.04486746323529,51.24487943627451
ARCATA_7_N001,25.130970649509806,37.04486746323529,51.24487943627451
ARCATA_7_N003,28.332126960784315,37.57630161764706,52.65951166666667
ARLNG1MV_7_N002,24.82891642156863,38.8305093382353,56.96056254901961
ARLNG2MV_7_N001,24.82891642156863,38.8305093382353,56.96056254901961
ARROWHE_7_GNODE1,10.083659436274509,15.214207499999999,18.95915799019608
ASHLAN_2_N001,63.47178382352941,111.08605231617648,158.0668834681373
ASHTON_6_GNODE1,6.272798553921569,9.44325068627451,11.213815367647058
ASTORIA1_7_N001,31.9623168995098,52.164749779411764,64.8919256617647
ASTORIA2_7_N001,31.9623168995098,52.164749779411764,64.8919256617647
ATHOS_7_CN1,25.72194905637255,40.74819370098039,58.04821965686274
ATHOS_7_CN13,25.72194905637255,40.74819370098039,58.04821965686274
ATHOS_7_CN5,25.72194905637255,40.74819370098039,58.04821965686274
ATHOS_7_CN6,25.72194905637255,40.74819370098039,58.04821965686274
ATLAS2_6_N019,23.461886838235294,39.04524139705883,57.35758017156862
ATLAS2_6_N020,23.461886838235294,39.04524139705883,57.35758017156862
ATLAS2_6_N021,23.461886838235294,39.04524139705883,57.35758017156862
ATLAS2_6_N022,23.461886838235294,39.04524139705883,57.35758017156862
ATLAS2_6_N023,23.461886838235294,39.04524139705883,57.35758017156862
ATLAS2_6_N024,23.461886838235294,39.04524139705883,57.35758017156862
ATLAS2_6_N025,23.461886838235294,39.04524139705883,57.35758017156862
ATLAS2_6_N026,23.461886838235294,39.04524139705883,57.35758017156862
ATLASC_6_N019,26.866660049019607,43.1532231372549,60.217676629901966
ATLASC_6_N020,26.866660049019607,43.1532231372549,60.217676629901966
ATLASC_6_N021,26.866660049019607,43.1532231372549,60.217676629901966
ATLASC_6_N022,26.866660049019607,43.1532231372549,60.217676629901966
ATLASC_6_N023,26.866660049019607,43.1532231372549,60.217676629901966
ATLASC_6_N024,26.866660049019607,43.1532231372549,60.217676629901966
ATWELL_1_N001,35.47901073529412,57.98475008578431,78.44449900735293
AVENAL_6_GN001,371.85934093137257,710.574902009804,1004.0782630759804
AVENAL_6_GN002,371.85934093137257,710.574902009804,1004.0782630759804
AVENAL_6_GN003,371.85934093137257,710.574902009804,1004.0782630759804
AVENGEN_7_N001,371.85934093137257,710.574902009804,1004.0782630759804
AVENGEN_7_N002,371.85934093137257,710.574902009804,1004.0782630759804
AVEP_7_ND001,31.9623168995098,52.164749779411764,64.8919256617647
AVLYSLR_7_CN1,30.008546078431372,49.56661225490196,72.4559875245098
AVSOLAR_7_N008,31.9623168995098,52.164749779411764,64.8919256617647
AZALEA_7_N001,41.1976431372549,63.95239843137254,86.5433718872549
AZALEA_7_N002,41.1976431372549,63.95239843137254,86.5433718872549
BALCH3TP_2_B1,69.08416526960784,120.29538381127452,173.62881796568627
BANGOR_6_N004,23.701342340686274,40.68215738970588,59.51479267156863
BARPKGEN_7_B1,31.0458337377451,50.048544203431376,63.57451387254902
BARRE_2_N043,31.0458337377451,50.048544203431376,63.57451387254902
BARRE_6_N010,31.0458337377451,50.048544203431376,63.57451387254902
BARRE_6_N011,31.0458337377451,50.048544203431376,63.57451387254902
BARTON_1_N001,65.40452558823529,115.33950682598041,175.89279446078433
BASELINE_GNODE1,16.27678774509804,25.76944549019608,32.59241263480392
BAYMDWS_1_N004,36.96878485294118,58.344188161764706,79.22445598039215
BCKSCRK_2_B1,26.968286985294117,45.4962174754902,63.86654745098039
BCKSCRK_2_N004,26.968286985294117,45.4962174754902,63.86654745098039
BCKSCRK_7_N002,26.968286985294117,45.4962174754902,63.86654745098039
BCRK1-2_1_N003,29.78872718137255,48.49577898284314,57.11813901960785
BCRK1-2_1_N004,29.78872718137255,48.49577898284314,57.11813901960785
BEARCRK_6_N001,19.67729895833333,30.93639151960784,43.5588025245098
BEARCRK_6_N010,19.67729895833333,30.93639151960784,43.5588025245098
BEARDSLY_7_B1,43.75008590686275,70.94118840686275,100.60146090686275
BELDEN_7_B1,22.30959520833333,37.62921,51.50579519607844
BELLEF_7_CN01,31.769084436274504,51.873293063725484,61.38985602941177
BELLEF_7_CN04,31.769084436274504,51.875696004901954,61.38985602941177
BELLEF_7_CN05,31.769084436274504,51.875696004901954,61.38985602941177
BELLEF_7_CN06,31.769084436274504,51.873293063725484,61.38985602941177
BELLEF_7_CN07,31.769084436274504,51.875696004901954,61.38985602941177
BELLEF_7_CN08,31.769084436274504,51.875696004901954,61.38985602941177
BELLOTA_2_B1,28.004613774509806,48.36287394607844,69.7273068504902
BELLPGE_1_N001,26.156175612745102,42.128516715686274,59.0517662132353
BEND_NODE1,32.058197144607846,44.90654579656863,59.57171345588235
BEND_NODE2,32.058197144607846,44.90654579656863,59.57171345588235
BEND_NODE3,32.058197144607846,44.90654579656863,59.57171345588235
BERCYN_7_N001,33.9544331127451,53.08705084558824,75.85428662990196
BERNARDO_6_N001,37.88193887254902,60.15117365196078,84.69709049019608
BESSGEN_7_N001,37.96995357843137,56.39724601715687,72.72971984068627
BESSGEN_7_N002,37.96995357843137,56.39724601715687,72.72971984068627
BESSGEN_7_N003,37.96995357843137,56.39724601715687,72.72971984068627
BESS_G1_7_N002,65.06820431372549,106.64203176470589,161.27794549019606
BGSKYGN3_7_N001,30.400453627450982,49.05787958333333,60.004247426470585
BIGCHARL_2_UNIT1GNODE,15.549052622549022,25.85103578431373,35.57497165441177
BIGCRK1_2_B1,29.78872718137255,48.49577898284314,57.11813901960785
BIGCRK2_2_B1,29.78872718137255,48.49577898284314,57.11813901960785
BIGCRK3_2_B1,29.78872718137255,48.49577898284314,57.11813901960785
BIGCRK4_2_B1,29.78872718137255,48.49577898284314,57.11813901960785
BIGCRK8_2_B1,29.78872718137255,48.49577898284314,57.11813901960785
BIGSK230_2_N022,30.400453627450982,49.05787958333333,60.004247426470585
BIGSK230_2_N023,30.400453627450982,49.05787958333333,60.004247426470585
BIGSK230_2_N024,30.400453627450982,49.05787958333333,60.004247426470585
BIGSK230_2_N025,30.400453627450982,49.05787958333333,60.004247426470585
BIGSKGN1134_7_N026,30.400453627450982,49.05787958333333,60.004247426470585
BIGSKGN1_7_N001,30.400453627450982,49.05787958333333,60.004247426470585
BIGSKGN2_7_N001,30.400453627450982,49.05787958333333,60.004247426470585
BIGSKGN3_7_N001,30.400453627450982,49.05787958333333,60.004247426470585
BIGSKGN4_7_N001,30.400453627450982,49.05787958333333,60.004247426470585
BIGSKGN5_7_N001,30.400453627450982,49.05787958333333,60.004247426470585
BIGSKGN6_7_N001,30.400453627450982,49.05787958333333,60.004247426470585
BIGSKGN7_7_N001,30.400453627450982,49.05787958333333,60.004247426470585
BIOMAS_NODEW,33.049996311274505,45.81088140931372,60.414170208333324
BIOMSJCT_6_B1,140.33678774509804,257.6423467892157,442.4929118382353
BIOMSJCT_6_GN001,140.33678774509804,257.6423467892157,442.4929118382353
BKR111_7_N002,34.02062634803922,57.043640196078435,76.10099861519609
BKRSFLD_2_N001,34.02062634803922,57.043640196078435,76.10099861519609
BLACKWLL_6_B1,41.50911911764706,67.35600036764706,90.39543984068627
BLACKWLL_7_N002,41.50911911764706,67.35600036764706,90.39543984068627
BLACKWLL_7_N004,41.50911911764706,67.35600036764706,90.39543984068627
BLAST_7_N005,27.504184240196082,40.89726507352941,52.71677176470589
BLCKBUTT_7_B1,20.288564791666666,31.20223681372549,43.06224662990196
BLKDIA_7_N001,31.230541605392155,50.900187426470595,69.10863797794117
BLKDMDBT_7_N002,31.166095134803918,51.10032551470589,69.30341727941176
