node,archetype,MCC_mid,MCC_eve,import_signal,export_signal,spread,conc,marker,hours_covered
KRNSNST_7_N001,BLUE,95.20282054444445,299.45125363194444,299.45125363194444,-95.20282054444445,1718.2274613235295,0.13335556110859106,filled,720
SC21ATP_6_B1,RED,-69.41685569444445,-187.32607370833333,-187.32607370833333,69.41685569444445,1188.7780401470588,0.2061269716587672,filled,720
S621AC_7_N002,RED,-69.41685569444445,-187.32607370833333,-187.32607370833333,69.41685569444445,1188.7780401470588,0.2061269716587672,filled,720
S621AC_7_N001,RED,-69.41685569444445,-187.32607370833333,-187.32607370833333,69.41685569444445,1188.7780401470588,0.2061269716587672,filled,720
KRNCNYN_6_N001,BLUE,61.69008251666667,201.702385125,201.702385125,-61.69008251666667,1171.1602033333334,0.13130772495227436,filled,720
RIOBRVQF_6_N001,BLUE,61.69008251666667,201.702385125,201.702385125,-61.69008251666667,1171.1602033333334,0.13130772495227436,filled,720
AVENAL_6_GN003,RED,-135.60181623888892,-3.309085361111111,-3.309085361111111,135.60181623888892,808.2458426470589,0.050419187883757294,filled,720
AVENAL_6_GN002,RED,-135.60181623888892,-3.309085361111111,-3.309085361111111,135.60181623888892,808.2458426470589,0.050419187883757294,filled,720
AVENGEN_7_N002,RED,-135.60181623888892,-3.309085361111111,-3.309085361111111,135.60181623888892,808.2458426470589,0.050419187883757294,filled,720
AVENGEN_7_N001,RED,-135.60181623888892,-3.309085361111111,-3.309085361111111,135.60181623888892,808.2458426470589,0.050419187883757294,filled,720
AVENAL_6_GN001,RED,-135.60181623888892,-3.309085361111111,-3.309085361111111,135.60181623888892,808.2458426470589,0.050419187883757294,filled,720
GRAPEVNE_6_GN001,RED,-29.725812111111107,-66.72988104166667,-66.72988104166667,29.725812111111107,429.79296529411766,0.14839474978364903,filled,720
CONTROL_1_B1,RED,-32.02280861111112,-18.026390979166667,-18.026390979166667,32.02280861111112,374.563819877451,0.1251511549873803,filled,720
CSADIAB_7_N001,RED,-32.02280861111112,-18.026390979166667,-18.026390979166667,32.02280861111112,374.563819877451,0.1251511549873803,filled,720
CONTROLX_1_N009,RED,-32.02280861111112,-18.026390979166667,-18.026390979166667,32.02280861111112,374.563819877451,0.1251511549873803,filled,720
CONTROLX_1_N008,RED,-32.02280861111112,-18.026390979166667,-18.026390979166667,32.02280861111112,374.563819877451,0.1251511549873803,filled,720
CONTROLX_1_N005,RED,-32.02280861111112,-18.026390979166667,-18.026390979166667,32.02280861111112,374.563819877451,0.1251511549873803,filled,720
CONTROLX_1_N003,RED,-32.02280861111112,-18.026390979166667,-18.026390979166667,32.02280861111112,374.563819877451,0.1251511549873803,filled,720
CONTROL_1_N034,RED,-32.02280861111112,-18.026390979166667,-18.026390979166667,32.02280861111112,374.563819877451,0.1251511549873803,filled,720
CONTROLX_1_N010,RED,-32.02280861111112,-18.026390979166667,-18.026390979166667,32.02280861111112,374.563819877451,0.1251511549873803,filled,720
CONTROL_7_N021,RED,-28.73242816666667,-16.269424743055556,-16.269424743055556,28.73242816666667,338.52225022058826,0.12599914331141662,filled,720
CONTROL_7_B1,RED,-28.73242816666667,-16.269424743055556,-16.269424743055556,28.73242816666667,338.52225022058826,0.12599914331141662,filled,720
ADRATAP_1_B1,RED,-41.849323955555555,-10.092628687500003,-10.092628687500003,41.849323955555555,303.56537862745097,0.12444071484769999,filled,720
ADERAG1_7_N001,RED,-41.849323955555555,-10.092628687500003,-10.092628687500003,41.849323955555555,303.56537862745097,0.12444071484769999,filled,720
DARYLDGN_7_N002,RED,-42.24035908888889,-11.913795562500004,-11.913795562500004,42.24035908888889,291.09168387254897,0.11387997507467383,filled,720
DARYLDGN_7_N003,RED,-42.24035908888889,-11.913795562500004,-11.913795562500004,42.24035908888889,291.09168387254897,0.11387997507467383,filled,720
DAIRYLND_1_N013,RED,-42.24035908888889,-11.913795562500004,-11.913795562500004,42.24035908888889,291.09168387254897,0.11387997507467383,filled,720
LAKEVIEW_7_N001,RED,-20.94287695555556,-40.171615340277775,-40.171615340277775,20.94287695555556,276.32351617647055,0.10285284559512464,filled,720
S622B_7_N003,RED,-20.94287695555556,-40.171615340277775,-40.171615340277775,20.94287695555556,276.32351617647055,0.10285284559512464,filled,720
LTBERA06_7_N003,RED,-44.841540772222224,-26.870630743055553,-26.870630743055553,44.841540772222224,242.90263573529415,0.08198786514097636,filled,720
Q607GEN_7_N002,RED,-44.841540772222224,-26.870630743055553,-26.870630743055553,44.841540772222224,242.90263573529415,0.08198786514097636,filled,720
MENDOTA_1_B1,RED,-44.841540772222224,-26.870630743055553,-26.870630743055553,44.841540772222224,242.90263573529415,0.08198786514097636,filled,720
LTBERA03_7_N001,RED,-44.841540772222224,-26.870630743055553,-26.870630743055553,44.841540772222224,242.90263573529415,0.08198786514097636,filled,720
LTBERA04_7_N001,RED,-44.841540772222224,-26.870630743055553,-26.870630743055553,44.841540772222224,242.90263573529415,0.08198786514097636,filled,720
BIOMSJCT_6_B1,RED,-44.841540772222224,-26.870630743055553,-26.870630743055553,44.841540772222224,242.90263573529415,0.08198786514097636,filled,720
LTBERA05_7_N002,RED,-44.841540772222224,-26.870630743055553,-26.870630743055553,44.841540772222224,242.90263573529415,0.08198786514097636,filled,720
BIOMSJCT_6_GN001,RED,-44.841540772222224,-26.870630743055553,-26.870630743055553,44.841540772222224,242.90263573529415,0.08198786514097636,filled,720
SOLBGEN_7_N001,RED,-44.841540772222224,-26.870630743055553,-26.870630743055553,44.841540772222224,242.90263573529415,0.08198786514097636,filled,720
Q829GEN_7_N001,RED,-28.96958027777778,-6.278774138888889,-6.278774138888889,28.96958027777778,236.87854208333334,0.08617362915088536,filled,720
Q829GEN_7_N002,RED,-28.96958027777778,-6.278774138888889,-6.278774138888889,28.96958027777778,236.87854208333334,0.08617362915088536,filled,720
LASAGUIL_2_B1,RED,-28.96958027777778,-6.278774138888889,-6.278774138888889,28.96958027777778,236.87854208333334,0.08617362915088536,filled,720
WRGTSRGN_7_N001,RED,-78.43955622777779,-18.52776095138889,-18.52776095138889,78.43955622777779,222.6045149754902,0.0631154042065194,filled,720
