node,archetype,spread,conc,marker,size_node,kstar_physical_line,kstar_rating_MW,kstar_rating_source,MCC_mid,MCC_eve,import_signal,export_signal,hours_covered,kstar_sum_abs_mu,kstar_contribution,top5_lines,top5_shares
STRAUS34_7_N001,RED,105.09002431372552,0.1481064172944292,filled,3474149647.05,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-12.568122738888896,-6.842446229166668,-6.842446229166668,12.568122738888896,720,643361.04575,2.7010253922342087,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30879_HENTAP1 _230_30885_MUSTANGS_230_BR_1 _1 | NOM:30885_MUSTANGS_230_30900_GATES   _230_BR_2 _1,39% | 17% | 11% | 10% | 4%
Q1470_7_N001,RED,105.25047578431376,0.148158500609796,filled,3474149647.05,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-12.577425538888887,-6.854395930555559,-6.854395930555559,12.577425538888887,720,643361.04575,2.704377815073399,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30879_HENTAP1 _230_30885_MUSTANGS_230_BR_1 _1 | NOM:30885_MUSTANGS_230_30900_GATES   _230_BR_2 _1,39% | 17% | 11% | 10% | 4%
C877P2C2_7_N001,RED,118.81241247549022,0.142434237171654,filled,3474149647.05,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-13.9216612,-7.752548722222225,-7.752548722222225,13.9216612,720,643361.04575,3.0920367529646033,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30879_HENTAP1 _230_30885_MUSTANGS_230_BR_1 _1 | NOM:30885_MUSTANGS_230_30900_GATES   _230_BR_2 _1,38% | 18% | 10% | 9% | 4%
C877P1C2_7_N001,RED,118.81241247549022,0.142434237171654,filled,3474149647.05,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-13.9216612,-7.752548722222225,-7.752548722222225,13.9216612,720,643361.04575,3.0920367529646033,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30879_HENTAP1 _230_30885_MUSTANGS_230_BR_1 _1 | NOM:30885_MUSTANGS_230_30900_GATES   _230_BR_2 _1,38% | 18% | 10% | 9% | 4%
CAFLTSSS_2_B1,RED,118.81241247549022,0.142434237171654,filled,3474149647.05,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-13.9216612,-7.752548722222225,-7.752548722222225,13.9216612,720,643361.04575,3.0920367529646033,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30879_HENTAP1 _230_30885_MUSTANGS_230_BR_1 _1 | NOM:30885_MUSTANGS_230_30900_GATES   _230_BR_2 _1,38% | 18% | 10% | 9% | 4%
C877P2C2_7_ND002,RED,118.81241247549022,0.142434237171654,filled,3474149647.05,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-13.9216612,-7.752548722222225,-7.752548722222225,13.9216612,720,643361.04575,3.0920367529646033,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30879_HENTAP1 _230_30885_MUSTANGS_230_BR_1 _1 | NOM:30885_MUSTANGS_230_30900_GATES   _230_BR_2 _1,38% | 18% | 10% | 9% | 4%
OILFLDS_6_N009,RED,118.22716284313726,0.094438230523662,filled,3474149647.05,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-13.334304938888897,0.4990971736111113,0.4990971736111113,13.334304938888897,720,643361.04575,5.681041372487577,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1 | NOM:35642_METCALF _115_30735_METCALF _230_XF_2 | NOM:30879_HENTAP1 _230_30885_MUSTANGS_230_BR_1 _1,56% | 12% | 6% | 6% | 3%
OILFLDS_6_B1,RED,118.22716284313726,0.094438230523662,filled,3474149647.05,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-13.334304938888897,0.4990971736111113,0.4990971736111113,13.334304938888897,720,643361.04575,5.681041372487577,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1 | NOM:35642_METCALF _115_30735_METCALF _230_XF_2 | NOM:30879_HENTAP1 _230_30885_MUSTANGS_230_BR_1 _1,56% | 12% | 6% | 6% | 3%
COBURN_2_B1,RED,118.22716284313726,0.094438230523662,filled,3474149647.05,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-13.334304938888897,0.4990971736111113,0.4990971736111113,13.334304938888897,720,643361.04575,5.681041372487577,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1 | NOM:35642_METCALF _115_30735_METCALF _230_XF_2 | NOM:30879_HENTAP1 _230_30885_MUSTANGS_230_BR_1 _1,56% | 12% | 6% | 6% | 3%
KCTYPKER_7_B1,RED,118.22716284313726,0.094438230523662,filled,3474149647.05,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-13.334304938888897,0.4990971736111113,0.4990971736111113,13.334304938888897,720,643361.04575,5.681041372487577,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1 | NOM:35642_METCALF _115_30735_METCALF _230_XF_2 | NOM:30879_HENTAP1 _230_30885_MUSTANGS_230_BR_1 _1,56% | 12% | 6% | 6% | 3%
