node,n_months_active,n_months_blue_or_purple,size_cv,size_median_x12,size_max_share,same_kstar_months,persistence_label
CHINO_6_GN001,11,0,0.38935616914839444,2836912747.8,0.14272029283929444,3,11/12 mo · stable
CHINO_6_N003,11,0,0.38935616914839444,2836912747.8,0.14272029283929444,3,11/12 mo · stable
CHINO_6_N008,11,0,0.38935616914839444,2836912747.8,0.14272029283929444,3,11/12 mo · stable
CHINO_6_N010,11,0,0.38935616914839444,2836912747.8,0.14272029283929444,3,11/12 mo · stable
CHINO_6_N019,11,0,0.38935616914839444,2836912747.8,0.14272029283929444,3,11/12 mo · stable
CHINO_6_N020,11,0,0.38935616914839444,2836912747.8,0.14272029283929444,3,11/12 mo · stable
CHINO_6_N033,11,0,0.38935616914839444,2836912747.8,0.14272029283929444,3,11/12 mo · stable
CHINO_6_N108,11,0,0.38935616914839444,2836912747.8,0.14272029283929444,3,11/12 mo · stable
CHOLLA_NODET,8,0,0.5313907383121516,2707060456.092,0.21604848914790548,2,8/12 mo · moderate
CHOPINWF_GNODE1,6,0,0.6030892514214147,2397317705.82,0.27002113561282975,2,6/12 mo · moderate
CHRISTIE_6_B1,10,3,1.4643738940812443,3827921042.8259997,0.48506697434528484,4,10/12 mo · variable
CHSTN_7_B1,10,1,1.1598843838602106,3120691562.892,0.2983256511265006,4,10/12 mo · variable
CHWCGN_1_B1,10,4,1.116111182491019,4367936782.764,0.3264510904408999,3,10/12 mo · variable
CHWCHLA2_7_N001,10,4,1.116111182491019,4367936782.764,0.3264510904408999,3,10/12 mo · variable
CHWCHL_7_N001,10,4,1.116111182491019,4367936782.764,0.3264510904408999,3,10/12 mo · variable
CHWCHL_7_N002,10,4,1.116111182491019,4367936782.764,0.3264510904408999,3,10/12 mo · variable
CIMGEN_7_B1,11,0,0.38935616914839444,2836912747.8,0.14272029283929444,3,11/12 mo · stable
CINER_7_UNIT1GNODE,4,0,1.6911673071196482,2667214389.336,0.8827468007656636,2,sporadic (4/12 mo)
CINER_7_UNIT2GNODE,4,0,1.6911673071196482,2667214389.336,0.8827468007656636,2,sporadic (4/12 mo)
CITYUKH_1_N001,10,1,1.7103536343080485,1334084083.7129998,0.5784381493113527,6,10/12 mo · variable
CLARKRD_7_N002,12,0,1.7098877705932292,2877929803.6259995,0.4993478609448049,3,12/12 mo · variable
CLARMNT_1_N028,11,2,1.340410777251711,4157584385.2200003,0.3694044752717225,3,11/12 mo · variable
CLAUSEN_2_CS2GNODE,1,0,,1836171078.2400002,1.0,3,single month
CLAWSONC_1_SOLAR1GNODE,6,0,0.6823393323817247,1659090644.6399999,0.3077452768594082,2,6/12 mo · moderate
CLEARCT_7_N1,11,0,0.38935616914839444,2836912747.8,0.14272029283929444,3,11/12 mo · stable
CLEARGEN_6_N004,11,0,0.38935616914839444,2836912747.8,0.14272029283929444,3,11/12 mo · stable
CLEARST_7_B1,11,0,0.38935616914839444,2836912747.8,0.14272029283929444,3,11/12 mo · stable
CLEARWA1_NODET,6,0,0.6030892514214147,2397317705.82,0.27002113561282975,2,6/12 mo · moderate
CLEARWA2_NODET,6,0,0.6030892514214147,2397317705.82,0.27002113561282975,2,6/12 mo · moderate
CLERLKE_6_N001,10,1,1.720660310648431,1334084083.7129998,0.5810106177297281,6,10/12 mo · variable
CLLCTR2A_7_N001,10,1,0.9394626314950036,11197199170.152,0.27930612844698405,5,10/12 mo · moderate
CLLCTR2B_7_N001,10,1,0.9394626314950036,11197199170.152,0.27930612844698405,5,10/12 mo · moderate
CLOVERCR_GNODE,4,0,1.5430418605623006,3405441450.516,0.8282162268145378,2,sporadic (4/12 mo)
CLOVER_6_N001,10,0,1.2951518072556591,3592153384.488,0.37972530302392377,3,10/12 mo · variable
CLOVIS_1_N001,11,3,0.8318871538153183,13371497229.024002,0.24705456215884708,6,11/12 mo · moderate
