node,archetype,spread,conc,marker,size_node,kstar_physical_line,kstar_rating_MW,kstar_rating_source,MCC_mid,MCC_eve,import_signal,export_signal,hours_covered,kstar_sum_abs_mu,kstar_contribution,top5_lines,top5_shares
DEVERS_1_N103,RED,74.38595294117648,0.1059979656733241,filled,209466044.928,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,5400.0,WECC path 15,-9.283876247311827,-1.0396016801075272,-1.0396016801075272,9.283876247311827,744,38790.00832,1.3094813567205168,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1 | NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:99254_J.HINDS2_230_24806_MIRAGE  _230_BR_1 _1,20% | 12% | 11% | 11% | 10%
DEVERS_1_N102,RED,74.38595294117648,0.1059979656733241,filled,209466044.928,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,5400.0,WECC path 15,-9.283876247311827,-1.0396016801075272,-1.0396016801075272,9.283876247311827,744,38790.00832,1.3094813567205168,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1 | NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:99254_J.HINDS2_230_24806_MIRAGE  _230_BR_1 _1,20% | 12% | 11% | 11% | 10%
CAYETNO_2_N003,WHITE,83.7654480882353,0.1344269418528599,filled,209466044.928,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,5400.0,WECC path 15,13.14713190860215,1.836277735215054,1.836277735215054,-13.14713190860215,744,38790.00832,1.3979913051457853,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:35352_WHISMAN _115_35356_MNTA VSA_115_BR_1 _1,18% | 16% | 12% | 11% | 10%
ARAMIS_7_N001,WHITE,83.7654480882353,0.1344269418528599,filled,209466044.928,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,5400.0,WECC path 15,13.14713190860215,1.836277735215054,1.836277735215054,-13.14713190860215,744,38790.00832,1.3979913051457853,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:35352_WHISMAN _115_35356_MNTA VSA_115_BR_1 _1,18% | 16% | 12% | 11% | 10%
Q137GN4_7_N001,RED,74.2504774509804,0.1060987105639656,filled,209466044.928,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,5400.0,WECC path 15,-7.806360521505376,0.0969200134408601,0.0969200134408601,7.806360521505376,744,38790.00832,1.3061844873146786,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:7820_PK_EC_OVERLOAD_NG,19% | 12% | 11% | 11% | 7%
TIDEWATR_2_N014,WHITE,97.39030416666668,0.1161506994950729,filled,209466044.928,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,5400.0,WECC path 15,12.640343715053762,1.6574060954301075,1.6574060954301075,-12.640343715053762,744,38790.00832,1.386451906275341,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:35352_WHISMAN _115_35356_MNTA VSA_115_BR_1 _1,19% | 16% | 14% | 12% | 10%
COLSTJT_1_B1,WHITE,94.91690833333334,0.1125006167656511,filled,209466044.928,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,5400.0,WECC path 15,12.56540243548387,1.4577003494623657,1.4577003494623657,-12.56540243548387,744,38790.00832,1.3833677416406467,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:35352_WHISMAN _115_35356_MNTA VSA_115_BR_1 _1,19% | 17% | 14% | 12% | 9%
KIRKER_1_N001,WHITE,94.91690833333334,0.1125067271657373,filled,209466044.928,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,5400.0,WECC path 15,12.563726241935486,1.4577003494623657,1.4577003494623657,-12.563726241935486,744,38790.00832,1.3834204656971258,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:35352_WHISMAN _115_35356_MNTA VSA_115_BR_1 _1,19% | 17% | 14% | 12% | 9%
BLKDMDBT_7_N004,WHITE,94.91690833333334,0.1125067271657373,filled,209466044.928,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,5400.0,WECC path 15,12.563726241935486,1.4577003494623657,1.4577003494623657,-12.563726241935486,744,38790.00832,1.3834204656971258,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:35352_WHISMAN _115_35356_MNTA VSA_115_BR_1 _1,19% | 17% | 14% | 12% | 9%
BLKDMDBT_7_N002,WHITE,94.91690833333334,0.1125067271657373,filled,209466044.928,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,5400.0,WECC path 15,12.563726241935486,1.4577003494623657,1.4577003494623657,-12.563726241935486,744,38790.00832,1.3834204656971258,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:35352_WHISMAN _115_35356_MNTA VSA_115_BR_1 _1,19% | 17% | 14% | 12% | 9%
