constraint_key,n_binding_intervals,sum_mu,sum_abs_mu,max_mu,min_mu,abs_sum_mu,type
NOM:7690-CONTRL-INYOKN_EXP_NG|Base Case,1357,-585756.19331,585756.19331,0.0,-1451.59439,585756.19331,NOM
NOM:22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1|SD1 MIGUEL-JMACHA_1 69,925,352141.30439,352141.30439,1313.72154,0.0,352141.30439,NOM
NOM:115 WTG at PEGS|PNM1 CABEZN-RIOPUERC 345,418,258752.51547999997,258752.51547999997,1485.84066,0.0,258752.51547999997,NOM
NOM:35120_NEWARK D_115_36851_NORTHERN_115_BR_1 _1|PG1 NEWARK-NWRKDST 230,401,92266.46284,92266.46284,1256.6738,0.0,92266.46284,NOM
ITC:Line_FC-CH1_345KV|I|AP1 FC-MK_1 500,428,79256.84413000001,79256.84413000001,810.32956,0.0,79256.84413000001,ITC
NOM:35352_WHISMAN _115_35356_MNTA VSA_115_BR_1 _1|PG1 TESLA 500-230 BK6,113,79181.3826,79181.3826,2308.61286,0.0,79181.3826,NOM
NOM:115 WTG at PEGS|AP1 FC-MK_1 500,91,67934.0939,67934.0939,1501.11693,0.0,67934.0939,NOM
NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1|PG1 LOSBNS-MIDWAY 500 2,1862,53656.01775,53656.01775,203.56061,0.0,53656.01775,NOM
NOM:7690-COOLWATER_KRAMER_IM_NG_RT|Base Case,252,-52245.73743,52245.73743,0.0,-1430.02801,52245.73743,NOM
NOM:35352_WHISMAN _115_35356_MNTA VSA_115_BR_1 _1|PG1 MARTIN-JEFRSN 230,113,42771.56134000001,42771.56134000001,1000.0,0.0,42771.56134000001,NOM
NOM:22192_DOUBLTTP_138_22300_FRIARS  _138_BR_1 _1|SD2 SA-MSSION 230 1+2,107,41571.76202,41571.76202,676.65013,0.0,41571.76202,NOM
NOM:35120_NEWARK D_115_36851_NORTHERN_115_BR_1 _1|PG1 LOSEST-METCLF 230,120,36104.56429,36104.56429,634.34739,0.0,36104.56429,NOM
ITC:AEOLUS_EXP|E|Base Case,537,35857.747760000006,35857.747760000006,104.07334,0.0,35857.747760000006,ITC
ITC:WINDSTAR EXPORT TCOR|E|Base Case,843,35060.08198,35060.08198,160.31087,0.0,35060.08198,ITC
NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1|PG1 LOSBNS 500-230 BK1,291,34666.33528,34666.33528,479.37452,0.0,34666.33528,NOM
ITC:Line_SG1-ED5_115KV|I|AP1 FC-MK_1 500,48,28242.872949999997,28242.872949999997,1306.19129,0.0,28242.872949999997,ITC
NOM:115 WTG at PEGS|PNM1 SANJUAN-CABEZON 345,29,27781.28761,27781.28761,1487.33972,0.0,27781.28761,NOM
NOM:115kv MEB_Ca_AL|EP1 LUN-DIB_1 345,38,25649.53107,25649.53107,1319.28942,0.0,25649.53107,NOM
NOM:CONTRL-PSPS_EXP_NG|Base Case,75,-25250.668599999997,25250.668599999997,0.0,-1096.5381,25250.668599999997,NOM
NOM:OMS 50004 IV-ML OUTAGE_NG|Base Case,96,-24837.50071,24837.50071,0.0,-1151.36536,24837.50071,NOM
NOM:115kv NH|PNM1 CABEZN-RIOPUERC 345,85,24059.4751,24059.4751,1507.66035,0.0,24059.4751,NOM
NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1|PG1 TESLA-METCLF 500,76,23681.73145,23681.73145,812.09763,0.0,23681.73145,NOM
NOM:7820_TL649A_OVERLOAD_NG|Base Case,62,-17502.6018,17502.6018,0.0,-571.2073,17502.6018,NOM
NOM:35352_WHISMAN _115_35356_MNTA VSA_115_BR_1 _1|PG1 TESLA-METCLF 500,163,16005.04227,16005.04227,2262.09988,0.0,16005.04227,NOM
ITC:LCS_DON_115|I|EP1 LUN-DIB_1 345,8,14076.15523,14076.15523,1813.62029,0.0,14076.15523,ITC
NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1|PG1 LOSBNS-MIDWAY 500 2,92,13666.758170000003,13666.758170000003,646.44298,0.0,13666.758170000003,NOM
NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1|PG1 LOSBNS 500-230 BK1,56,12889.79327,12889.79327,567.09427,0.0,12889.79327,NOM
NOM:35120_NEWARK D_115_36851_NORTHERN_115_BR_1 _1|PG1 EASTSH-SANMAT 230,56,12355.46581,12355.46581,602.41226,0.0,12355.46581,NOM
NOM:22480_MIRAMAR _69.0_22756_SCRIPPS _69.0_BR_1 _1|Base Case,16,11765.91858,11765.91858,1318.56211,0.0,11765.91858,NOM
NOM:115 WTG at PEGS|PNM1 PINTADO-RIOPUERC 345,8,11530.830579999998,11530.830579999998,2073.50834,0.0,11530.830579999998,NOM
NOM:115kv PDA|EP1 LUN-DIB_1 345,31,10817.239559999998,10817.239559999998,1000.0,0.0,10817.239559999998,NOM
ITC:EPE_NET_ITC|E|Base Case,361,-10240.28551,10240.28551,0.0,-168.3292,10240.28551,ITC
NOM:22464_MIGUEL  _230_22468_MIGUEL  _500_XF_81|Base Case,123,9956.915070000001,9956.915070000001,276.26643,0.0,9956.915070000001,NOM
NOM:MIGUEL_BKs_MXFLW_NG|Base Case,103,-9828.39911,9828.39911,0.0,-440.12682,9828.39911,NOM
NOM:30635_NWK DIST_230_30731_LS ESTRS_230_BR_1 _1|PG1 TESLA-METCLF 500,27,9816.80004,9816.80004,1103.25435,0.0,9816.80004,NOM
NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1|PG1 GATES-LOSBNS_1 500,64,9450.50187,9450.50187,410.74343,0.0,9450.50187,NOM
NOM:31336_HPLND JT_60.0_31206_HPLND JT_115_XF_2|PG1 EGLRCK-GYS5X6 115,82,8955.860639999999,8955.860639999999,136.37065,0.0,8955.860639999999,NOM
NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1|PG2 TRACY SOUTH DLO 500,190,8929.902860000002,8929.902860000002,112.05637,0.0,8929.902860000002,NOM
ITC:ATW_VEL 1|I|LA1 ATW_STJ 1,14,8413.759180000001,8413.759180000001,1153.90647,0.0,8413.759180000001,ITC
NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1|PG1 MNDOTA-PNOCHE 115,338,7461.64852,7461.64852,50.4226,0.0,7461.64852,NOM
NOM:22886_SUNCREST_230_22885_SUNCREST_500_XF_2 _P|SD1 SNCRST 500-230 BK80,56,7303.30212,7303.30212,217.13125,0.0,7303.30212,NOM
NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1|PG1 TRACY-LOSBNS 500,169,7190.479010000001,7190.479010000001,108.70367,0.0,7190.479010000001,NOM
NOM:64229_SUMMIT 2_115_32218_DRUM    _115_BR_2_1|PG1 LOSBNS-MIDWAY 500 2,9,6586.471,6586.471,1391.89672,0.0,6586.471,NOM
NOM:33530_KASSONJ2_115_33548_TRACY   _115_BR_1 _1|PG1 TESLA BUS 1+2 115_M,45,5995.8765,5995.8765,345.36345,0.0,5995.8765,NOM
NOM:7440_MetcalfImport_Mossld-Metclf|Base Case,27,-5616.96247,5616.96247,0.0,-605.97153,5616.96247,NOM
NOM:35352_WHISMAN _115_35356_MNTA VSA_115_BR_1 _1|PG1 LOSBNS-GATES_3 500,2,5301.15504,5301.15504,4515.21977,0.0,5301.15504,NOM
NOM:VC_TL_681B_export_NG|Base Case,521,-5294.484309999999,5294.484309999999,0.0,-171.92972,5294.484309999999,NOM
NOM:115kv DL_Mi_Wm|EP1 LUN-DIB_1 345,9,5050.780709999999,5050.780709999999,1000.0,0.0,5050.780709999999,NOM
NOM:30900_GATES   _230_30970_MIDWAY  _230_BR_1 _1|PG1 GATES-MIDWAY 500,56,4952.00589,4952.00589,340.64123,0.0,4952.00589,NOM
NOM:35352_WHISMAN _115_35356_MNTA VSA_115_BR_1 _1|PG1 LOSBNS 500-230 BK1,1,4900.33394,4900.33394,4900.33394,0.0,4900.33394,NOM
ITC:PACE_FOURCORNE345_ITC|E|Base Case,438,-4888.945589999998,4888.945589999998,0.0,-75.46409,4888.945589999998,ITC
NOM:7690-COOLWATER_KRAMER_IM_NG|Base Case,96,-4777.45046,4777.45046,0.0,-856.34051,4777.45046,NOM
