node,spread_D2,spread_D4,spread_D8,rank_D2,rank_D4,rank_D8,rank_shift_2_vs_8
0096WD_7_N001,31.52110154411765,49.95867139705882,69.87558970588235,679.0,705.0,763.0,84.0
1501WDC2_7_ND001,35.21184019607843,60.883995588235294,86.5433718872549,619.0,583.0,603.0,16.0
2C559EQ2_7_N001,31.070215196078436,47.78044784313725,66.95056012254902,731.0,808.0,852.0,121.0
2C559_1_B1,31.070215196078436,47.78044784313725,66.95056012254902,731.0,808.0,852.0,121.0
2C577C1_7_N001,88.79274421568627,140.1529037254902,176.42500147058826,196.0,195.0,244.0,48.0
2PBLSM34_7_N001,16.374479411764707,25.074953700980394,29.83434919117647,1681.0,1687.0,1705.0,24.0
3PEAKS_GNODE1,5.743225490196078,9.694581397058824,10.71273387254902,2003.0,2002.0,1992.0,11.0
4C687C2_7_N001,30.551395073529413,48.6328337254902,70.17543455882353,765.0,738.0,750.0,15.0
4C687_1_B1,30.551395073529413,48.6328337254902,70.17543455882353,765.0,738.0,750.0,15.0
4C744C12_7_N001,31.070215196078436,47.78044784313725,66.95056012254902,731.0,808.0,852.0,121.0
4C744C22_7_N001,31.070215196078436,47.78044784313725,66.95056012254902,731.0,808.0,852.0,121.0
4C744C32_7_N001,31.070215196078436,47.78044784313725,66.95056012254902,731.0,808.0,852.0,121.0
4C744C42_7_N001,31.070215196078436,47.78044784313725,66.95056012254902,731.0,808.0,852.0,121.0
90TH.SO_GNODEPDRP1,2.564728799019608,2.768909362745098,3.3393763235294114,2098.0,2126.0,2128.0,30.0
ACACIA_7_N001,15.731657083333335,24.686999779411764,29.883302892156863,1683.0,1689.0,1702.0,19.0
ADCC_2_N001,24.144806740196078,41.90344958333333,61.88822875000001,1043.0,976.0,962.0,81.0
ADERAG1_7_N001,221.01883840686276,386.7591240196079,626.4888644117648,25.0,15.0,15.0,10.0
ADRATAP_1_B1,221.01883840686276,386.7591240196079,626.4888644117648,25.0,15.0,15.0,10.0
AGATEBAY_7_GNODE1,13.86793394607843,18.466969362745097,22.39627367647059,1822.0,1888.0,1884.0,62.0
AGRCJCT_6_B1,86.48969095588235,144.11665181372553,217.57127073529415,210.0,185.0,159.0,51.0
AGRICO_7_NBT1,86.48969095588235,144.11665181372553,217.57127073529415,210.0,185.0,159.0,51.0
AGUCALG1_7_B1,44.000489117647064,68.39396575980393,93.15366757352942,484.0,506.0,540.0,56.0
AIRPORT_GNODE1,10.154085049019606,14.343322745098039,16.48098629901961,1954.0,1951.0,1955.0,1.0
AKINGS02_7_N001,63.386115196078435,112.51417463235295,164.35000571078433,312.0,276.0,291.0,21.0
ALAMITOS_2_B1,17.9912675,32.448247083333335,49.90471421568627,1428.0,1206.0,1144.0,284.0
ALAMIT_7_NBT2,17.9912675,32.448247083333335,49.90471421568627,1428.0,1206.0,1144.0,284.0
ALAMOSC_7_N001,15.53066600490196,23.95786799019608,26.885794044117645,1706.0,1707.0,1844.0,138.0
ALAMT1G_7_B1,17.9912675,32.448247083333335,49.90471421568627,1428.0,1206.0,1144.0,284.0
ALAMT2G_7_B1,17.9912675,32.448247083333335,49.90471421568627,1428.0,1206.0,1144.0,284.0
ALAMT3G_7_B1,17.9912675,32.448247083333335,49.90471421568627,1428.0,1206.0,1144.0,284.0
ALAMT4G_7_B1,17.9912675,32.448247083333335,49.90471421568627,1428.0,1206.0,1144.0,284.0
ALAMT5G_7_B1,17.9912675,32.448247083333335,49.90471421568627,1428.0,1206.0,1144.0,284.0
ALAMT6G_7_B1,17.9912675,32.448247083333335,49.90471421568627,1428.0,1206.0,1144.0,284.0
ALASB1_7_NSB1,19.480795,34.189915,55.61529742647059,1198.0,1198.0,1053.0,145.0
ALASB2_7_NSB2,17.079900833333333,29.84122166666667,42.01818382352941,1626.0,1340.0,1365.0,261.0
ALLEGHNY_6_N002,23.967684093137255,42.55544870098039,63.13184294117647,1044.0,973.0,926.0,118.0
ALMASL3_7_N001,16.38651830882353,26.70234911764706,28.004163750000004,1672.0,1538.0,1823.0,151.0
ALMASL3_7_N002,16.38651830882353,26.70234911764706,28.004163750000004,1672.0,1538.0,1823.0,151.0
ALMASL_7_GUB6N,16.38651830882353,26.70234911764706,28.004163750000004,1672.0,1538.0,1823.0,151.0
ALMASL_7_GUS6N,16.38651830882353,26.70234911764706,28.004163750000004,1672.0,1538.0,1823.0,151.0
ALMASL_7_GUS7N,16.38651830882353,26.70234911764706,28.004163750000004,1672.0,1538.0,1823.0,151.0
ALMDACT1_7_B1,25.868677083333335,44.65210732843137,67.73356845588236,923.0,915.0,821.0,102.0
ALMDACT2_7_B1,25.868677083333335,44.65210732843137,67.73356845588236,923.0,915.0,821.0,102.0
ALMERGB2_7_N001,17.9912675,32.448247083333335,49.90471421568627,1428.0,1206.0,1144.0,284.0
ALPAUGH_7_N001,31.375436691176475,47.88793590686275,67.54156857843137,694.0,804.0,825.0,131.0
ALTA1G_7_B1,42.15885191176471,66.17292448529412,89.99187906862744,498.0,524.0,570.0,72.0
ALTA2G_7_B1,42.15885191176471,66.17292448529412,89.99187906862744,498.0,524.0,570.0,72.0
ALTA6B2_7_N003,14.033226544117648,22.766923112745097,32.87798024509804,1799.0,1772.0,1619.0,180.0
ALTA6E2_7_N002,14.033226544117648,22.766923112745097,32.87798024509804,1799.0,1772.0,1619.0,180.0
ALTAD1_7_N006,14.033226544117648,22.766923112745097,32.87798024509804,1799.0,1772.0,1619.0,180.0
ALTAD2_7_N006,14.033226544117648,22.766923112745097,32.87798024509804,1799.0,1772.0,1619.0,180.0
ALTAPES_7_N001,18.947923455882353,31.50156860294118,39.13972919117647,1264.0,1226.0,1384.0,120.0
ALTWD1_7_N003,23.60861995098039,38.77699654411765,49.82695394607843,1048.0,1072.0,1154.0,106.0
ALTWD1_7_N004,23.60861995098039,38.77699654411765,49.82695394607843,1048.0,1072.0,1154.0,106.0
AMERIGAS_1_GN001,22.631914656862747,39.119256666666665,56.83483583333333,1109.0,1051.0,1037.0,72.0
AMWWD1_1_NWD1,23.60349286764706,38.32249404411765,49.82925740196078,1051.0,1086.0,1153.0,102.0
ANGELA_7_N001,31.375436691176475,47.88793590686275,67.54156857843137,694.0,804.0,825.0,131.0
ANGELA_7_N002,31.375436691176475,47.88793590686275,67.54156857843137,694.0,804.0,825.0,131.0
ANTELOPE_2_B1,15.718649975490196,24.272431568627454,29.932841323529416,1686.0,1693.0,1688.0,2.0
ANTELOPE_6_B1,15.731657083333335,24.686999779411764,29.883302892156863,1683.0,1689.0,1702.0,19.0
APLHILGN_7_N002,28.92149399509804,49.21974360294118,69.41781661764705,806.0,721.0,775.0,31.0
APPALOSA_3_SOLAR1GNODE,5.7024719852941175,9.612513725490196,10.429222598039217,2004.0,2003.0,2014.0,10.0
APPLEHL_1_N004,28.92149399509804,49.21974360294118,69.41781661764705,806.0,721.0,775.0,31.0
AQUAWS_7_CN1,41.74780833333334,68.16023568627452,101.49292110294118,518.0,508.0,486.0,32.0
AQUAWS_7_N002,41.74780833333334,68.16023568627452,101.49292110294118,518.0,508.0,486.0,32.0
ARAMIS_7_N001,35.54194267156863,61.804103112745096,103.94631125000001,615.0,565.0,463.0,152.0
ARAMIS_7_N002,35.54194267156863,61.804103112745096,103.94631125000001,615.0,565.0,463.0,152.0
ARAMIS_7_N003,35.54194267156863,61.804103112745096,103.94631125000001,615.0,565.0,463.0,152.0
ARAMIS_7_N004,35.54194267156863,61.804103112745096,103.94631125000001,615.0,565.0,463.0,152.0
