node,archetype,spread,size_node,kstar_physical_line,kstar_rating_MW,Latitude,Longitude,Plant Name,conc
AVENAL_6_GN001,RED,710.574902009804,283786787.543,NOM:7430_KTTLM_GATES_70_1,,35.996324,-120.15146,CED Avenal,0.077698211259232
AVENAL_6_GN002,RED,710.574902009804,283786787.543,NOM:7430_KTTLM_GATES_70_1,,35.996324,-120.15146,CED Avenal,0.077698211259232
AVENAL_6_GN003,RED,710.574902009804,283786787.543,NOM:7430_KTTLM_GATES_70_1,,35.996324,-120.15146,CED Avenal,0.077698211259232
AVENGEN_7_N001,RED,710.574902009804,283786787.543,NOM:7430_KTTLM_GATES_70_1,,38.226752,-121.843271,Goose Haven Energy Center,0.077698211259232
AVENGEN_7_N002,RED,710.574902009804,283786787.543,NOM:7430_KTTLM_GATES_70_1,,38.226752,-121.843271,Goose Haven Energy Center,0.077698211259232
ADERAG1_7_N001,RED,259.8157675,40258811.11125,NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,250.0,37.120586,-120.32488,Adera Solar,0.138132847393731
MENDOTA_1_B1,RED,257.6423467892157,68272477.1775,NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,250.0,36.755896,-120.365422,Covanta Mendota,0.1104624074358985
CANTGEN_7_N002,RED,175.95463578431372,1114291435.752,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,36.425085,-120.343543,Cantua Solar Station,0.1082211877177799
