physical_line,n_scenarios,sum_abs_mu,sub1,sub2,kV,matched_path,rating_MW,rating_source,match_confidence
ITC:Line_OD-AR_69KV,1.0,745528.54428,OD,AR,69.0,West of Hatwai,4277.0,WECC path 6,2
NOM:24723_CONTROL _115_24865_TAP188  _115_BR_2 _1,1.0,249510.98178,CONTROL,TAP188,115.0,,250.0,voltage proxy 115 kV,0
NOM:32782_STATIN D_115_32788_STATIN L_115_BR_1 _1,10.0,149749.84569000002,STATIND,STATINL,115.0,,250.0,voltage proxy 115 kV,0
NOM:115 WTG at PEGS,2.0,130100.05765999999,,,,,,unknown,0
NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,2.0,119650.31447,MOSSLD,LASAGUIL,230.0,,700.0,voltage proxy 230 kV,0
NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1,3.0,110420.84002,TESLA,LOSBANOS,500.0,,2500.0,voltage proxy 500 kV,0
ITC:FRCE-PINT1,1.0,106239.32071,FRCE,PINT1,,,,unknown,0
NOM:OMS_17327759_CTL_EXP_NG,1.0,105712.09225,,,,,,unknown,0
NOM:30015_TABLE MT_500_30068_TB MT 5M_ 1.0_XF_5,3.0,100424.47273,TABLEMT,,500.0,,2500.0,voltage proxy 500 kV,0
NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,1.0,88627.05150999999,DEVERS,,500.0,,2500.0,voltage proxy 500 kV,0
NOM:31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11,1.0,84682.66586000001,CARIBOU,XF,115.0,,250.0,voltage proxy 115 kV,0
ITC:HURRICAW_WALAWALA_230,1.0,80287.06576,HURRICAW,,,,,unknown,0
NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,1.0,77043.2811,LEGRAND,ADRATAP,115.0,,250.0,voltage proxy 115 kV,0
NOM:7820_TL 230S_OVERLOAD_NG,1.0,70678.63025,,,,,,unknown,0
ITC:Line_GIX-ARFH_69KV,1.0,66187.84929,GIX,ARFH,69.0,,150.0,voltage proxy 69 kV,0
ITC:HWD_FAR A REA,1.0,60424.17197,HWD,,,,,unknown,0
NOM:30005_ROUND MT_500_30245_ROUND MT_230_XF_1 _P,1.0,58663.04090000001,ROUNDMT,,500.0,,2500.0,voltage proxy 500 kV,0
ITC:CZ 345kV,1.0,53335.58151,CZ,,345.0,,1300.0,voltage proxy 345 kV,0
NOM:6110_COI_S-N,1.0,50237.93159,,,,,,unknown,0
NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,2.0,49584.25204,GATES1,MIDWAY,500.0,Midway -Los Banos,5400.0,WECC path 15,5
