node,archetype,spread,size_node,kstar_physical_line,kstar_rating_MW,Latitude,Longitude,Plant Name,conc
KRNCNYN_6_N001,BLUE,1818.4185669117649,413831252.4795,NOM:39021_SC21ATP _70.0_34888_ARVIN   _70.0_BR_1 _1,150.0,35.44072,-118.796498,Kern Canyon,0.0624158839895789
AVENAL_6_GN003,RED,854.5586769607844,47381404.372499995,NOM:34548_KETTLEMN_70.0_34552_GATES   _70.0_BR_1 _1,150.0,35.996324,-120.15146,CED Avenal,0.055469107457977
AVENAL_6_GN002,RED,854.5586769607844,47381404.372499995,NOM:34548_KETTLEMN_70.0_34552_GATES   _70.0_BR_1 _1,150.0,35.996324,-120.15146,CED Avenal,0.055469107457977
AVENGEN_7_N001,RED,854.5586769607844,47381404.372499995,NOM:34548_KETTLEMN_70.0_34552_GATES   _70.0_BR_1 _1,150.0,38.226752,-121.843271,Goose Haven Energy Center,0.055469107457977
AVENGEN_7_N002,RED,854.5586769607844,47381404.372499995,NOM:34548_KETTLEMN_70.0_34552_GATES   _70.0_BR_1 _1,150.0,38.226752,-121.843271,Goose Haven Energy Center,0.055469107457977
AVENAL_6_GN001,RED,854.5586769607844,47381404.372499995,NOM:34548_KETTLEMN_70.0_34552_GATES   _70.0_BR_1 _1,150.0,35.996324,-120.15146,CED Avenal,0.055469107457977
