node,archetype,spread,size_node,kstar_physical_line,kstar_rating_MW,Latitude,Longitude,Plant Name,conc
KRNCNYN_6_N001,BLUE,1171.1602033333334,224821364.772,NOM:39021_SC21ATP _70.0_34888_ARVIN   _70.0_BR_1 _1,150.0,35.44072,-118.796498,Kern Canyon,0.1313077249522743
GRAPEVNE_6_GN001,RED,429.79296529411766,224821364.772,NOM:39021_SC21ATP _70.0_34888_ARVIN   _70.0_BR_1 _1,150.0,34.0903,-117.5343,Grapeland Hybrid,0.148394749783649
ADERAG1_7_N001,RED,303.56537862745097,40935052.035,NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,250.0,37.120586,-120.32488,Adera Solar,0.1244407148476999
MENDOTA_1_B1,RED,242.90263573529415,40935052.035,NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,250.0,36.755896,-120.365422,Covanta Mendota,0.0819878651409763
CANTGEN_7_N002,RED,195.1913872549019,346465365.435,NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,700.0,36.425085,-120.343543,Cantua Solar Station,0.0560358774449834
RDWAY_7_N002,RED,193.8260242892157,16927465.345,NOM:24602_VICTOR  _115_24607_ROADWAY _115_BR_1 _1,250.0,35.2761,-119.5986,North Midway Cogen,0.1121150792487179
STHKERN_7_N001,BLUE,188.95245740196077,224821364.772,NOM:39021_SC21ATP _70.0_34888_ARVIN   _70.0_BR_1 _1,150.0,35.4206,-118.9644,Southeast Kern River Cogen,0.1069572753792062
