constraint_key,n_binding_intervals,sum_mu,sum_abs_mu,max_mu,min_mu,abs_sum_mu,type
NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1|PG1 LOSBNS 500-230 BK1,1209,283270.82470999996,283270.82470999996,704.0082,0.0,283270.82470999996,NOM
NOM:OMS_16800765_INYOKERN_NG_EX|Base Case,1110,-192762.65404,192762.65404,0.0,-1000.0,192762.65404,NOM
NOM:24723_CONTROL _115_24865_TAP188  _115_BR_2 _1|Base Case,355,192602.54484,192602.54484,2161.23103,0.0,192602.54484,NOM
NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1|PG1 MOSSLD-LOSBNS 500,844,149191.03732,149191.03732,720.40706,0.0,149191.03732,NOM
ITC:WMesaWT2_448 MVA|I|Base Case,134,131244.84713,131244.84713,1000.0,0.0,131244.84713,ITC
NOM:7820_TL 230S_OVERLOAD_NG|Base Case,1442,-117705.02368,117705.02368,0.0,-952.37135,117705.02368,NOM
NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P|SC1 SERRAN-VALLEY_1 500,1870,94563.75826,94563.75826,251.45033,0.0,94563.75826,NOM
NOM:31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11|Base Case,1644,82217.75943,82217.75943,120.326,0.0,82217.75943,NOM
ITC:Line_GIX-ARFH_69KV|I|SD1 NGILA-IVALLY 500,242,80871.45382,80871.45382,1277.18243,0.0,80871.45382,ITC
NOM:MIGUEL_BKs_MXFLW_NG|Base Case,262,-75903.13308,75903.13308,0.0,-1497.6504,75903.13308,NOM
NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1|PG1 LOSBNS-MIDWAY 500 2,351,66622.61302,66622.61302,1117.98535,0.0,66622.61302,NOM
ITC:CZ 345kV|I|Base Case,493,61117.969520000006,61117.969520000006,311.79938,0.0,61117.969520000006,ITC
NOM:30472_PEABODY _230_30529_BRDSLDNG_230_BR_1 _1|PG1 VACADX-LMBEPK 230,809,54870.00201,54870.00201,140.11901,0.0,54870.00201,NOM
ITC:Line_OD-AR_69KV|I|SD1 NGILA-IVALLY 500,174,49828.70707,49828.70707,1287.90251,0.0,49828.70707,ITC
NOM:24723_CONTROL _115_24866_TAP189  _115_BR_1 _1|SC1 CONTRL-INYOKN_2 115_M,90,45413.41588,45413.41588,1122.76248,0.0,45413.41588,NOM
NOM:OMS_17327759_CTL_EXP_NG|Base Case,229,-44251.862689999994,44251.862689999994,0.0,-816.72473,44251.862689999994,NOM
NOM:7820_TL23040_IV_SPS_NG|Base Case,174,-43128.71524,43128.71524,0.0,-1455.34569,43128.71524,NOM
NOM:OMS IV-SX OUTAGE_NG|Base Case,156,-39389.40129,39389.40129,0.0,-1285.33953,39389.40129,NOM
NOM:34610_HAAS    _13.8_30855_HAAS    _230_XF_1|Base Case,333,22566.19777,22566.19777,204.77987,0.0,22566.19777,NOM
NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3|Base Case,266,19941.704510000003,19941.704510000003,223.56316,0.0,19941.704510000003,NOM
NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1|PG1 TRACY-LOSBNS 500,429,19845.62651,19845.62651,234.94538,0.0,19845.62651,NOM
NOM:32056_CORTINA _60.0_30451_CRTNA  M_ 1.0_XF_1|PG1 CORTIN 230-115 BK4,27,18214.40333,18214.40333,1000.0,0.0,18214.40333,NOM
NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1|PG1 GATES-LOSBNS_1 500,198,18126.936009999998,18126.936009999998,392.99293,0.0,18126.936009999998,NOM
NOM:24723_CONTROL _115_24866_TAP189  _115_BR_1 _1|Base Case,13,16653.77461,16653.77461,2532.32157,0.0,16653.77461,NOM
ITC:NWMT_NET_ITC|I|Base Case,24,-15851.700159999997,15851.700159999997,0.0,-1059.30058,15851.700159999997,ITC
NOM:7690-INYOKN_VOLTAGE_EX_NG|Base Case,128,-15298.15473,15298.15473,0.0,-941.99266,15298.15473,NOM
ITC:SRP_SYSTEM_ITC|I|Base Case,379,-12504.872560000002,12504.872560000002,0.0,-961.90267,12504.872560000002,ITC
ITC:NWMT_NET_ITC|E|Base Case,442,-11511.2847,11511.2847,0.0,-82.57913,11511.2847,ITC
NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1|Base Case,234,10991.274859999998,10991.274859999998,167.73054,0.0,10991.274859999998,NOM
NOM:99013_CAL CAPS_500_24801_DEVERS  _500_BR_1 _1|Base Case,231,10126.96841,10126.96841,107.7748,0.0,10126.96841,NOM
NOM:28195_REDBLUFF_500_24375_REDBLUFF_230_XF_1_P_1|Base Case,286,9377.86263,9377.86263,90.81319,0.0,9377.86263,NOM
ITC:PACE_POPWEST_ITC|E|Base Case,623,-9021.39953,9021.39953,0.0,-91.20691,9021.39953,ITC
ITC:AEOLUS_EXP|E|Base Case,141,8636.6334,8636.6334,92.6822,0.0,8636.6334,ITC
NOM:24723_CONTROL _115_24865_TAP188  _115_BR_2 _1|SC1 SYLMAR-PARDEE_1 230,14,8286.70616,8286.70616,1079.75529,0.0,8286.70616,NOM
ITC:TEPC_BA_IMP_ITC|I|Base Case,395,-7538.48913,7538.48913,0.0,-966.66819,7538.48913,ITC
NOM:22357_IV PFC1 _230_22358_IV PFC  _230_PS_1|SD1 IVALLY PST2 230,9,7520.76086,7520.76086,1261.20377,0.0,7520.76086,NOM
ITC:PACE_PATHC_ITC|E|Base Case,1124,-7321.419089999999,7321.419089999999,0.0,-88.63407,7321.419089999999,ITC
ITC:Line_NG-YMT_69KV|I|SD1 NGILA-IVALLY 500,17,6511.8534199999995,6511.8534199999995,1211.80259,0.0,6511.8534199999995,ITC
NOM:22652_PENSQTOS_230_22596_OLD TOWN_230_BR_1 _1|SD2 ML-SX+SX-OM-ML 230,83,6457.1657399999995,6457.1657399999995,274.74919,0.0,6457.1657399999995,NOM
ITC:PACE_FOURCORNE345_ITC|E|Base Case,323,-6094.961940000001,6094.961940000001,0.0,-85.32366,6094.961940000001,ITC
NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1|PG2 TRACY SOUTH DLO 500,61,5736.51872,5736.51872,307.67699,0.0,5736.51872,NOM
NOM:32314_SMRTSVLE_60.0_32316_YUBAGOLD_60.0_BR_1 _1|PG1 PALRMO-COLGAT_M 230,31,5493.26571,5493.26571,529.12047,0.0,5493.26571,NOM
ITC:Line_OC-LSS_230KV|I|AP1 WP-WT_1 230,13,5166.251759999999,5166.251759999999,866.78019,0.0,5166.251759999999,ITC
NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1|PG1 GATES BUS 1 500,83,5066.92586,5066.92586,144.69862,0.0,5066.92586,NOM
NOM:32308_COLGATE _60.0_32313_NRRWS2TP_60.0_BR_2 _1|PG1 PALRMO-COLGAT_M 230,26,4950.209669999999,4950.209669999999,273.71675,0.0,4950.209669999999,NOM
NOM:VC_TL_681B_import_NG|Base Case,469,-4867.45125,4867.45125,0.0,-289.16928,4867.45125,NOM
ITC:YU XFMR2 A  69KV|I|SD1 NGILA-IVALLY 500,50,4194.0474300000005,4194.0474300000005,671.72727,0.0,4194.0474300000005,ITC
ITC:Line_IV-TH_69KV|I|SD1 NGILA-IVALLY 500,6,4170.25209,4170.25209,1105.52429,0.0,4170.25209,ITC
ITC:BPAT_NET_ITC|E|Base Case,9,-4083.4451,4083.4451,0.0,-1000.0,4083.4451,ITC
ITC:LDWP_IPPDC-NS|I|Base Case,328,-4063.41247,4063.41247,0.0,-1000.0,4063.41247,ITC
NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1|Base Case,136,3951.32536,3951.32536,91.02862,0.0,3951.32536,NOM
NOM:OMS_16903115_23001_23004_NG|Base Case,74,-3895.7954100000006,3895.7954100000006,0.0,-100.50283,3895.7954100000006,NOM
ITC:Line_MA-OD_69KV|I|SD1 NGILA-IVALLY 500,50,3794.6021300000007,3794.6021300000007,301.79233,0.0,3794.6021300000007,ITC
NOM:24086_LUGO    _500_26105_VICTORVL_500_BR_1 _1|SC1 DEVERS-RDBLUF_1 500,94,3568.0473999999995,3568.0473999999995,111.19936,0.0,3568.0473999999995,NOM
ITC:HWD_FAR A REA|I|LA1 NR_TAR 1,66,3520.1932500000003,3520.1932500000003,132.34556,0.0,3520.1932500000003,ITC
ITC:TOTAL_WYOMING_EXPORT|E|Base Case,89,3511.49828,3511.49828,86.11936,0.0,3511.49828,ITC
ITC:LADWP_NET_ITC|E|Base Case,36,-3348.56185,3348.56185,0.0,-181.94813,3348.56185,ITC
ITC:PACE_FOURCORNE345_ITC|I|Base Case,314,-2974.5720699999997,2974.5720699999997,0.0,-42.43241,2974.5720699999997,ITC
NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1|PG1 LOSBNS-MIDWAY 500 2,145,2920.78262,2920.78262,117.31851,0.0,2920.78262,NOM
NOM:7690_CP5_NG|Base Case,2,-2900.16829,2900.16829,0.0,-2615.50772,2900.16829,NOM
ITC:EAST_WYO_EXP|E|Base Case,68,2760.68178,2760.68178,80.33316,0.0,2760.68178,ITC
NOM:24086_LUGO    _500_26105_VICTORVL_500_BR_1 _1|SC1 LUGO-LUDLO-MOHV1 500,149,2692.2906300000004,2692.2906300000004,115.00028,0.0,2692.2906300000004,NOM
NOM:24086_LUGO    _500_26105_VICTORVL_500_BR_1 _1|SC1 PVERDE-COLRIV_1 500,211,2687.32455,2687.32455,198.0222,0.0,2687.32455,NOM
NOM:24791_TAP710  _115_24731_INYOKERN_115_BR_2 _1|Base Case,5,2663.1856199999997,2663.1856199999997,1000.0,0.0,2663.1856199999997,NOM
ITC:SRP_SYSTEM_ITC|E|Base Case,318,-2617.3927999999996,2617.3927999999996,0.0,-182.47474,2617.3927999999996,ITC
