node,archetype,spread,size_node,kstar_physical_line,kstar_rating_MW,Latitude,Longitude,Plant Name,conc
SANDBAR_7_B1,RED,396.99638524509805,51129118.91,NOM:33932_MELONES _115_33936_MELNS JB_115_BR_1 _1,250.0,38.1861,-120.15,Sand Bar Power Plant,0.0901339475649515
DONNELLS_7_B1,RED,390.1741951715686,51129118.91,NOM:33932_MELONES _115_33936_MELNS JB_115_BR_1 _1,250.0,38.246656,-120.034072,Donnells,0.0866727286776876
MENDOTA_1_B1,RED,272.38205784313726,39582570.18749999,NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,250.0,36.755896,-120.365422,Covanta Mendota,0.0756051188856536
ADERAG1_7_N001,RED,265.58114460784316,39582570.18749999,NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,250.0,37.120586,-120.32488,Adera Solar,0.0844692887265287
TULLOCH_7_B4,RED,263.32139813725485,51129118.91,NOM:33932_MELONES _115_33936_MELNS JB_115_BR_1 _1,250.0,37.876111,-120.605,Tulloch,0.1106863704082078
TULLOCH_7_B2,RED,263.32139813725485,51129118.91,NOM:33932_MELONES _115_33936_MELNS JB_115_BR_1 _1,250.0,37.876111,-120.605,Tulloch,0.1106863704082078
TULLOCH_7_B1,RED,263.32139813725485,51129118.91,NOM:33932_MELONES _115_33936_MELNS JB_115_BR_1 _1,250.0,37.876111,-120.605,Tulloch,0.1106863704082078
