node,spread_D2,spread_D4,spread_D8,rank_D2,rank_D4,rank_D8,rank_shift_2_vs_8
0096WD_7_N001,32.9655931372549,57.43695588235295,80.35396328431374,540.0,493.0,444.0,96.0
1501WDC2_7_ND001,40.40900392156862,72.73001470588237,111.28657647058824,387.0,359.0,342.0,45.0
2C559EQ2_7_N001,32.892481617647064,57.29995588235295,78.28551666666667,584.0,494.0,496.0,88.0
2C559_1_B1,32.892481617647064,57.29995588235295,78.28551666666667,584.0,494.0,496.0,88.0
2C577C1_7_N001,138.59758357843137,232.85909524509805,348.28781274509805,58.0,70.0,88.0,30.0
2PBLSM34_7_N001,19.2602,29.707039215686276,40.95112225490196,1415.0,1258.0,1283.0,132.0
3PEAKS_GNODE1,2.839622549019608,3.044669607843137,3.0538617647058826,1980.0,1980.0,1991.0,11.0
4C687C2_7_N001,29.97845225490196,48.60522441176471,66.02693411764707,653.0,625.0,635.0,18.0
4C687_1_B1,29.97845225490196,48.60522441176471,66.02693411764707,653.0,625.0,635.0,18.0
4C744C12_7_N001,32.892481617647064,57.29995588235295,78.28551666666667,584.0,494.0,496.0,88.0
4C744C22_7_N001,32.892481617647064,57.29995588235295,78.28551666666667,584.0,494.0,496.0,88.0
4C744C32_7_N001,32.892481617647064,57.29995588235295,78.28551666666667,584.0,494.0,496.0,88.0
4C744C42_7_N001,32.892481617647064,57.29995588235295,78.28551666666667,584.0,494.0,496.0,88.0
90TH.SO_GNODEPDRP1,1.6605503921568625,2.257515294117647,2.5009042647058823,2048.0,2043.0,2035.0,13.0
ACACIA_7_N001,20.594820441176466,34.002339705882356,46.19224098039215,1011.0,902.0,859.0,152.0
ADCC_2_N001,28.792506666666668,45.930597500000005,62.49578666666666,693.0,712.0,727.0,34.0
ADERAG1_7_N001,171.39678485294118,275.0485268627451,462.63712063725484,19.0,27.0,22.0,3.0
ADRATAP_1_B1,171.39678485294118,275.0485268627451,462.63712063725484,19.0,27.0,22.0,3.0
AGATEBAY_7_GNODE1,20.332438088235296,29.5852225,40.053923382352934,1138.0,1276.0,1311.0,173.0
AGRCJCT_6_B1,112.9253568627451,211.17581651960788,335.8818049019608,130.0,104.0,90.0,40.0
AGRICO_7_NBT1,112.9253568627451,211.17581651960788,335.8818049019608,130.0,104.0,90.0,40.0
AGUCALG1_7_B1,15.791673529411765,21.019910588235298,29.530640392156865,1666.0,1691.0,1648.0,18.0
AIRPORT_GNODE1,19.265861225490198,24.969360539215685,29.383696617647058,1399.0,1607.0,1658.0,259.0
AKINGS02_7_N001,65.87442352941177,107.22179509803924,185.63637745098043,276.0,253.0,243.0,33.0
ALAMITOS_2_B1,16.40210916666667,26.448141960784316,33.12784534313726,1545.0,1538.0,1612.0,67.0
ALAMIT_7_NBT2,16.40210916666667,26.448141960784316,33.12784534313726,1545.0,1538.0,1612.0,67.0
ALAMOSC_7_N001,21.25794318627451,32.181533382352946,39.27259009803922,996.0,959.0,1335.0,339.0
ALAMT1G_7_B1,16.40210916666667,26.448141960784316,33.12784534313726,1545.0,1538.0,1612.0,67.0
ALAMT2G_7_B1,16.40210916666667,26.448141960784316,33.12784534313726,1545.0,1538.0,1612.0,67.0
ALAMT3G_7_B1,16.40210916666667,26.448141960784316,33.12784534313726,1545.0,1538.0,1612.0,67.0
ALAMT4G_7_B1,16.40210916666667,26.448141960784316,33.12784534313726,1545.0,1538.0,1612.0,67.0
ALAMT5G_7_B1,16.388601666666666,26.448141960784316,33.12784534313726,1556.0,1538.0,1612.0,56.0
ALAMT6G_7_B1,16.388601666666666,26.448141960784316,33.12784534313726,1556.0,1538.0,1612.0,56.0
ALASB1_7_NSB1,17.2193012254902,28.361729901960786,34.76326161764706,1483.0,1406.0,1407.0,76.0
ALASB2_7_NSB2,15.402746029411762,25.178125833333333,33.338187843137256,1710.0,1595.0,1548.0,162.0
ALLEGHNY_6_N002,23.435000588235294,38.80886607843137,55.897742401960784,854.0,818.0,802.0,52.0
ALMASL3_7_N001,8.777948039215685,12.117666666666665,12.98726862745098,1902.0,1903.0,1904.0,2.0
ALMASL3_7_N002,8.777948039215685,12.117666666666665,12.98726862745098,1902.0,1903.0,1904.0,2.0
ALMASL_7_GUB6N,8.777948039215685,12.117666666666665,12.98726862745098,1902.0,1903.0,1904.0,2.0
ALMASL_7_GUS6N,8.777948039215685,12.117666666666665,12.98726862745098,1902.0,1903.0,1904.0,2.0
ALMASL_7_GUS7N,8.777948039215685,12.117666666666665,12.98726862745098,1902.0,1903.0,1904.0,2.0
ALMDACT1_7_B1,29.72183916666667,48.20520647058824,65.05101166666667,664.0,644.0,662.0,2.0
ALMDACT2_7_B1,29.72183916666667,48.20520647058824,65.05101166666667,664.0,644.0,662.0,2.0
ALMERGB2_7_N001,16.40210916666667,26.448141960784316,33.12784534313726,1545.0,1538.0,1612.0,67.0
ALPAUGH_7_N001,32.893339117647066,57.55718637254902,78.37653431372549,567.0,476.0,479.0,88.0
ALTA1G_7_B1,22.47965867647059,28.68385200980392,33.192053676470586,890.0,1390.0,1603.0,713.0
ALTA2G_7_B1,22.47965867647059,28.68385200980392,33.192053676470586,890.0,1390.0,1603.0,713.0
ALTA6B2_7_N003,19.963252941176474,30.55453921568628,43.09508852941177,1245.0,1149.0,1061.0,184.0
