physical_line,n_scenarios,sum_abs_mu,sub1,sub2,kV,matched_path,rating_MW,rating_source,match_confidence
NOM:22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1,4.0,846509.73835,ELCAJON,LOSCOCHS,69.0,,150.0,voltage proxy 69 kV,0
NOM:7690-CONTRL-INYOKN_EXP_NG,1.0,733108.56189,,,,,,unknown,0
NOM:115 WTG at PEGS,3.0,583163.9313599999,,,,,,unknown,0
NOM:31640_TRES VIS_60.0_31718_TBLE MTN_60.0_BR_1 _1,1.0,151151.1043,TRESVIS,TBLEMTN,60.0,,150.0,voltage proxy 60 kV,0
ITC:AEOLUS_EXP,1.0,145242.61388000002,AEOLUS,,,,,unknown,0
NOM:35642_METCALF _115_30735_METCALF _230_XF_2,2.0,81928.76398999999,METCALF,,230.0,,700.0,voltage proxy 230 kV,0
NOM:7690-COOLWATER_KRAMER_IM_NG,1.0,79321.05848,,,,,,unknown,0
NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1,4.0,70072.19808,PANOCHE,GATES,230.0,Midway -Los Banos,5400.0,WECC path 15,5
NOM:115kv NH,1.0,69761.17413,,,115.0,,250.0,voltage proxy 115 kV,0
NOM:31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11,1.0,32203.844510000003,CARIBOU,XF,115.0,,250.0,voltage proxy 115 kV,0
ITC:WINDSTAR EXPORT TCOR,1.0,31468.31762,WINDSTAR,,,,,unknown,0
ITC:EPE_SNMIC_ITC,1.0,27938.945389999997,EPE,,,,,unknown,0
NOM:7820_TL23040_IV_SPS_NG,1.0,26566.45557,,,,,,unknown,0
NOM:7820_TL649A_OVERLOAD_NG,1.0,23378.843780000003,,,,,,unknown,0
ITC:PINALCENT500_ITC,1.0,20808.8,PINALCENT500,,,,,unknown,0
ITC:Line_QU-YMT_69KV,1.0,20500.08948,QU,YMT,69.0,,150.0,voltage proxy 69 kV,0
