node,archetype,spread,conc,marker,size_node,kstar_physical_line,kstar_rating_MW,kstar_rating_source,MCC_mid,MCC_eve,import_signal,export_signal,hours_covered,kstar_sum_abs_mu,kstar_contribution,top5_lines,top5_shares
MCGPKGEN_7_B1,RED,43.3586512254902,0.1090808050835512,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-4.896658263440861,-0.8793501747311828,-0.8793501747311828,4.896658263440861,744,66830.51208,0.9583366990618365,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | ITC:LDWP_IPP_NORTH | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1 | ITC:CLOVER_MONA_345_2,23% | 18% | 9% | 3% | 3%
RIOHONDO_6_N004,RED,43.51625196078432,0.1141577597936157,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-5.092503553763442,-0.7328705913978494,-0.7328705913978494,5.092503553763442,744,66830.51208,0.9517690619981648,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | ITC:LDWP_IPP_NORTH | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1 | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1,22% | 16% | 9% | 4% | 3%
CHINO_6_N019,RED,43.61317299019608,0.109651270600387,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-4.547247295698925,-0.2955619287634408,-0.2955619287634408,4.547247295698925,744,66830.51208,0.9231027165720216,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1 | ITC:LDWP_IPP_NORTH | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,21% | 16% | 10% | 8% | 3%
DAVIS_1_N018,WHITE,44.04337,0.2374500695980177,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,1.905584666666667,-1.2378470069444445,-1.2378470069444445,-1.905584666666667,720,66830.51208,0.9398449822458256,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | NOM:32214_RIO OSO _115_32225_BRNSWKT1_115_BR_1 _1 | ITC:LDWP_IPP_NORTH | ITC:CLOVER_MONA_345_1,16% | 11% | 11% | 6% | 5%
CASCES_7_N008,WHITE,44.130274166666666,0.1607235904753007,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,1.7308235107526886,-0.253080248655914,-0.253080248655914,-1.7308235107526886,744,66830.51208,0.9553495662661663,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | ITC:LDWP_IPP_NORTH | ITC:CLOVER_MONA_345_1 | NOM:33031_COLSTJT _115_33033_KIRKTAP1_115_BR_1 _1,18% | 12% | 7% | 6% | 6%
JM_6_GN001,WHITE,44.130274166666666,0.1607235904753007,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,1.7308235107526886,-0.253080248655914,-0.253080248655914,-1.7308235107526886,744,66830.51208,0.9553495662661663,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | ITC:LDWP_IPP_NORTH | ITC:CLOVER_MONA_345_1 | NOM:33031_COLSTJT _115_33033_KIRKTAP1_115_BR_1 _1,18% | 12% | 7% | 6% | 6%
TEHAPI1_6_N004,RED,44.60849215686275,0.1003648555291464,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-4.449897795698924,-0.8970632123655914,-0.8970632123655914,4.449897795698924,744,66830.51208,0.9960115519136027,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | ITC:LDWP_IPP_NORTH | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,23% | 18% | 8% | 4% | 3%
WDWLMON1_7_N001,RED,44.60849215686275,0.1003648555291464,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-4.449897795698924,-0.8970632123655914,-0.8970632123655914,4.449897795698924,744,66830.51208,0.9960115519136027,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | ITC:LDWP_IPP_NORTH | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,23% | 18% | 8% | 4% | 3%
MONLTS12_7_N005,RED,44.60849215686275,0.1003648555291464,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-4.449897795698924,-0.8970632123655914,-0.8970632123655914,4.449897795698924,744,66830.51208,0.9960115519136027,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | ITC:LDWP_IPP_NORTH | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,23% | 18% | 8% | 4% | 3%
WNDSTRG2_7_B1,RED,44.60849215686275,0.1003648555291464,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-4.449897795698924,-0.8970632123655914,-0.8970632123655914,4.449897795698924,744,66830.51208,0.9960115519136027,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | ITC:LDWP_IPP_NORTH | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,23% | 18% | 8% | 4% | 3%
WSTWND_7_N001,RED,44.60849215686275,0.1003648555291464,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-4.449897795698924,-0.8970632123655914,-0.8970632123655914,4.449897795698924,744,66830.51208,0.9960115519136027,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | ITC:LDWP_IPP_NORTH | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,23% | 18% | 8% | 4% | 3%
WSTWND_7_N002,RED,44.60849215686275,0.1003648555291464,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-4.449897795698924,-0.8970632123655914,-0.8970632123655914,4.449897795698924,744,66830.51208,0.9960115519136027,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | ITC:LDWP_IPP_NORTH | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,23% | 18% | 8% | 4% | 3%
WNDSTRG1_7_B1,RED,44.60849215686275,0.1003648555291464,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-4.449897795698924,-0.8970632123655914,-0.8970632123655914,4.449897795698924,744,66830.51208,0.9960115519136027,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | ITC:LDWP_IPP_NORTH | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,23% | 18% | 8% | 4% | 3%
ESTWND_7_N001,RED,44.60849215686275,0.1003648555291464,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-4.449897795698924,-0.8970632123655914,-0.8970632123655914,4.449897795698924,744,66830.51208,0.9960115519136027,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | ITC:LDWP_IPP_NORTH | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,23% | 18% | 8% | 4% | 3%
WARNE2_7_B1,RED,44.62101818627451,0.1190301126434164,filled,360884765.232,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-4.938859543010754,-1.293847748655914,-1.293847748655914,4.938859543010754,744,66830.51208,0.9612733970176847,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2 | ITC:LDWP_IPP_NORTH | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1 | NOM:7510-PAR-PAS-OOS_NG,22% | 19% | 9% | 3% | 3%
