physical_line,n_scenarios,sum_abs_mu,sub1,sub2,kV,matched_path,rating_MW,rating_source,match_confidence
NOM:7690-CONTRL-INYOKN_EXP_NG,1.0,585756.19331,,,,,,unknown,0
NOM:115 WTG at PEGS,6.0,370806.67029,,,,,,unknown,0
NOM:22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1,4.0,358304.54824000003,ELCAJON,LOSCOCHS,69.0,,150.0,voltage proxy 69 kV,0
NOM:35352_WHISMAN _115_35356_MNTA VSA_115_BR_1 _1,6.0,149033.24022,WHISMAN,MNTAVSA,115.0,,250.0,voltage proxy 115 kV,0
NOM:35120_NEWARK D_115_36851_NORTHERN_115_BR_1 _1,4.0,144380.59899,NEWARKD,NORTHERN,115.0,,250.0,voltage proxy 115 kV,0
ITC:Line_FC-CH1_345KV,1.0,79256.84413000001,FC,CH1,345.0,West of Cascades -North,10700.0,WECC path 4,2
NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,2.0,56149.29524,GATES1,MIDWAY,500.0,Midway -Los Banos,5400.0,WECC path 15,5
NOM:7690-COOLWATER_KRAMER_IM_NG_RT,1.0,52245.73743,,,,,,unknown,0
NOM:22192_DOUBLTTP_138_22300_FRIARS  _138_BR_1 _1,1.0,41571.76202,DOUBLTTP,FRIARS,138.0,,,voltage 138 kV (no proxy),0
NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1,5.0,37837.85588,PANOCHE,GATES,230.0,Midway -Los Banos,5400.0,WECC path 15,5
ITC:AEOLUS_EXP,1.0,35857.747760000006,AEOLUS,,,,,unknown,0
ITC:WINDSTAR EXPORT TCOR,1.0,35060.08198,WINDSTAR,,,,,unknown,0
NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,1.0,34666.33528,LOSBANOS,PANOCHE,230.0,Midway -Los Banos,5400.0,WECC path 15,7
ITC:Line_SG1-ED5_115KV,1.0,28242.872949999997,SG1,ED5,115.0,Midway -Los Banos,5400.0,WECC path 15,2
NOM:115kv MEB_Ca_AL,1.0,25649.53107,,,115.0,,250.0,voltage proxy 115 kV,0
NOM:CONTRL-PSPS_EXP_NG,1.0,25250.668599999997,,,,,,unknown,0
NOM:OMS 50004 IV-ML OUTAGE_NG,1.0,24837.50071,,,,,,unknown,0
NOM:115kv NH,1.0,24059.4751,,,115.0,,250.0,voltage proxy 115 kV,0
NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,2.0,23987.873499999998,MOSSLD,LASAGUIL,230.0,,700.0,voltage proxy 230 kV,0
NOM:7820_TL649A_OVERLOAD_NG,1.0,17502.6018,,,,,,unknown,0
NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1,2.0,16120.381870000003,TESLA,LOSBANOS,500.0,,2500.0,voltage proxy 500 kV,0
NOM:22464_MIGUEL  _230_22468_MIGUEL  _500_XF_81,2.0,14329.45206,MIGUEL,,500.0,,2500.0,voltage proxy 500 kV,0
ITC:LCS_DON_115,1.0,14076.15523,LCS,,,,,unknown,0
NOM:22480_MIRAMAR _69.0_22756_SCRIPPS _69.0_BR_1 _1,1.0,11765.91858,MIRAMAR,SCRIPPS,69.0,,150.0,voltage proxy 69 kV,0
ITC:EPE_NET_ITC,2.0,11202.97005,EPE,,,,,unknown,0
NOM:115kv PDA,1.0,10817.239559999998,,,115.0,,250.0,voltage proxy 115 kV,0
NOM:MIGUEL_BKs_MXFLW_NG,1.0,9828.39911,,,,,,unknown,0
NOM:30635_NWK DIST_230_30731_LS ESTRS_230_BR_1 _1,1.0,9816.80004,NWKDIST,LSESTRS,230.0,,700.0,voltage proxy 230 kV,0
NOM:31336_HPLND JT_60.0_31206_HPLND JT_115_XF_2,1.0,8955.860639999999,HPLNDJT,,115.0,,250.0,voltage proxy 115 kV,0
NOM:33530_KASSONJ2_115_33548_TRACY   _115_BR_1 _1,2.0,8879.119050000001,KASSONJ2,TRACY,115.0,,250.0,voltage proxy 115 kV,0
ITC:ATW_VEL 1,1.0,8413.759180000001,ATW,,,,,unknown,0
NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,1.0,7461.64852,LEGRAND,ADRATAP,115.0,,250.0,voltage proxy 115 kV,0
NOM:22886_SUNCREST_230_22885_SUNCREST_500_XF_2 _P,1.0,7303.30212,SUNCREST,,500.0,,2500.0,voltage proxy 500 kV,0
ITC:LDWP_IPP_NORTH,2.0,7148.11911,LDWP,,,,,unknown,0
NOM:64229_SUMMIT 2_115_32218_DRUM    _115_BR_2_1,2.0,7094.99928,SUMMIT2,DRUM,115.0,PG&E -Sierra,160.0,WECC path 24,4
NOM:30900_GATES   _230_30970_MIDWAY  _230_BR_1 _1,3.0,5976.9723300000005,GATES,MIDWAY,230.0,Midway -Los Banos,5400.0,WECC path 15,5
NOM:7440_MetcalfImport_Mossld-Metclf,1.0,5616.96247,,,,,,unknown,0
NOM:22604_OTAY    _69.0_22616_OTAYLKTP_69.0_BR_1 _1,2.0,5458.68214,OTAY,OTAYLKTP,69.0,,150.0,voltage proxy 69 kV,0
NOM:VC_TL_681B_export_NG,1.0,5294.484309999999,,,,,,unknown,0
NOM:115kv DL_Mi_Wm,1.0,5050.780709999999,,,115.0,,250.0,voltage proxy 115 kV,0
ITC:PACE_FOURCORNE345_ITC,2.0,4898.302719999999,PACE,,,,,unknown,0
NOM:7690-COOLWATER_KRAMER_IM_NG,1.0,4777.45046,,,,,,unknown,0
ITC:NG XFMR4 A  69KV,1.0,4673.4603,NG,,69.0,,150.0,voltage proxy 69 kV,0
ITC:LADWP_NET_ITC,1.0,4391.65077,LADWP,,,,,unknown,0
NOM:34548_KETTLEMN_70.0_34552_GATES   _70.0_BR_1 _1,1.0,4065.82665,KETTLEMN,GATES,70.0,,150.0,voltage proxy 70 kV,0
ITC:WECC_Path_41,1.0,4037.64749,WECC,,,,,unknown,0
NOM:24087_MAGUNDEN_230_24401_ANTELOPE_230_BR_1 _1,1.0,4027.73111,MAGUNDEN,ANTELOPE,230.0,,700.0,voltage proxy 230 kV,0
NOM:33932_MELONES _115_33934_TULLOCH _115_BR_1 _1,4.0,3610.6852799999997,MELONES,TULLOCH,115.0,,250.0,voltage proxy 115 kV,0
NOM:VC_TL_681B_import_NG,1.0,3465.79784,,,,,,unknown,0
ITC:PACE_NET_ITC,1.0,3059.5019300000004,PACE,,,,,unknown,0
NOM:TL687_BREGGO_NAROWS,1.0,2276.73042,,,,,,unknown,0
ITC:MPSN T341,1.0,2244.53678,MPSN,,,,,unknown,0
NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,1.0,2044.36511,DEVERS,,500.0,,2500.0,voltage proxy 500 kV,0
ITC:HWD_FAR A REA,1.0,1737.47267,HWD,,,,,unknown,0
ITC:PNM_NET_ITC,1.0,1644.99545,PNM,,,,,unknown,0
ITC:GON 345TXF#4,1.0,1540.38701,GON,,,,,unknown,0
ITC:TOTAL_WYOMING_EXPORT,1.0,1364.55274,TOTAL,,,,,unknown,0
ITC:NEVP_NET_ITC,1.0,1338.27132,NEVP,,,,,unknown,0
ITC:LDWP_IPPDC-NS,1.0,1268.51766,LDWP,,,,,unknown,0
ITC:EAST_WYO_EXP,1.0,1155.27695,EAST,,,,,unknown,0
ITC:TEPC_BA_IMP_ITC,1.0,1139.91881,TEPC,,,,,unknown,0
NOM:32056_CORTINA _60.0_30451_CRTNA  M_ 1.0_XF_1,1.0,1133.1480700000002,CORTINA,,60.0,,150.0,voltage proxy 60 kV,0
ITC:SRP_NET_ITC,2.0,1125.6692500000001,SRP,,,,,unknown,0
NOM:30905_TEMPLETN_230_30915_MORROBAY_230_BR_1 _1,1.0,1008.06688,TEMPLETN,MORROBAY,230.0,,700.0,voltage proxy 230 kV,0
NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2,1.0,1000.2701,MIDWAY,WIRLWIND,500.0,Northern -Southern California,4000.0,WECC path 26,6
NOM:30975_MDWAYR11_230_30060_MIDWAY  _500_XF_11_P,1.0,997.64527,MDWAYR11,MIDWAY,500.0,,2500.0,voltage proxy 500 kV,0
NOM:7820_TL 230S_OVERLOAD_NG,1.0,952.53087,,,,,,unknown,0
NOM:24723_CONTROL _115_24865_TAP188  _115_BR_2 _1,1.0,902.71287,CONTROL,TAP188,115.0,,250.0,voltage proxy 115 kV,0
ITC:CAL-WSS__106,3.0,883.33134,CAL,WSS,,,,unknown,0
NOM:OMS_18671853_Devers230Bus_NG,1.0,878.2905199999999,,,,,,unknown,0
NOM:SYLMAR-AC_BG_NG,1.0,759.28466,,,,,,unknown,0
NOM:34418_KINGSBRG_115_34405_FRWT TAP_115_BR_1 _1,1.0,718.1148799999999,KINGSBRG,FRWTTAP,115.0,,250.0,voltage proxy 115 kV,0
