node,spread_D2,spread_D4,spread_D8,rank_D2,rank_D4,rank_D8,rank_shift_2_vs_8
0096WD_7_N001,11.939006666666666,14.731244754901958,15.629116960784312,1087.0,1581.0,1567.0,480.0
1501WDC2_7_ND001,9.688289999999999,12.143408333333333,13.211560245098038,1639.0,1633.0,1743.0,104.0
2C559EQ2_7_N001,11.939006666666666,14.73188789215686,15.629116960784312,1087.0,1557.0,1567.0,480.0
2C559_1_B1,11.939006666666666,14.73188789215686,15.629116960784312,1087.0,1557.0,1567.0,480.0
2C577C1_7_N001,12.451715,17.922739166666666,23.355785833333332,935.0,708.0,437.0,498.0
2PBLSM34_7_N001,13.284143970588236,18.10469730392157,19.729609803921566,782.0,651.0,876.0,94.0
3PEAKS_1_BESS1GNODE,6.569210098039217,8.876699019607845,9.525090980392156,1920.0,2001.0,2008.0,88.0
3PEAKS_GNODE1,6.569210098039217,8.876699019607845,9.525090980392156,1920.0,2001.0,2008.0,88.0
4C687C2_7_N001,9.48001,11.9762075,15.806385833333334,1669.0,1671.0,1504.0,165.0
4C687_1_B1,9.48001,11.9762075,15.806385833333334,1669.0,1671.0,1504.0,165.0
4C744C12_7_N001,11.939006666666666,14.73188789215686,15.629116960784312,1087.0,1557.0,1567.0,480.0
4C744C22_7_N001,11.939006666666666,14.73188789215686,15.629116960784312,1087.0,1557.0,1567.0,480.0
4C744C32_7_N001,11.939006666666666,14.73188789215686,15.629116960784312,1087.0,1557.0,1567.0,480.0
4C744C42_7_N001,11.939006666666666,14.73188789215686,15.629116960784312,1087.0,1557.0,1567.0,480.0
90TH.SO_GNODEPDRP1,3.0639801470588237,3.3900752941176475,3.5831978431372553,2140.0,2141.0,2143.0,3.0
ACACIA_7_N001,14.34744,18.44068098039216,19.769759803921566,430.0,518.0,798.0,368.0
ADCC_2_N001,9.509214166666666,12.002473333333333,15.830509166666666,1659.0,1664.0,1500.0,159.0
ADERAG1_7_N001,18.0360225,25.382979166666665,27.054324166666664,273.0,297.0,374.0,101.0
ADRATAP_1_B1,18.0360225,25.382979166666665,27.054324166666664,273.0,297.0,374.0,101.0
AGATEBAY_7_GNODE1,36.946383284313725,49.8446975,66.98152049019608,77.0,77.0,77.0,0.0
AGRCJCT_6_B1,23.42507333333333,32.22947583333333,39.25014,237.0,239.0,236.0,1.0
AGRICO_7_NBT1,23.42507333333333,32.22947583333333,39.25014,237.0,239.0,236.0,1.0
