physical_line,n_tpp_projects,earliest_isd_active,latest_isd_active,oldest_plan_year,max_slip_years,projects_summary,projects_summary_html,sources_checked_html
ITC:CCWF T2,0,,,,,,,"&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/approved-projects-transmission-planning-process-jul-2025.xlsx"" target=""_blank"" rel=""noopener"">CAISO Approved Projects XLSX (Jul-2025)</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/appendix-h-board-approved-2024-2025-transmission-plan.pdf"" target=""_blank"" rel=""noopener"">CAISO 2024-2025 Board-Approved Transmission Plan, Appendix H</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/attachment-1-approved-projects-transmission-planning-process-oct-2025.pdf"" target=""_blank"" rel=""noopener"">CAISO Approved Projects Attachment 1 (Oct 2025, SCE)</a>"
ITC:CFE_ITC,0,,,,,,,"&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/approved-projects-transmission-planning-process-jul-2025.xlsx"" target=""_blank"" rel=""noopener"">CAISO Approved Projects XLSX (Jul-2025)</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/appendix-h-board-approved-2024-2025-transmission-plan.pdf"" target=""_blank"" rel=""noopener"">CAISO 2024-2025 Board-Approved Transmission Plan, Appendix H</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/attachment-1-approved-projects-transmission-planning-process-oct-2025.pdf"" target=""_blank"" rel=""noopener"">CAISO Approved Projects Attachment 1 (Oct 2025, SCE)</a>"
ITC:CISO_NET_ITC,0,,,,,,,"&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/approved-projects-transmission-planning-process-jul-2025.xlsx"" target=""_blank"" rel=""noopener"">CAISO Approved Projects XLSX (Jul-2025)</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/appendix-h-board-approved-2024-2025-transmission-plan.pdf"" target=""_blank"" rel=""noopener"">CAISO 2024-2025 Board-Approved Transmission Plan, Appendix H</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/attachment-1-approved-projects-transmission-planning-process-oct-2025.pdf"" target=""_blank"" rel=""noopener"">CAISO Approved Projects Attachment 1 (Oct 2025, SCE)</a>"
ITC:CLOVER_MONA_345_1,0,,,,,,,"&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/approved-projects-transmission-planning-process-jul-2025.xlsx"" target=""_blank"" rel=""noopener"">CAISO Approved Projects XLSX (Jul-2025)</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/appendix-h-board-approved-2024-2025-transmission-plan.pdf"" target=""_blank"" rel=""noopener"">CAISO 2024-2025 Board-Approved Transmission Plan, Appendix H</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/attachment-1-approved-projects-transmission-planning-process-oct-2025.pdf"" target=""_blank"" rel=""noopener"">CAISO Approved Projects Attachment 1 (Oct 2025, SCE)</a>"
ITC:CLOVER_MONA_345_2,0,,,,,,,"&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/approved-projects-transmission-planning-process-jul-2025.xlsx"" target=""_blank"" rel=""noopener"">CAISO Approved Projects XLSX (Jul-2025)</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/appendix-h-board-approved-2024-2025-transmission-plan.pdf"" target=""_blank"" rel=""noopener"">CAISO 2024-2025 Board-Approved Transmission Plan, Appendix H</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/attachment-1-approved-projects-transmission-planning-process-oct-2025.pdf"" target=""_blank"" rel=""noopener"">CAISO Approved Projects Attachment 1 (Oct 2025, SCE)</a>"
ITC:COTPISO_ITC,0,,,,,,,"&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/approved-projects-transmission-planning-process-jul-2025.xlsx"" target=""_blank"" rel=""noopener"">CAISO Approved Projects XLSX (Jul-2025)</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/appendix-h-board-approved-2024-2025-transmission-plan.pdf"" target=""_blank"" rel=""noopener"">CAISO 2024-2025 Board-Approved Transmission Plan, Appendix H</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/attachment-1-approved-projects-transmission-planning-process-oct-2025.pdf"" target=""_blank"" rel=""noopener"">CAISO Approved Projects Attachment 1 (Oct 2025, SCE)</a>"
ITC:CTW_SHA1,0,,,,,,,"&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/approved-projects-transmission-planning-process-jul-2025.xlsx"" target=""_blank"" rel=""noopener"">CAISO Approved Projects XLSX (Jul-2025)</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/appendix-h-board-approved-2024-2025-transmission-plan.pdf"" target=""_blank"" rel=""noopener"">CAISO 2024-2025 Board-Approved Transmission Plan, Appendix H</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/attachment-1-approved-projects-transmission-planning-process-oct-2025.pdf"" target=""_blank"" rel=""noopener"">CAISO Approved Projects Attachment 1 (Oct 2025, SCE)</a>"
ITC:CZ 345kV,0,,,,,,,"&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/approved-projects-transmission-planning-process-jul-2025.xlsx"" target=""_blank"" rel=""noopener"">CAISO Approved Projects XLSX (Jul-2025)</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/appendix-h-board-approved-2024-2025-transmission-plan.pdf"" target=""_blank"" rel=""noopener"">CAISO 2024-2025 Board-Approved Transmission Plan, Appendix H</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/attachment-1-approved-projects-transmission-planning-process-oct-2025.pdf"" target=""_blank"" rel=""noopener"">CAISO Approved Projects Attachment 1 (Oct 2025, SCE)</a>"
ITC:EAST_WYO_EXP,0,,,,,,,"&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/approved-projects-transmission-planning-process-jul-2025.xlsx"" target=""_blank"" rel=""noopener"">CAISO Approved Projects XLSX (Jul-2025)</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/appendix-h-board-approved-2024-2025-transmission-plan.pdf"" target=""_blank"" rel=""noopener"">CAISO 2024-2025 Board-Approved Transmission Plan, Appendix H</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/attachment-1-approved-projects-transmission-planning-process-oct-2025.pdf"" target=""_blank"" rel=""noopener"">CAISO Approved Projects Attachment 1 (Oct 2025, SCE)</a>"
ITC:ELC-NW,0,,,,,,,"&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/approved-projects-transmission-planning-process-jul-2025.xlsx"" target=""_blank"" rel=""noopener"">CAISO Approved Projects XLSX (Jul-2025)</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/appendix-h-board-approved-2024-2025-transmission-plan.pdf"" target=""_blank"" rel=""noopener"">CAISO 2024-2025 Board-Approved Transmission Plan, Appendix H</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/attachment-1-approved-projects-transmission-planning-process-oct-2025.pdf"" target=""_blank"" rel=""noopener"">CAISO Approved Projects Attachment 1 (Oct 2025, SCE)</a>"
ITC:ELDORADO_ITC,0,,,,,,,"&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/approved-projects-transmission-planning-process-jul-2025.xlsx"" target=""_blank"" rel=""noopener"">CAISO Approved Projects XLSX (Jul-2025)</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/appendix-h-board-approved-2024-2025-transmission-plan.pdf"" target=""_blank"" rel=""noopener"">CAISO 2024-2025 Board-Approved Transmission Plan, Appendix H</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/attachment-1-approved-projects-transmission-planning-process-oct-2025.pdf"" target=""_blank"" rel=""noopener"">CAISO Approved Projects Attachment 1 (Oct 2025, SCE)</a>"
ITC:EPE_NET_ITC,0,,,,,,,"&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/approved-projects-transmission-planning-process-jul-2025.xlsx"" target=""_blank"" rel=""noopener"">CAISO Approved Projects XLSX (Jul-2025)</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/appendix-h-board-approved-2024-2025-transmission-plan.pdf"" target=""_blank"" rel=""noopener"">CAISO 2024-2025 Board-Approved Transmission Plan, Appendix H</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/attachment-1-approved-projects-transmission-planning-process-oct-2025.pdf"" target=""_blank"" rel=""noopener"">CAISO Approved Projects Attachment 1 (Oct 2025, SCE)</a>"
ITC:EPE_SNMIC_ITC,0,,,,,,,"&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/approved-projects-transmission-planning-process-jul-2025.xlsx"" target=""_blank"" rel=""noopener"">CAISO Approved Projects XLSX (Jul-2025)</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/appendix-h-board-approved-2024-2025-transmission-plan.pdf"" target=""_blank"" rel=""noopener"">CAISO 2024-2025 Board-Approved Transmission Plan, Appendix H</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/attachment-1-approved-projects-transmission-planning-process-oct-2025.pdf"" target=""_blank"" rel=""noopener"">CAISO Approved Projects Attachment 1 (Oct 2025, SCE)</a>"
ITC:FOOTECRE_STANDPIP_230,0,,,,,,,"&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/approved-projects-transmission-planning-process-jul-2025.xlsx"" target=""_blank"" rel=""noopener"">CAISO Approved Projects XLSX (Jul-2025)</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/appendix-h-board-approved-2024-2025-transmission-plan.pdf"" target=""_blank"" rel=""noopener"">CAISO 2024-2025 Board-Approved Transmission Plan, Appendix H</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/attachment-1-approved-projects-transmission-planning-process-oct-2025.pdf"" target=""_blank"" rel=""noopener"">CAISO Approved Projects Attachment 1 (Oct 2025, SCE)</a>"
ITC:FRCE-PINT1,0,,,,,,,"&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/approved-projects-transmission-planning-process-jul-2025.xlsx"" target=""_blank"" rel=""noopener"">CAISO Approved Projects XLSX (Jul-2025)</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/appendix-h-board-approved-2024-2025-transmission-plan.pdf"" target=""_blank"" rel=""noopener"">CAISO 2024-2025 Board-Approved Transmission Plan, Appendix H</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/attachment-1-approved-projects-transmission-planning-process-oct-2025.pdf"" target=""_blank"" rel=""noopener"">CAISO Approved Projects Attachment 1 (Oct 2025, SCE)</a>"
ITC:GON 345TXF#4,0,,,,,,,"&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/approved-projects-transmission-planning-process-jul-2025.xlsx"" target=""_blank"" rel=""noopener"">CAISO Approved Projects XLSX (Jul-2025)</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/appendix-h-board-approved-2024-2025-transmission-plan.pdf"" target=""_blank"" rel=""noopener"">CAISO 2024-2025 Board-Approved Transmission Plan, Appendix H</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/attachment-1-approved-projects-transmission-planning-process-oct-2025.pdf"" target=""_blank"" rel=""noopener"">CAISO Approved Projects Attachment 1 (Oct 2025, SCE)</a>"
ITC:GON-IPP 230,0,,,,,,,"&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/approved-projects-transmission-planning-process-jul-2025.xlsx"" target=""_blank"" rel=""noopener"">CAISO Approved Projects XLSX (Jul-2025)</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/appendix-h-board-approved-2024-2025-transmission-plan.pdf"" target=""_blank"" rel=""noopener"">CAISO 2024-2025 Board-Approved Transmission Plan, Appendix H</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/attachment-1-approved-projects-transmission-planning-process-oct-2025.pdf"" target=""_blank"" rel=""noopener"">CAISO Approved Projects Attachment 1 (Oct 2025, SCE)</a>"
ITC:GRACE_THREEMLE_138,0,,,,,,,"&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/approved-projects-transmission-planning-process-jul-2025.xlsx"" target=""_blank"" rel=""noopener"">CAISO Approved Projects XLSX (Jul-2025)</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/appendix-h-board-approved-2024-2025-transmission-plan.pdf"" target=""_blank"" rel=""noopener"">CAISO 2024-2025 Board-Approved Transmission Plan, Appendix H</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/attachment-1-approved-projects-transmission-planning-process-oct-2025.pdf"" target=""_blank"" rel=""noopener"">CAISO Approved Projects Attachment 1 (Oct 2025, SCE)</a>"
ITC:GYTH _Gallup_Enr,0,,,,,,,"&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/approved-projects-transmission-planning-process-jul-2025.xlsx"" target=""_blank"" rel=""noopener"">CAISO Approved Projects XLSX (Jul-2025)</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/appendix-h-board-approved-2024-2025-transmission-plan.pdf"" target=""_blank"" rel=""noopener"">CAISO 2024-2025 Board-Approved Transmission Plan, Appendix H</a><br>&nbsp;&nbsp;• <a href=""https://www.caiso.com/documents/attachment-1-approved-projects-transmission-planning-process-oct-2025.pdf"" target=""_blank"" rel=""noopener"">CAISO Approved Projects Attachment 1 (Oct 2025, SCE)</a>"
