constraint_key,n_binding_intervals,sum_mu,sum_abs_mu,max_mu,min_mu,abs_sum_mu,type
NOM:39021_SC21ATP _70.0_34888_ARVIN   _70.0_BR_1 _1|PG1 WHELRG-WEEDPC 70,1705,1339678.5753,1339678.5753,1498.7099,0.0,1339678.5753,NOM
NOM:24723_CONTROL _115_24865_TAP188  _115_BR_2 _1|Base Case,1757,467596.81348,467596.81348,1452.8451,0.0,467596.81348,NOM
NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1|PG1 MOSSLD-LOSBNS 500,1317,398051.10369,398051.10369,1163.34447,0.0,398051.10369,NOM
NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1|PG1 LOSBNS 500-230 BK1,1838,363318.0369,363318.0369,662.76538,0.0,363318.0369,NOM
NOM:31336_HPLND JT_60.0_31370_CLVRDLJT_60.0_BR_1 _1|PG1 EGLRK-SLVR-FLTN 115_M,492,319370.87947000004,319370.87947000004,838.86052,0.0,319370.87947000004,NOM
NOM:39021_SC21ATP _70.0_34888_ARVIN   _70.0_BR_1 _1|Base Case,275,249007.27996,249007.27996,4332.70173,0.0,249007.27996,NOM
NOM:7430_KTTLM_GATES_70_1|Base Case,1913,-206570.59683999998,206570.59683999998,0.0,-342.18984,206570.59683999998,NOM
NOM:7430_CP6_NG|Base Case,884,-130402.37842000001,130402.37842000001,0.0,-1207.2915,130402.37842000001,NOM
NOM:34418_KINGSBRG_115_34428_CONTADNA_115_BR_1 _1|Base Case,213,115760.87514999999,115760.87514999999,2774.09086,0.0,115760.87514999999,NOM
NOM:22886_SUNCREST_230_92861_SUNC TP2_230_BR_2 _1|SD1 ECONTY-MIGUEL 500_M,632,115723.54769,115723.54769,473.83081,0.0,115723.54769,NOM
NOM:31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11|Base Case,1168,112088.84012,112088.84012,201.28905,0.0,112088.84012,NOM
NOM:22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1|SD1 MIGUEL-JMACHA_1 69,249,112009.98898,112009.98898,1413.84437,0.0,112009.98898,NOM
NOM:34366_SANGER  _115_34370_MC CALL _115_BR_3 _1|PG1 MCCALL-SANGER_2 115,212,111553.05175999999,111553.05175999999,2025.32938,0.0,111553.05175999999,NOM
NOM:30765_LOSBANOS_230_30766_PADR FLT_230_BR_1 _1|Base Case,1055,105321.65777,105321.65777,237.29031,0.0,105321.65777,NOM
NOM:34321_MCSWAINJ_70.0_34232_EXCHEQUR_70.0_BR_1 _1|PG1 WILSON-LGRAND 115,355,101360.27171,101360.27171,1391.92668,0.0,101360.27171,NOM
NOM:39021_SC21ATP _70.0_34888_ARVIN   _70.0_BR_1 _1|PG1 MIDWAY-KERNPP 230 1,60,100777.41645,100777.41645,3432.67045,0.0,100777.41645,NOM
NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1|PG1 GATES-LOSBNS_1 500,296,98810.88284,98810.88284,785.13561,0.0,98810.88284,NOM
NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1|PG1 MNDOTA-PNOCHE 115,2849,98556.00547,98574.64387,206.20342,-4.11714,98556.00547,NOM
NOM:34548_KETTLEMN_70.0_34552_GATES   _70.0_BR_1 _1|Base Case,759,87994.46354999999,87994.46354999999,176.93647,0.0,87994.46354999999,NOM
ITC:RP _Prager_Monta|I|PNM1 PAJARITO-SANDIA 345,98,70402.02232999999,70402.02232999999,1000.0,0.0,70402.02232999999,ITC
ITC:INTNEL|E|Base Case,211,65705.53187,65705.53187,1385.82143,0.0,65705.53187,ITC
NOM:34101_CERTANJ2_115_34116_LE GRAND_115_BR_1 _1|Base Case,304,61642.22005999999,61642.22005999999,1222.38034,0.0,61642.22005999999,NOM
NOM:7430_MEN_SNJQJ_HELM_70|Base Case,2109,-59313.12607,59313.12607,0.0,-189.23982,59313.12607,NOM
NOM:24602_VICTOR  _115_24607_ROADWAY _115_BR_1 _1|Base Case,634,54881.47459,54881.47459,151.59845,0.0,54881.47459,NOM
NOM:39021_SC21ATP _70.0_34888_ARVIN   _70.0_BR_1 _1|PG1 MIDWAY-KERNPP 230 3,40,49610.00469,49610.00469,1789.97775,0.0,49610.00469,NOM
NOM:34418_KINGSBRG_115_34428_CONTADNA_115_BR_1 _1|PG1 GATES-LOSBNS_1 500,525,49055.15574,49055.15574,1251.43859,0.0,49055.15574,NOM
NOM:34112_EXCHEQUR_115_34116_LE GRAND_115_BR_1 _1|Base Case,1630,47414.11202,47414.11202,419.60129,0.0,47414.11202,NOM
NOM:39021_SC21ATP _70.0_34888_ARVIN   _70.0_BR_1 _1|PG1 MIDWAY-KERNPP 230 4,29,45419.28416,45419.28416,3314.39672,0.0,45419.28416,NOM
NOM:33543_AEC_TP2 _115_33540_TESLA   _115_BR_1 _1|PG1 TESLA-SCHLTE_1 115_M,559,43631.721190000004,43631.721190000004,876.77876,0.0,43631.721190000004,NOM
NOM:30300_TABLMTN _230_30330_RIO OSO _230_BR_1 _1|PG1 TBLMTN 500-230 BK5,137,42890.170679999996,42890.170679999996,902.60928,0.0,42890.170679999996,NOM
NOM:92321_SYCA TP2_230_22832_SYCAMORE_230_BR_2 _1|SD1 ECONTY-MIGUEL 500_M,316,40172.32445,40172.32445,690.68251,0.0,40172.32445,NOM
NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1|PG1 GATES-LOSBNS_1 500,371,39720.513979999996,39720.513979999996,783.12715,0.0,39720.513979999996,NOM
NOM:34882_SAN EMDO_70.0_34904_OLD RIVR_70.0_BR_1 _1|Base Case,728,39320.580069999996,39320.580069999996,186.63026,0.0,39320.580069999996,NOM
ITC:TAR BK E|I|LA1 TAR_OLY 3,109,33873.70564,33873.70564,1000.0,0.0,33873.70564,ITC
NOM:34418_KINGSBRG_115_34405_FRWT TAP_115_BR_1 _1|PG1 KNGBRG-WAUKNA 115,1472,33238.54711,33270.55571,202.156,-5.75751,33238.54711,NOM
NOM:34860_TAFT    _70.0_34943_Q356TAP _70.0_BR_1 _1|Base Case,416,28477.91656,28477.91656,956.5573,0.0,28477.91656,NOM
NOM:7690-INYOKN_VOLTAGE_EX_NG|Base Case,112,-28136.954019999997,28136.954019999997,0.0,-1043.79389,28136.954019999997,NOM
NOM:24701_KRAMER  _230_24601_VICTOR  _230_BR_2 _1|Base Case,357,27584.621189999998,27584.621189999998,141.84715,0.0,27584.621189999998,NOM
