node,archetype,MCC_mid,MCC_eve,import_signal,export_signal,spread,conc,marker,hours_covered
KRNSNST_7_N001,BLUE,293.3957386075269,343.5653462163978,343.5653462163978,-293.3957386075269,2589.3964860784313,0.06250135929180482,filled,744
RIOBRVQF_6_N001,BLUE,195.73128196236559,230.7229190322581,230.7229190322581,-195.73128196236559,1818.4185669117649,0.06241588398957891,filled,744
KRNCNYN_6_N001,BLUE,195.73128196236559,230.7229190322581,230.7229190322581,-195.73128196236559,1818.4185669117649,0.06241588398957891,filled,744
SC21ATP_6_B1,RED,-145.88107649999998,-164.38454485887098,-164.38454485887098,145.88107649999998,1484.0128200980394,0.1236427973103224,filled,744
S621AC_7_N001,RED,-145.88107649999998,-164.38454485887098,-164.38454485887098,145.88107649999998,1484.0128200980394,0.1236427973103224,filled,744
S621AC_7_N002,RED,-145.88107649999998,-164.38454485887098,-164.38454485887098,145.88107649999998,1484.0128200980394,0.1236427973103224,filled,744
AVENAL_6_GN001,RED,-147.46674335555556,-4.351148027777778,-4.351148027777778,147.46674335555556,854.5586769607844,0.055469107457977083,filled,720
AVENGEN_7_N002,RED,-147.46674335555556,-4.351148027777778,-4.351148027777778,147.46674335555556,854.5586769607844,0.055469107457977083,filled,720
AVENGEN_7_N001,RED,-147.46674335555556,-4.351148027777778,-4.351148027777778,147.46674335555556,854.5586769607844,0.055469107457977083,filled,720
AVENAL_6_GN003,RED,-147.46674335555556,-4.351148027777778,-4.351148027777778,147.46674335555556,854.5586769607844,0.055469107457977083,filled,720
AVENAL_6_GN002,RED,-147.46674335555556,-4.351148027777778,-4.351148027777778,147.46674335555556,854.5586769607844,0.055469107457977083,filled,720
GRAPEVNE_6_GN001,RED,-63.570704618279564,-71.67375122311827,-71.67375122311827,63.570704618279564,640.3472950980392,0.08698661212646312,filled,744
LAKEVIEW_7_N001,RED,-45.37581177419355,-47.667632439516126,-47.667632439516126,45.37581177419355,433.42713730392154,0.0634337714638634,filled,744
S622B_7_N003,RED,-45.37581177419355,-47.667632439516126,-47.667632439516126,45.37581177419355,433.42713730392154,0.0634337714638634,filled,744
ADERAG1_7_N001,RED,-75.21147432222223,-80.39472574999998,-80.39472574999998,75.21147432222223,386.7591240196079,0.19658606026937953,filled,720
ADRATAP_1_B1,RED,-75.21147432222223,-80.39472574999998,-80.39472574999998,75.21147432222223,386.7591240196079,0.19658606026937953,filled,720
DARYLDGN_7_N002,RED,-72.53389236021505,-72.50389944892473,-72.50389944892473,72.53389236021505,373.3283745588235,0.18384309018470335,filled,744
DARYLDGN_7_N003,RED,-72.53389236021505,-72.50389944892473,-72.50389944892473,72.53389236021505,373.3283745588235,0.18384309018470335,filled,744
DAIRYLND_1_N013,RED,-72.53389236021505,-72.50389944892473,-72.50389944892473,72.53389236021505,373.3283745588235,0.18384309018470335,filled,744
CONTROL_1_N034,RED,-29.26517541397849,-61.36258451612903,-61.36258451612903,29.26517541397849,371.80571544117646,0.17039966528411435,filled,744
CONTROLX_1_N009,RED,-29.26517541397849,-61.36258451612903,-61.36258451612903,29.26517541397849,371.80571544117646,0.17039966528411435,filled,744
CONTROLX_1_N008,RED,-29.26517541397849,-61.36258451612903,-61.36258451612903,29.26517541397849,371.80571544117646,0.17039966528411435,filled,744
CONTROLX_1_N005,RED,-29.26517541397849,-61.36258451612903,-61.36258451612903,29.26517541397849,371.80571544117646,0.17039966528411435,filled,744
CONTROLX_1_N003,RED,-29.26517541397849,-61.36258451612903,-61.36258451612903,29.26517541397849,371.80571544117646,0.17039966528411435,filled,744
CONTROLX_1_N010,RED,-29.26517541397849,-61.36258451612903,-61.36258451612903,29.26517541397849,371.80571544117646,0.17039966528411435,filled,744
CONTROL_1_B1,RED,-29.26517541397849,-61.36258451612903,-61.36258451612903,29.26517541397849,371.80571544117646,0.17039966528411435,filled,744
CSADIAB_7_N001,RED,-29.26517541397849,-61.36258451612903,-61.36258451612903,29.26517541397849,371.80571544117646,0.17039966528411435,filled,744
ELCAJN_7_N004,BLUE,27.009215719298247,51.18992389254386,51.18992389254386,-27.009215719298247,367.8409771568628,0.2465597426648579,filled,456
CONTROL_7_B1,RED,-29.009185408602146,-61.44639495967742,-61.44639495967742,29.009185408602146,366.2509555392156,0.17162329548171526,filled,744
CONTROL_7_N021,RED,-29.009185408602146,-61.44639495967742,-61.44639495967742,29.009185408602146,366.2509555392156,0.17162329548171526,filled,744
LTBERA03_7_N001,RED,-64.4128810376344,-35.15809793010753,-35.15809793010753,64.4128810376344,308.67916014705884,0.10076119540287919,filled,744
MENDOTA_1_B1,RED,-64.4128810376344,-35.15809793010753,-35.15809793010753,64.4128810376344,308.67916014705884,0.10076119540287919,filled,744
Q607GEN_7_N002,RED,-64.4128810376344,-35.15809793010753,-35.15809793010753,64.4128810376344,308.67916014705884,0.10076119540287919,filled,744
LTBERA06_7_N003,RED,-64.4128810376344,-35.15809793010753,-35.15809793010753,64.4128810376344,308.67916014705884,0.10076119540287919,filled,744
SOLBGEN_7_N001,RED,-64.4128810376344,-35.15809793010753,-35.15809793010753,64.4128810376344,308.67916014705884,0.10076119540287919,filled,744
LTBERA04_7_N001,RED,-64.4128810376344,-35.15809793010753,-35.15809793010753,64.4128810376344,308.67916014705884,0.10076119540287919,filled,744
LTBERA05_7_N002,RED,-64.4128810376344,-35.15809793010753,-35.15809793010753,64.4128810376344,308.67916014705884,0.10076119540287919,filled,744
BIOMSJCT_6_B1,RED,-64.64570506666665,-35.44200159722222,-35.44200159722222,64.64570506666665,307.30664968137256,0.1040657939070196,filled,720
BIOMSJCT_6_GN001,RED,-64.64570506666665,-35.44200159722222,-35.44200159722222,64.64570506666665,307.30664968137256,0.1040657939070196,filled,720
SANBRN_7_NSR1,RED,-32.33947360752688,-32.794571874999995,-32.794571874999995,32.33947360752688,292.6506196568627,0.06695460197606821,filled,744
SANBRN_7_ND004,RED,-32.33947360752688,-32.794571874999995,-32.794571874999995,32.33947360752688,292.6506196568627,0.06695460197606821,filled,744
WINDGAP_2_N003,RED,-30.06995967204301,-30.048305994623657,-30.048305994623657,30.06995967204301,265.79081274509804,0.06821529660147684,filled,744
