node,archetype,spread,size_node,kstar_physical_line,kstar_rating_MW,Latitude,Longitude,Plant Name,conc
KRNCNYN_6_N001,BLUE,1486.6387356372547,267673884.084,NOM:39021_SC21ATP _70.0_34888_ARVIN   _70.0_BR_1 _1,150.0,35.44072,-118.796498,Kern Canyon,0.0975326551507913
MENDOTA_1_B1,RED,276.871181372549,29051306.0625,NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,250.0,36.755896,-120.365422,Covanta Mendota,0.0710087955926941
ADERAG1_7_N001,RED,275.0485268627451,29051306.0625,NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,250.0,37.120586,-120.32488,Adera Solar,0.0785478344089647
CANTGEN_7_N002,RED,254.07323303921572,2495496166.596,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,36.425085,-120.343543,Cantua Solar Station,0.0521400916417683
