node,archetype,spread,conc,marker,size_node,kstar_physical_line,kstar_rating_MW,kstar_rating_source,MCC_mid,MCC_eve,import_signal,export_signal,hours_covered,kstar_contribution,n_months_active,size_cv,size_max_share,same_kstar_months,persistence_label,n_tpp_projects,earliest_isd_active,oldest_plan_year,max_slip_years,projects_summary
OASISC1_7_N008,RED,49.222096029411766,0.15058134352135397,filled,283786787.543,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-7.44949858030274,-0.4318013582842634,-0.4318013582842634,7.44949858030274,8759,0.9141901251537878,12,1.3504999166522818,0.3889688652110409,3,12/12 mo · variable,0.0,,,,
OASISC1_7_N009,RED,49.222096029411766,0.15058134352135397,filled,283786787.543,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-7.44949858030274,-0.4318013582842634,-0.4318013582842634,7.44949858030274,8759,0.9141901251537878,12,1.3504999166522818,0.3889688652110409,3,12/12 mo · variable,0.0,,,,
OASISC1_7_N010,RED,49.222096029411766,0.15058134352135397,filled,283786787.543,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-7.44949858030274,-0.4318013582842634,-0.4318013582842634,7.44949858030274,8759,0.9141901251537878,12,1.3504999166522818,0.3889688652110409,3,12/12 mo · variable,0.0,,,,
OASISC1_7_N011,RED,49.222096029411766,0.15058134352135397,filled,283786787.543,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-7.44949858030274,-0.4318013582842634,-0.4318013582842634,7.44949858030274,8759,0.9141901251537878,12,1.3504999166522818,0.3889688652110409,3,12/12 mo · variable,0.0,,,,
OASISC1_7_N012,RED,49.222096029411766,0.15058134352135397,filled,283786787.543,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-7.44949858030274,-0.4318013582842634,-0.4318013582842634,7.44949858030274,8759,0.9141901251537878,12,1.3504999166522818,0.3889688652110409,3,12/12 mo · variable,0.0,,,,
OASISC1_7_N013,RED,49.222096029411766,0.15058134352135397,filled,283786787.543,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-7.44949858030274,-0.4318013582842634,-0.4318013582842634,7.44949858030274,8759,0.9141901251537878,12,1.3504999166522818,0.3889688652110409,3,12/12 mo · variable,0.0,,,,
OASISC1_7_N014,RED,49.222096029411766,0.15058134352135397,filled,283786787.543,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-7.44949858030274,-0.4318013582842634,-0.4318013582842634,7.44949858030274,8759,0.9141901251537878,12,1.3504999166522818,0.3889688652110409,3,12/12 mo · variable,0.0,,,,
OASISG2_7_N001,RED,49.222096029411766,0.15058134352135397,filled,283786787.543,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-7.44949858030274,-0.4318013582842634,-0.4318013582842634,7.44949858030274,8759,0.9141901251537878,12,1.3504999166522818,0.3889688652110409,3,12/12 mo · variable,0.0,,,,
OASISG2_7_N003,RED,49.222096029411766,0.15058134352135397,filled,283786787.543,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-7.44949858030274,-0.4318013582842634,-0.4318013582842634,7.44949858030274,8759,0.9141901251537878,12,1.3504999166522818,0.3889688652110409,3,12/12 mo · variable,0.0,,,,
OBERON_7_N101,RED,38.70208848039216,0.17953471033797405,filled,221567628.775,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,voltage proxy 500 kV,-9.513595422211555,-1.6086400679030126,-1.6086400679030126,9.513595422211555,8759,1.1102187593410284,11,0.5261602353162576,0.1620619985881853,4,11/12 mo · moderate,0.0,,,,
