node,archetype,spread,conc,marker,size_node,kstar_physical_line,kstar_rating_MW,kstar_rating_source,MCC_mid,MCC_eve,import_signal,export_signal,hours_covered,kstar_sum_abs_mu,kstar_contribution,top5_lines,top5_shares
MARTINC_1_GN001,WHITE,105.77873977941177,0.0914975447438429,filled,,NOM:6110_COI_S-N,,unknown,3.736191041666666,1.285442373511905,1.285442373511905,-3.736191041666666,672,50237.93159,3.080373031417124,NOM:6110_COI_S-N | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30005_ROUND MT_500_30245_ROUND MT_230_XF_1 _P,30% | 23% | 21% | 6% | 5%
MARTINC_1_B1,WHITE,105.77873977941177,0.0914975447438429,filled,,NOM:6110_COI_S-N,,unknown,3.736191041666666,1.285442373511905,1.285442373511905,-3.736191041666666,672,50237.93159,3.080373031417124,NOM:6110_COI_S-N | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30005_ROUND MT_500_30245_ROUND MT_230_XF_1 _P,30% | 23% | 21% | 6% | 5%
PLOALTO_1_N001,WHITE,105.76451384803924,0.0923287102750513,filled,,NOM:6110_COI_S-N,,unknown,3.9477843928571423,1.2817499032738096,1.2817499032738096,-3.9477843928571423,672,50237.93159,3.0807508896137703,NOM:6110_COI_S-N | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30005_ROUND MT_500_30245_ROUND MT_230_XF_1 _P,30% | 23% | 21% | 6% | 5%
PLOALTO_1_N019,WHITE,105.76451384803924,0.0923287102750513,filled,,NOM:6110_COI_S-N,,unknown,3.9477843928571423,1.2817499032738096,1.2817499032738096,-3.9477843928571423,672,50237.93159,3.0807508896137703,NOM:6110_COI_S-N | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30005_ROUND MT_500_30245_ROUND MT_230_XF_1 _P,30% | 23% | 21% | 6% | 5%
CLERLKE_6_N001,WHITE,105.73297056372547,0.1190613845553321,filled,,NOM:6110_COI_S-N,,unknown,1.8658584166666663,1.9375261086309523,1.9375261086309523,-1.8658584166666663,672,50237.93159,3.1602120519573007,NOM:6110_COI_S-N | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30005_ROUND MT_500_30245_ROUND MT_230_XF_1 _P | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,29% | 26% | 19% | 9% | 4%
JARVIS_1_GN001,WHITE,105.5522030392157,0.1013311435018288,filled,,NOM:6110_COI_S-N,,unknown,4.4793340059523805,1.2812377083333335,1.2812377083333335,-4.4793340059523805,672,50237.93159,3.0795543268768575,NOM:6110_COI_S-N | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30005_ROUND MT_500_30245_ROUND MT_230_XF_1 _P,30% | 22% | 21% | 6% | 5%
NEWARKD_1_N126,WHITE,105.5522030392157,0.1013311435018288,filled,,NOM:6110_COI_S-N,,unknown,4.4793340059523805,1.2812377083333335,1.2812377083333335,-4.4793340059523805,672,50237.93159,3.0795543268768575,NOM:6110_COI_S-N | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30005_ROUND MT_500_30245_ROUND MT_230_XF_1 _P,30% | 22% | 21% | 6% | 5%
EMBRCDR_2_N001,WHITE,105.53144318627452,0.0919106969640791,filled,,NOM:6110_COI_S-N,,unknown,3.763066773809524,1.2900673958333333,1.2900673958333333,-3.763066773809524,672,50237.93159,3.0784906927243534,NOM:6110_COI_S-N | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30005_ROUND MT_500_30245_ROUND MT_230_XF_1 _P,30% | 22% | 21% | 6% | 5%
DELTAPMP_2_N008,WHITE,105.25079382352942,0.093904244128669,filled,,NOM:6110_COI_S-N,,unknown,2.8104438869047623,1.248115855654762,1.248115855654762,-2.8104438869047623,672,50237.93159,3.0775523676389205,NOM:6110_COI_S-N | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30005_ROUND MT_500_30245_ROUND MT_230_XF_1 _P | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,31% | 25% | 22% | 5% | 4%
SOUTHBY_6_B1,WHITE,105.25079382352942,0.0938334710726098,filled,,NOM:6110_COI_S-N,,unknown,2.8459008630952387,1.248115855654762,1.248115855654762,-2.8459008630952387,672,50237.93159,3.07077641877781,NOM:6110_COI_S-N | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30005_ROUND MT_500_30245_ROUND MT_230_XF_1 _P | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,31% | 25% | 22% | 5% | 4%
