physical_line,n_scenarios,sum_abs_mu,sub1,sub2,kV,matched_path,rating_MW,rating_source,match_confidence
NOM:31336_HPLND JT_60.0_31370_CLVRDLJT_60.0_BR_1 _1,1.0,1525381.0722899996,HPLNDJT,CLVRDLJT,60.0,,150.0,voltage proxy 60 kV,0
NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,2.0,501171.20781,MOSSLD,LASAGUIL,230.0,,700.0,voltage proxy 230 kV,0
NOM:115kv EB Fron,2.0,447694.89168,,,115.0,,250.0,voltage proxy 115 kV,0
NOM:7430_KTTLM_GATES_70_1,1.0,330869.15546000004,,,,,,unknown,0
NOM:32214_RIO OSO _115_32225_BRNSWKT1_115_BR_1 _1,6.0,310182.17996,RIOOSO,BRNSWKT1,115.0,,250.0,voltage proxy 115 kV,0
NOM:24723_CONTROL _115_24865_TAP188  _115_BR_2 _1,1.0,303118.75486,CONTROL,TAP188,115.0,,250.0,voltage proxy 115 kV,0
NOM:115kv WE_So_El,5.0,252842.64008,,,115.0,,250.0,voltage proxy 115 kV,0
NOM:345kv BA-DMND2,1.0,237731.75302999996,,,345.0,,1300.0,voltage proxy 345 kV,0
NOM:345kV BA-DMND1,1.0,218492.68844,,,345.0,,1300.0,voltage proxy 345 kV,0
NOM:33932_MELONES _115_33936_MELNS JB_115_BR_1 _1,1.0,204516.47564,MELONES,MELNSJB,115.0,,250.0,voltage proxy 115 kV,0
NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1,7.0,167039.94608,SYCAMORE,PENSQTOS,230.0,,700.0,voltage proxy 230 kV,0
NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,2.0,164401.04241,LEGRAND,ADRATAP,115.0,,250.0,voltage proxy 115 kV,0
ITC:CLOVER_MONA_345_1,1.0,162391.73694,CLOVER,,,,,unknown,0
NOM:33936_MELNS JB_115_33951_VLYHMTP1_115_BR_1 _1,2.0,158838.24349,MELNSJB,VLYHMTP1,115.0,,250.0,voltage proxy 115 kV,0
NOM:32225_BRNSWKT1_115_32222_DTCH2TAP_115_BR_1 _1,4.0,155989.09777,BRNSWKT1,DTCH2TAP,115.0,,250.0,voltage proxy 115 kV,0
NOM:30472_PEABODY _230_30529_BRDSLDNG_230_BR_1 _1,4.0,152217.31115,PEABODY,BRDSLDNG,230.0,,700.0,voltage proxy 230 kV,0
NOM:30765_LOSBANOS_230_30766_PADR FLT_230_BR_1 _1,4.0,142900.91684,LOSBANOS,PADRFLT,230.0,,700.0,voltage proxy 230 kV,0
NOM:31334_CLER LKE_60.0_31338_KONOCTI6_60.0_BR_1 _1,2.0,138511.06760999997,CLERLKE,KONOCTI6,60.0,,150.0,voltage proxy 60 kV,0
NOM:22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1,4.0,128911.45969999999,ELCAJON,LOSCOCHS,69.0,,150.0,voltage proxy 69 kV,0
NOM:7690_CP5_NG,1.0,121325.45262,,,,,,unknown,0
NOM:34112_EXCHEQUR_115_34116_LE GRAND_115_BR_1 _1,1.0,111590.29391,EXCHEQUR,LEGRAND,115.0,,250.0,voltage proxy 115 kV,0
ITC:CLOVER_MONA_345_2,1.0,89403.82154,CLOVER,,,,,unknown,0
NOM:34418_KINGSBRG_115_34405_FRWT TAP_115_BR_1 _1,1.0,85271.18703,KINGSBRG,FRWTTAP,115.0,,250.0,voltage proxy 115 kV,0
NOM:35618_SN JSE A_115_35616_SNJOSEB _115_BR_1 _1,3.0,73532.04867,SNJSEA,SNJOSEB,115.0,,250.0,voltage proxy 115 kV,0
NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,1.0,66830.51208,LOSBANOS,GATES1,500.0,Midway -Los Banos,5400.0,WECC path 15,5
NOM:32314_SMRTSVLE_60.0_32316_YUBAGOLD_60.0_BR_1 _1,7.0,65600.05588,SMRTSVLE,YUBAGOLD,60.0,,150.0,voltage proxy 60 kV,0
ITC:LDWP_IPP_NORTH,2.0,65362.662169999996,LDWP,,,,,unknown,0
NOM:35618_SN JSE A_115_35620_EL PATIO_115_BR_1 _1,2.0,65148.76508,SNJSEA,ELPATIO,115.0,,250.0,voltage proxy 115 kV,0
NOM:39021_SC21ATP _70.0_34888_ARVIN   _70.0_BR_1 _1,3.0,64284.07379,SC21ATP,ARVIN,70.0,,150.0,voltage proxy 70 kV,0
NOM:24602_VICTOR  _115_24607_ROADWAY _115_BR_1 _1,1.0,58324.129109999994,VICTOR,ROADWAY,115.0,,250.0,voltage proxy 115 kV,0
ITC:TAR BK E,1.0,54138.81831,TAR,,,,,unknown,0
NOM:24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1,1.0,40831.531429999995,NEENACH,TAP85,66.0,,,voltage 66 kV (no proxy),0
NOM:33916_CURTISS _115_33917_FBERBORD_115_BR_1 _1,1.0,36946.86912,CURTISS,FBERBORD,115.0,,250.0,voltage proxy 115 kV,0
ITC:EPE_SNMIC_ITC,1.0,36436.89035,EPE,,,,,unknown,0
ITC:WMesaWT2_448 MVA,2.0,35486.50632,WMesaWT2,,,,448.0,ITC name (explicit MVA),0
