node,spread_D2,spread_D4,spread_D8,rank_D2,rank_D4,rank_D8,rank_shift_2_vs_8
0096WD_7_N001,35.14877107843138,54.169782500000004,74.01630946078433,758.0,708.0,743.0,15.0
1501WDC2_7_ND001,51.19715348039216,70.75960230392157,94.24750779411765,319.0,446.0,436.0,117.0
2C559EQ2_7_N001,35.14877107843138,54.169782500000004,74.01630946078433,758.0,708.0,743.0,15.0
2C559_1_B1,35.14877107843138,54.169782500000004,74.01630946078433,758.0,708.0,743.0,15.0
2C577C1_7_N001,74.16176867647059,100.28828166666666,130.65389333333331,100.0,200.0,189.0,89.0
2PBLSM34_7_N001,31.448084754901963,52.684881911764705,67.8082269117647,1129.0,1042.0,1050.0,79.0
3PEAKS_GNODE1,16.759726470588237,26.464903921568627,32.77262843137256,1956.0,1945.0,1927.0,29.0
4C687C2_7_N001,26.603886323529412,44.860442647058825,68.4314,1494.0,1417.0,901.0,593.0
4C687_1_B1,26.603886323529412,44.860442647058825,68.4314,1494.0,1417.0,901.0,593.0
4C744C12_7_N001,35.14877107843138,54.169782500000004,74.01630946078433,758.0,708.0,743.0,15.0
4C744C22_7_N001,35.14877107843138,54.169782500000004,74.01630946078433,758.0,708.0,743.0,15.0
4C744C32_7_N001,35.14877107843138,54.169782500000004,74.01630946078433,758.0,708.0,743.0,15.0
4C744C42_7_N001,35.14877107843138,54.169782500000004,74.01630946078433,758.0,708.0,743.0,15.0
90TH.SO_GNODEPDRP1,13.088364705882354,18.26399892156863,24.761103921568637,2024.0,2024.0,2023.0,1.0
ACACIA_7_N001,30.531807647058827,51.77338519607843,64.81899328431372,1207.0,1105.0,1245.0,38.0
ADCC_2_N001,24.051431666666666,43.65803333333333,64.81422,1709.0,1480.0,1293.0,416.0
ADERAG1_7_N001,56.164998284313725,85.01237950980394,93.06796857843138,220.0,265.0,465.0,245.0
ADRATAP_1_B1,56.164998284313725,85.01237950980394,93.06796857843138,220.0,265.0,465.0,245.0
AGATEBAY_7_GNODE1,25.406422107843134,34.27301975490196,34.803723725490194,1571.0,1742.0,1885.0,314.0
