physical_line,n_scenarios,sum_abs_mu,sub1,sub2,kV,matched_path,rating_MW,rating_source,match_confidence
NOM:7690-CONTRL-INYOKN_EXP_NG,1.0,740209.34378,,,,,,unknown,0
NOM:31336_HPLND JT_60.0_31370_CLVRDLJT_60.0_BR_1 _1,2.0,697434.10737,HPLNDJT,CLVRDLJT,60.0,,150.0,voltage proxy 60 kV,0
NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,1.0,374343.84927,LOSBANOS,PANOCHE,230.0,Midway -Los Banos,5400.0,WECC path 15,7
NOM:34548_KETTLEMN_70.0_34552_GATES   _70.0_BR_1 _1,1.0,353797.74926,KETTLEMN,GATES,70.0,,150.0,voltage proxy 70 kV,0
NOM:115 WTG at PEGS,7.0,340417.36719,,,,,,unknown,0
NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1,5.0,241131.90583,PANOCHE,GATES,230.0,Midway -Los Banos,5400.0,WECC path 15,5
NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,2.0,195169.36688,MOSSLD,LASAGUIL,230.0,,700.0,voltage proxy 230 kV,0
NOM:35352_WHISMAN _115_35356_MNTA VSA_115_BR_1 _1,9.0,186910.81746,WHISMAN,MNTAVSA,115.0,,250.0,voltage proxy 115 kV,0
NOM:99254_J.HINDS2_230_24806_MIRAGE  _230_BR_1 _1,1.0,131604.66899,J.HINDS2,MIRAGE,230.0,,700.0,voltage proxy 230 kV,0
NOM:22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1,1.0,128800.25574,ELCAJON,LOSCOCHS,69.0,,150.0,voltage proxy 69 kV,0
NOM:7820_PK_EC_OVERLOAD_NG,1.0,86535.32491999998,,,,,,unknown,0
NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,3.0,55754.84164,LEGRAND,ADRATAP,115.0,,250.0,voltage proxy 115 kV,0
NOM:33501_FRGTNTP1_115_33500_MELNS JA_115_BR_1 _1,2.0,53724.84844,FRGTNTP1,MELNSJA,115.0,,250.0,voltage proxy 115 kV,0
NOM:34418_KINGSBRG_115_34405_FRWT TAP_115_BR_1 _1,2.0,52657.06858000001,KINGSBRG,FRWTTAP,115.0,,250.0,voltage proxy 115 kV,0
ITC:MPSN T342,1.0,50266.90785,MPSN,,,,,unknown,0
NOM:7690-COOLWATER_KRAMER_IM_NG_RT,1.0,48987.096569999994,,,,,,unknown,0
NOM:22192_DOUBLTTP_138_22300_FRIARS  _138_BR_1 _1,2.0,44238.52384,DOUBLTTP,FRIARS,138.0,,,voltage 138 kV (no proxy),0
ITC:HIMO-WESP1,1.0,42946.454269999995,HIMO,WESP1,,,,unknown,0
NOM:30900_GATES   _230_30970_MIDWAY  _230_BR_1 _1,2.0,39398.82800999999,GATES,MIDWAY,230.0,Midway -Los Banos,5400.0,WECC path 15,5
ITC:AMR-SND 138,1.0,39252.57493,AMR,SND,,,,unknown,0
NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,3.0,38790.00832,GATES1,MIDWAY,500.0,Midway -Los Banos,5400.0,WECC path 15,5
NOM:31336_HPLND JT_60.0_31206_HPLND JT_115_XF_2,2.0,34102.86559,HPLNDJT,,115.0,,250.0,voltage proxy 115 kV,0
ITC:Line_FC-CH2_345KV,1.0,33661.52128,FC,CH2,345.0,West of Cascades -North,10700.0,WECC path 4,2
NOM:34471_SNJQJCT _70.0_34469_GFFNJCT _70.0_BR_1 _1,1.0,31777.57171,SNJQJCT,GFFNJCT,70.0,,150.0,voltage proxy 70 kV,0
NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1,5.0,28546.70351,GATES2,MIDWAY,500.0,Midway -Los Banos,5400.0,WECC path 15,5
NOM:99002_MOE-ELD _500_24042_ELDORDO _500_BR_1 _2,2.0,28329.013440000002,MOE-ELD,ELDORDO,500.0,,2500.0,voltage proxy 500 kV,0
ITC:Line_MA-OD_69KV,1.0,27974.03967,MA,OD,69.0,,150.0,voltage proxy 69 kV,0
ITC:GYTH _Gallup_Enr,1.0,26039.34613,GYTH,,,,,unknown,0
ITC:Line_MA-SLL_69KV,1.0,24914.14424,MA,SLL,69.0,,150.0,voltage proxy 69 kV,0
NOM:CONTRL-PSPS_EXP_NG,1.0,23621.66278,,,,,,unknown,0
NOM:24701_KRAMER  _230_24601_VICTOR  _230_BR_2 _1,1.0,23066.93183,KRAMER,VICTOR,230.0,,700.0,voltage proxy 230 kV,0
NOM:7430_CP6_NG,1.0,21971.749880000003,,,,,,unknown,0
NOM:34860_TAFT    _70.0_34943_Q356TAP _70.0_BR_1 _1,1.0,20381.34139,TAFT,Q356TAP,70.0,,150.0,voltage proxy 70 kV,0
ITC:PACE_FOURCORNE345_ITC,1.0,19308.9388,PACE,,,,,unknown,0
ITC:LDWP_IPP_NORTH,2.0,19167.12783,LDWP,,,,,unknown,0
NOM:30900_GATES   _230_30889_CAFLTSSS_230_BR_1 _1,3.0,16749.86221,GATES,CAFLTSSS,230.0,,700.0,voltage proxy 230 kV,0
ITC:STM-MTR__125,5.0,16622.3199,STM,MTR,,,,unknown,0
NOM:30915_MORROBAY_230_30916_SOLARSS _230_BR_1 _1,1.0,16575.06464,MORROBAY,SOLARSS,230.0,,700.0,voltage proxy 230 kV,0
NOM:7410_CP24_NG,1.0,16485.207739999998,,,,,,unknown,0
NOM:24607_ROADWAY _115_24702_KRAMER  _115_BR_1 _1,1.0,15915.01395,ROADWAY,KRAMER,115.0,,250.0,voltage proxy 115 kV,0
ITC:EPE_SNMIC_ITC,1.0,15750.67561,EPE,,,,,unknown,0
NOM:33932_MELONES _115_33934_TULLOCH _115_BR_1 _1,5.0,15571.75389,MELONES,TULLOCH,115.0,,250.0,voltage proxy 115 kV,0
NOM:115 Wingate_Cin,1.0,13965.94152,,,,,,unknown,0
NOM:115kv GYTH,1.0,13965.94152,,,115.0,,250.0,voltage proxy 115 kV,0
NOM:115 Mendo_Winga,1.0,13965.94152,,,,,,unknown,0
NOM:31334_CLER LKE_60.0_31338_KONOCTI6_60.0_BR_1 _1,1.0,13774.493619999996,CLERLKE,KONOCTI6,60.0,,150.0,voltage proxy 60 kV,0
ITC:PNM_NET_ITC,2.0,13264.45254,PNM,,,,,unknown,0
ITC:AEOLUS_EXP,1.0,13026.136449999998,AEOLUS,,,,,unknown,0
NOM:24723_CONTROL _115_24865_TAP188  _115_BR_2 _1,1.0,12430.30331,CONTROL,TAP188,115.0,,250.0,voltage proxy 115 kV,0
ITC:WALC_NET_IMPORT_ITC,1.0,11587.31989,WALC,,,,,unknown,0
NOM:22886_SUNCREST_230_92861_SUNC TP2_230_BR_2 _1,1.0,11536.57807,SUNCREST,SUNCTP2,230.0,,700.0,voltage proxy 230 kV,0
ITC:WINDSTAR EXPORT TCOR,1.0,11356.793,WINDSTAR,,,,,unknown,0
ITC:EPE_NET_ITC,2.0,9997.30666,EPE,,,,,unknown,0
NOM:34158_PANOCHE _115_34350_KAMM    _115_BR_1 _1,1.0,9732.71495,PANOCHE,KAMM,115.0,,250.0,voltage proxy 115 kV,0
NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,1.0,9645.41491,LOSBANOS,GATES1,500.0,Midway -Los Banos,5400.0,WECC path 15,5
NOM:33932_MELONES _115_33500_MELNS JA_115_BR_1 _1,2.0,9449.22382,MELONES,MELNSJA,115.0,,250.0,voltage proxy 115 kV,0
NOM:33016_ALHAMTP2_115_32754_OLEUM   _115_BR_1 _1,3.0,9358.15706,ALHAMTP2,OLEUM,115.0,,250.0,voltage proxy 115 kV,0
ITC:MPSN T341,1.0,9077.25867,MPSN,,,,,unknown,0
