physical_line,n_scenarios,sum_abs_mu,sub1,sub2,kV,matched_path,rating_MW,rating_source,match_confidence
NOM:30575_WND MSTR_230_38610_DELTAPMP_230_BR_1 _1,1.0,474.41182,WNDMSTR,DELTAPMP,230.0,,700.0,voltage proxy 230 kV,0
NOM:34474_HELM    _70.0_34556_STRD JCT_70.0_BR_1 _1,1.0,417.4502,HELM,STRDJCT,70.0,,150.0,voltage proxy 70 kV,0
NOM:33953_VLYHMTP2_115_33511_AVENATP2_115_BR_1 _1,1.0,386.99691,VLYHMTP2,AVENATP2,115.0,,250.0,voltage proxy 115 kV,0
NOM:34519_LPNJCTSS_115_34429_GWF_HEP _115_BR_1 _1,1.0,376.4023,LPNJCTSS,,115.0,,250.0,voltage proxy 115 kV,0
ITC:CISO_NET_ITC,2.0,352.63472,CISO,,,,,unknown,0
NOM:7320_CP6_NG,1.0,311.12796000000003,,,,,,unknown,0
ITC:PNM_SRP_ITC,1.0,299.60290000000003,PNM,,,,,unknown,0
ITC:BPAT_NET_ITC,1.0,290.21683999999993,BPAT,,,,,unknown,0
ITC:ME-USAF 138,1.0,278.80018,ME,USAF,,,,unknown,0
NOM:TL687_BREGGO_NAROWS,1.0,224.55527,,,,,,unknown,0
NOM:34556_STRD JCT_70.0_34562_SCHLNDLR_70.0_BR_1 _1,1.0,207.90767,STRDJCT,SCHLNDLR,70.0,,150.0,voltage proxy 70 kV,0
NOM:33509_AVENATP1_115_33514_MANTECA _115_BR_1 _1,1.0,192.37794,AVENATP1,MANTECA,115.0,,250.0,voltage proxy 115 kV,0
ITC:MALIN500_ISL,1.0,186.99261,MALIN500,,,,,unknown,0
NOM:35107_DUMBARTN_115_35120_NEWARK D_115_BR_1 _1,1.0,180.02387000000002,DUMBARTN,NEWARKD,115.0,,250.0,voltage proxy 115 kV,0
NOM:29408_WIRLWIND_230_29402_WIRLWIND_500_XF_1 _P,1.0,178.81931,WIRLWIND,,500.0,,2500.0,voltage proxy 500 kV,0
ITC:BOBN-MPSN2_A,1.0,163.4419,BOBN,MPSN2,,,,unknown,0
NOM:22456_MIGUEL  _69.0_22364_JAMACHA _69.0_BR_1 _1,2.0,152.54469999999998,MIGUEL,JAMACHA,69.0,,150.0,voltage proxy 69 kV,0
