physical_line,n_scenarios,sum_abs_mu,sub1,sub2,kV,matched_path,rating_MW,rating_source,match_confidence
NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,2.0,283373.46898999996,LOSBANOS,PANOCHE,230.0,Midway -Los Banos,5400.0,WECC path 15,7
NOM:24723_CONTROL _115_24865_TAP188  _115_BR_2 _1,3.0,201889.251,CONTROL,TAP188,115.0,,250.0,voltage proxy 115 kV,0
NOM:OMS_16800765_INYOKERN_NG_EX,1.0,192762.65404,,,,,,unknown,0
NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,1.0,149191.03732,MOSSLD,LASAGUIL,230.0,,700.0,voltage proxy 230 kV,0
ITC:WMesaWT2_448 MVA,1.0,131244.84713,WMesaWT2,,,,448.0,ITC name (explicit MVA),0
NOM:7820_TL 230S_OVERLOAD_NG,1.0,117705.02368,,,,,,unknown,0
NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1,7.0,96955.96189,PANOCHE,GATES,230.0,Midway -Los Banos,5400.0,WECC path 15,5
NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,1.0,94563.75826,DEVERS,,500.0,,2500.0,voltage proxy 500 kV,0
NOM:31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11,1.0,82217.75943,CARIBOU,XF,115.0,,250.0,voltage proxy 115 kV,0
ITC:Line_GIX-ARFH_69KV,1.0,80871.45382,GIX,ARFH,69.0,,150.0,voltage proxy 69 kV,0
NOM:MIGUEL_BKs_MXFLW_NG,1.0,75903.13308,,,,,,unknown,0
NOM:24723_CONTROL _115_24866_TAP189  _115_BR_1 _1,2.0,62067.19049,CONTROL,TAP189,115.0,,250.0,voltage proxy 115 kV,0
ITC:CZ 345kV,1.0,61117.969520000006,CZ,,345.0,,1300.0,voltage proxy 345 kV,0
NOM:30472_PEABODY _230_30529_BRDSLDNG_230_BR_1 _1,2.0,56598.3223,PEABODY,BRDSLDNG,230.0,,700.0,voltage proxy 230 kV,0
ITC:Line_OD-AR_69KV,1.0,49828.70707,OD,AR,69.0,West of Hatwai,4277.0,WECC path 6,2
NOM:OMS_17327759_CTL_EXP_NG,1.0,44251.862689999994,,,,,,unknown,0
NOM:7820_TL23040_IV_SPS_NG,1.0,43128.71524,,,,,,unknown,0
NOM:OMS IV-SX OUTAGE_NG,1.0,39389.40129,,,,,,unknown,0
ITC:NWMT_NET_ITC,2.0,27362.984859999997,NWMT,,,,,unknown,0
NOM:34610_HAAS    _13.8_30855_HAAS    _230_XF_1,1.0,22566.19777,HAAS,,230.0,,700.0,voltage proxy 230 kV,0
NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,2.0,20573.447860000004,LOSBANOS,GATES1,500.0,Midway -Los Banos,5400.0,WECC path 15,5
NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1,1.0,19845.62651,TESLA,LOSBANOS,500.0,,2500.0,voltage proxy 500 kV,0
NOM:32056_CORTINA _60.0_30451_CRTNA  M_ 1.0_XF_1,1.0,18214.40333,CORTINA,,60.0,,150.0,voltage proxy 60 kV,0
NOM:7690-INYOKN_VOLTAGE_EX_NG,1.0,15298.15473,,,,,,unknown,0
ITC:SRP_SYSTEM_ITC,2.0,15122.265360000001,SRP,,,,,unknown,0
NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1,1.0,10991.274859999998,MESACAL,LAGUBELL,230.0,,700.0,voltage proxy 230 kV,0
NOM:99013_CAL CAPS_500_24801_DEVERS  _500_BR_1 _1,1.0,10126.96841,CALCAPS,DEVERS,500.0,,2500.0,voltage proxy 500 kV,0
NOM:28195_REDBLUFF_500_24375_REDBLUFF_230_XF_1_P_1,1.0,9377.86263,REDBLUFF,,500.0,,2500.0,voltage proxy 500 kV,0
ITC:PACE_FOURCORNE345_ITC,2.0,9069.534010000001,PACE,,,,,unknown,0
ITC:PACE_POPWEST_ITC,1.0,9021.39953,PACE,,,,,unknown,0
NOM:24086_LUGO    _500_26105_VICTORVL_500_BR_1 _1,4.0,9005.8999,LUGO,VICTORVL,500.0,,2500.0,voltage proxy 500 kV,0
ITC:AEOLUS_EXP,1.0,8636.6334,AEOLUS,,,,,unknown,0
ITC:TEPC_BA_IMP_ITC,1.0,7538.48913,TEPC,,,,,unknown,0
NOM:22357_IV PFC1 _230_22358_IV PFC  _230_PS_1,1.0,7520.76086,IVPFC1,IVPFC,230.0,,700.0,voltage proxy 230 kV,0
ITC:PACE_PATHC_ITC,1.0,7321.419089999999,PACE,,,,,unknown,0
ITC:Line_NG-YMT_69KV,1.0,6511.8534199999995,NG,YMT,69.0,,150.0,voltage proxy 69 kV,0
NOM:22652_PENSQTOS_230_22596_OLD TOWN_230_BR_1 _1,1.0,6457.1657399999995,PENSQTOS,OLDTOWN,230.0,,700.0,voltage proxy 230 kV,0
NOM:32314_SMRTSVLE_60.0_32316_YUBAGOLD_60.0_BR_1 _1,1.0,5493.26571,SMRTSVLE,YUBAGOLD,60.0,,150.0,voltage proxy 60 kV,0
ITC:Line_OC-LSS_230KV,1.0,5166.251759999999,OC,LSS,230.0,,700.0,voltage proxy 230 kV,0
NOM:32308_COLGATE _60.0_32313_NRRWS2TP_60.0_BR_2 _1,1.0,4950.209669999999,COLGATE,NRRWS2TP,60.0,,150.0,voltage proxy 60 kV,0
NOM:VC_TL_681B_import_NG,1.0,4867.45125,,,,,,unknown,0
ITC:BPAT_NET_ITC,2.0,4232.75202,BPAT,,,,,unknown,0
ITC:YU XFMR2 A  69KV,1.0,4194.0474300000005,YU,,69.0,,150.0,voltage proxy 69 kV,0
ITC:Line_IV-TH_69KV,1.0,4170.25209,IV,TH,69.0,TOT 4B,880.0,WECC path 38,2
ITC:LDWP_IPPDC-NS,1.0,4063.41247,LDWP,,,,,unknown,0
ITC:LADWP_NET_ITC,2.0,3996.14938,LADWP,,,,,unknown,0
NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1,1.0,3951.32536,GATES2,MIDWAY,500.0,Midway -Los Banos,5400.0,WECC path 15,5
NOM:OMS_16903115_23001_23004_NG,1.0,3895.7954100000006,,,,,,unknown,0
