node,archetype,spread,size_node,kstar_physical_line,kstar_rating_MW,Latitude,Longitude,Plant Name,conc
CARIBOU_1_B1,WHITE,162.32824710784314,19876874.5625,NOM:31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11,250.0,40.085997,-121.149373,Caribou 2,0.0669784247083164
ATHOS_7_CN13,RED,160.0844362745098,236409395.65,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,33.751283,-115.35499,Athos Solar Project,0.0909350338348748
ALMASL_7_GUB6N,RED,160.0844362745098,236409395.65,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,34.608,-118.109,Lockheed Martin Palmdale Solar PV,0.0909345523695355
ALMASL3_7_N001,RED,160.0844362745098,236409395.65,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,34.608,-118.109,Lockheed Martin Palmdale Solar PV,0.0909345523695355
ALMASL3_7_N002,RED,160.0844362745098,236409395.65,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,34.608,-118.109,Lockheed Martin Palmdale Solar PV,0.0909345523695355
DSRTSN_7_NBT4,RED,160.0844362745098,236409395.65,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,33.8055,-115.3947,"Desert Sunlight 250, LLC",0.0909350338348748
ATHOS_7_CN5,RED,160.0844362745098,236409395.65,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,33.751283,-115.35499,Athos Solar Project,0.0909350338348748
ATHOS_7_CN6,RED,160.0844362745098,236409395.65,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,33.751283,-115.35499,Athos Solar Project,0.0909350338348748
ALMASL_7_GUS7N,RED,160.0844362745098,236409395.65,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,34.608,-118.109,Lockheed Martin Palmdale Solar PV,0.0909345523695355
DSRTHV3_7_N002,RED,160.0844362745098,236409395.65,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,33.8,-115.38,"Desert Harvest, LLC",0.0909345523695355
ALMASL_7_GUS6N,RED,160.0844362745098,236409395.65,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,34.608,-118.109,Lockheed Martin Palmdale Solar PV,0.0909345523695355
DSRTHV3_7_N003,RED,160.0844362745098,236409395.65,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,33.8,-115.38,"Desert Harvest, LLC",0.0909345523695355
DSRTSN_7_N001,RED,160.0844362745098,236409395.65,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,33.8055,-115.3947,"Desert Sunlight 250, LLC",0.0909350338348748
DSRTSN_7_N002,RED,160.0844362745098,236409395.65,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,33.8055,-115.3947,"Desert Sunlight 250, LLC",0.0909350338348748
DSRTSN_7_NBT3,RED,160.0844362745098,236409395.65,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,33.8055,-115.3947,"Desert Sunlight 250, LLC",0.0909350338348748
DSRTHV3_7_N001,RED,160.0844362745098,236409395.65,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,33.8,-115.38,"Desert Harvest, LLC",0.0909345523695355
ATHOS_7_CN1,RED,160.0844362745098,236409395.65,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,33.751283,-115.35499,Athos Solar Project,0.0909350338348748
