constraint_key,n_binding_intervals,sum_mu,sum_abs_mu,max_mu,min_mu,abs_sum_mu,type
NOM:7690-CONTRL-INYOKN_EXP_NG|Base Case,1700,-740209.34378,740209.34378,0.0,-1708.85226,740209.34378,NOM
NOM:31336_HPLND JT_60.0_31370_CLVRDLJT_60.0_BR_1 _1|PG1 EGLRK-SLVR-FLTN 115_M,964,641454.18314,641454.18314,1428.46313,0.0,641454.18314,NOM
NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1|PG1 LOSBNS 500-230 BK1,1955,374343.84927,374343.84927,613.65862,0.0,374343.84927,NOM
NOM:34548_KETTLEMN_70.0_34552_GATES   _70.0_BR_1 _1|Base Case,2522,353797.74926,353797.74926,219.7797,0.0,353797.74926,NOM
NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1|PG1 MOSSLD-LOSBNS 500,686,182998.09199,182998.09199,1416.17649,0.0,182998.09199,NOM
NOM:115 WTG at PEGS|PNM1 CABEZN-RIOPUERC 345,255,170099.5586,170099.5586,2214.38262,0.0,170099.5586,NOM
NOM:99254_J.HINDS2_230_24806_MIRAGE  _230_BR_1 _1|Base Case,363,131604.66899,131604.66899,1498.94039,0.0,131604.66899,NOM
NOM:22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1|SD1 MIGUEL-JMACHA_1 69,411,128800.25574,128800.25574,1146.99399,0.0,128800.25574,NOM
NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1|PG1 GATES-LOSBNS_1 500,589,99799.85528999999,101457.13739,1276.74585,-280.86797,99799.85528999999,NOM
NOM:7820_PK_EC_OVERLOAD_NG|Base Case,537,-86535.32491999998,86535.32491999998,0.0,-1458.89204,86535.32491999998,NOM
NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1|PG1 LOSBNS-GATES_3 500,270,80537.93385,80537.93385,770.7666,0.0,80537.93385,NOM
NOM:115 WTG at PEGS|AP1 FC-MK_1 500,73,57121.907190000005,57121.907190000005,1461.04312,0.0,57121.907190000005,NOM
NOM:31336_HPLND JT_60.0_31370_CLVRDLJT_60.0_BR_1 _1|PG1 EGLRCK-CORTIN 115_M,146,55979.924230000004,55979.924230000004,545.40659,0.0,55979.924230000004,NOM
ITC:MPSN T342|I|Base Case,451,50266.90785,50266.90785,565.05772,0.0,50266.90785,ITC
NOM:7690-COOLWATER_KRAMER_IM_NG_RT|Base Case,472,-48987.096569999994,48987.096569999994,0.0,-1386.0237,48987.096569999994,NOM
NOM:35352_WHISMAN _115_35356_MNTA VSA_115_BR_1 _1|PG1 TESLA 500-230 BK6,104,43802.24085999999,43802.24085999999,5046.95756,0.0,43802.24085999999,NOM
NOM:115 WTG at PEGS|PNM1 FC-PINTADO 345,65,43107.75565000001,43107.75565000001,3011.54669,0.0,43107.75565000001,NOM
ITC:HIMO-WESP1|I|Base Case,141,42946.454269999995,42946.454269999995,698.61941,0.0,42946.454269999995,ITC
