constraint_key,n_binding_intervals,sum_mu,sum_abs_mu,max_mu,min_mu,abs_sum_mu,type
ITC:Line_OD-AR_69KV|I|SD1 NGILA-IVALLY 500,1250,745528.54428,745528.54428,1499.53607,0.0,745528.54428,ITC
NOM:24723_CONTROL _115_24865_TAP188  _115_BR_2 _1|Base Case,413,249510.98178,249510.98178,1451.12353,0.0,249510.98178,NOM
ITC:FRCE-PINT1|I|Base Case,495,106239.32071,106239.32071,1143.39545,0.0,106239.32071,ITC
NOM:OMS_17327759_CTL_EXP_NG|Base Case,583,-105712.09224999999,105712.09224999999,0.0,-1000.0,105712.09224999999,NOM
NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1|PG1 MOSSLD-LOSBNS 500,437,97248.68603999999,97248.68603999999,862.00316,0.0,97248.68603999999,NOM
NOM:30015_TABLE MT_500_30068_TB MT 5M_ 1.0_XF_5|PG1 RIOOSO-ATLNTC 230,109,91282.85598,91282.85598,1304.33073,0.0,91282.85598,NOM
NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1|PG1 TRACY-LOSBNS 500,1093,90143.00154,90143.00154,252.53532,0.0,90143.00154,NOM
NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P|SC1 SERRAN-VALLEY_1 500,2009,88627.05150999999,88627.05150999999,186.24236,0.0,88627.05150999999,NOM
NOM:31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11|Base Case,2221,84682.66586000001,84682.66586000001,249.54025,0.0,84682.66586000001,NOM
NOM:115 WTG at PEGS|AP1 FC-MK_1 500,88,82804.60406,82804.60406,1243.36566,0.0,82804.60406,NOM
ITC:HURRICAW_WALAWALA_230|I|Base Case,336,80287.06576,80287.06576,882.49036,0.0,80287.06576,ITC
NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1|PG1 MNDOTA-PNOCHE 115,1226,77043.2811,77043.2811,161.09678,0.0,77043.2811,NOM
NOM:7820_TL 230S_OVERLOAD_NG|Base Case,1049,-70678.63025,70678.63025,0.0,-1195.19896,70678.63025,NOM
ITC:Line_GIX-ARFH_69KV|I|SD1 NGILA-IVALLY 500,88,66187.84929,66187.84929,1614.80843,0.0,66187.84929,ITC
