node,archetype,spread,size_node,kstar_physical_line,kstar_rating_MW,Latitude,Longitude,Plant Name,conc
DONNELLS_7_B1,RED,381.0318015931373,98556181.6875,NOM:33932_MELONES _115_33936_MELNS JB_115_BR_1 _1,250.0,38.246656,-120.034072,Donnells,0.1354694375166401
SANDBAR_7_B1,RED,381.0318015931373,98556181.6875,NOM:33932_MELONES _115_33936_MELNS JB_115_BR_1 _1,250.0,38.1861,-120.15,Sand Bar Power Plant,0.1354694375166401
STANISLS_1_B1,BLUE,346.28744095588235,98556181.6875,NOM:33932_MELONES _115_33936_MELNS JB_115_BR_1 _1,250.0,38.139048,-120.370325,Stanislaus,0.1489348839117031
MENDOTA_1_B1,RED,322.7231980392157,26219623.705,NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,250.0,36.755896,-120.365422,Covanta Mendota,0.0844713354755091
TULLOCH_7_B1,RED,321.4560567401961,98556181.6875,NOM:33932_MELONES _115_33936_MELNS JB_115_BR_1 _1,250.0,37.876111,-120.605,Tulloch,0.1328977067363939
TULLOCH_7_B2,RED,321.4560567401961,98556181.6875,NOM:33932_MELONES _115_33936_MELNS JB_115_BR_1 _1,250.0,37.876111,-120.605,Tulloch,0.1328977067363939
TULLOCH_7_B4,RED,321.4560567401961,98556181.6875,NOM:33932_MELONES _115_33936_MELNS JB_115_BR_1 _1,250.0,37.876111,-120.605,Tulloch,0.1328977067363939
