node,archetype,MCC_mid,MCC_eve,import_signal,export_signal,spread,conc,marker,hours_covered
AVENGEN_7_N001,RED,-115.83410959444446,-1.392719388888889,-1.392719388888889,115.83410959444446,665.606680882353,0.06267473889826473,filled,720
AVENAL_6_GN003,RED,-115.83410959444446,-1.392719388888889,-1.392719388888889,115.83410959444446,665.606680882353,0.06267473889826473,filled,720
AVENAL_6_GN002,RED,-115.83410959444446,-1.392719388888889,-1.392719388888889,115.83410959444446,665.606680882353,0.06267473889826473,filled,720
AVENAL_6_GN001,RED,-115.83410959444446,-1.392719388888889,-1.392719388888889,115.83410959444446,665.606680882353,0.06267473889826473,filled,720
AVENGEN_7_N002,RED,-115.83410959444446,-1.392719388888889,-1.392719388888889,115.83410959444446,665.606680882353,0.06267473889826473,filled,720
WRGTSRGN_7_N001,RED,-66.14974069444445,-7.716899277777778,-7.716899277777778,66.14974069444445,486.854667132353,0.07790100113422574,filled,720
CONTROLX_1_N009,RED,-33.16521651111111,-24.012108854166666,-24.012108854166666,33.16521651111111,421.1075136764706,0.17913178333234073,filled,720
CONTROLX_1_N005,RED,-33.16521651111111,-24.012108854166666,-24.012108854166666,33.16521651111111,421.1075136764706,0.17913178333234073,filled,720
CSADIAB_7_N001,RED,-33.16521651111111,-24.012108854166666,-24.012108854166666,33.16521651111111,421.1075136764706,0.17913178333234073,filled,720
CONTROL_1_N034,RED,-33.16521651111111,-24.012108854166666,-24.012108854166666,33.16521651111111,421.1075136764706,0.17913178333234073,filled,720
CONTROL_1_B1,RED,-33.16521651111111,-24.012108854166666,-24.012108854166666,33.16521651111111,421.1075136764706,0.17913178333234073,filled,720
CONTROLX_1_N008,RED,-33.16521651111111,-24.012108854166666,-24.012108854166666,33.16521651111111,421.1075136764706,0.17913178333234073,filled,720
CONTROLX_1_N003,RED,-33.16521651111111,-24.012108854166666,-24.012108854166666,33.16521651111111,421.1075136764706,0.17913178333234073,filled,720
CONTROLX_1_N010,RED,-33.16521651111111,-24.012108854166666,-24.012108854166666,33.16521651111111,421.1075136764706,0.17913178333234073,filled,720
CH.STN._7_N001,RED,-7.398139333333332,-25.61400227777778,-25.61400227777778,7.398139333333332,395.62337325980394,0.13688442099111608,filled,720
PHOENIX_7_N001,RED,-7.398139333333332,-25.61400227777778,-25.61400227777778,7.398139333333332,395.62337325980394,0.13688442099111608,filled,720
CHSTN_7_B1,RED,-7.398139333333332,-25.61400227777778,-25.61400227777778,7.398139333333332,395.62337325980394,0.13688442099111608,filled,720
PEORIA_7_N003,RED,-7.398139333333332,-25.61400227777778,-25.61400227777778,7.398139333333332,395.62337325980394,0.13688442099111608,filled,720
CURTISS_1_N010,RED,-7.398139333333332,-25.61400227777778,-25.61400227777778,7.398139333333332,395.62337325980394,0.13688442099111608,filled,720
BEARDSLY_7_B1,RED,-7.547404127777779,-25.704502611111106,-25.704502611111106,7.547404127777779,381.0318015931373,0.1354694375166401,filled,720
SANDBAR_7_B1,RED,-7.547404127777779,-25.704502611111106,-25.704502611111106,7.547404127777779,381.0318015931373,0.1354694375166401,filled,720
SNDBRJT_1_B1,RED,-7.547404127777779,-25.704502611111106,-25.704502611111106,7.547404127777779,381.0318015931373,0.1354694375166401,filled,720
SPRNGGP_7_B1,RED,-7.547404127777779,-25.704502611111106,-25.704502611111106,7.547404127777779,381.0318015931373,0.1354694375166401,filled,720
DONNELLS_7_B1,RED,-7.547404127777779,-25.704502611111106,-25.704502611111106,7.547404127777779,381.0318015931373,0.1354694375166401,filled,720
FBERBORD_1_N001,RED,-7.547404127777779,-25.704502611111106,-25.704502611111106,7.547404127777779,381.0318015931373,0.1354694375166401,filled,720
CONTROL_7_B1,RED,-29.56728245555556,-21.428919104166663,-21.428919104166663,29.56728245555556,376.2244650980392,0.18074609572505362,filled,720
CONTROL_7_N021,RED,-29.56728245555556,-21.428919104166663,-21.428919104166663,29.56728245555556,376.2244650980392,0.18074609572505362,filled,720
CLERLKE_6_N001,RED,-15.169770005555556,-34.479201402777775,-34.479201402777775,15.169770005555556,363.53857919117644,0.09537480616694073,filled,720
FROGTOWN_7_N005,BLUE,0.18036736666666683,26.188334812500003,26.188334812500003,-0.18036736666666683,354.63508205882357,0.1506778569288318,filled,720
