physical_line,n_scenarios,sum_abs_mu,sub1,sub2,kV,matched_path,rating_MW,rating_source,match_confidence
NOM:31336_HPLND JT_60.0_31370_CLVRDLJT_60.0_BR_1 _1,3.0,1093484.18384,HPLNDJT,CLVRDLJT,60.0,,150.0,voltage proxy 60 kV,0
NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,4.0,659927.76643,MOSSLD,LASAGUIL,230.0,,700.0,voltage proxy 230 kV,0
NOM:24723_CONTROL _115_24865_TAP188  _115_BR_2 _1,1.0,564771.50218,CONTROL,TAP188,115.0,,250.0,voltage proxy 115 kV,0
NOM:34214_LOS BANS_70.0_30765_LOSBANOS_230_XF_3,1.0,556641.28971,LOSBANS,LOSBANOS,230.0,,700.0,voltage proxy 230 kV,0
NOM:33932_MELONES _115_33936_MELNS JB_115_BR_1 _1,5.0,402068.79374,MELONES,MELNSJB,115.0,,250.0,voltage proxy 115 kV,0
NOM:7430_KTTLM_GATES_70_1,1.0,224961.92881,,,,,,unknown,0
NOM:31658_BANGOR  _60.0_32308_COLGATE _60.0_BR_1 _1,1.0,132291.71624,BANGOR,COLGATE,60.0,,150.0,voltage proxy 60 kV,0
NOM:30765_LOSBANOS_230_30766_PADR FLT_230_BR_1 _1,3.0,129679.15274,LOSBANOS,PADRFLT,230.0,,700.0,voltage proxy 230 kV,0
NOM:32308_COLGATE _60.0_32313_NRRWS2TP_60.0_BR_2 _1,2.0,127720.99203000001,COLGATE,NRRWS2TP,60.0,,150.0,voltage proxy 60 kV,0
NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,3.0,104999.72818,LEGRAND,ADRATAP,115.0,,250.0,voltage proxy 115 kV,0
NOM:31334_CLER LKE_60.0_31338_KONOCTI6_60.0_BR_1 _1,2.0,87216.44856,CLERLKE,KONOCTI6,60.0,,150.0,voltage proxy 60 kV,0
NOM:33543_AEC_TP2 _115_33540_TESLA   _115_BR_1 _1,1.0,66441.27639999999,TESLA,,115.0,,250.0,voltage proxy 115 kV,0
NOM:30472_PEABODY _230_30529_BRDSLDNG_230_BR_1 _1,1.0,60521.25560999999,PEABODY,BRDSLDNG,230.0,,700.0,voltage proxy 230 kV,0
NOM:32314_SMRTSVLE_60.0_32316_YUBAGOLD_60.0_BR_1 _1,1.0,59427.20065,SMRTSVLE,YUBAGOLD,60.0,,150.0,voltage proxy 60 kV,0
NOM:30580_ALTM MDW_230_30625_TESLA D _230_BR_1 _1,1.0,57487.58128,ALTMMDW,TESLAD,230.0,,700.0,voltage proxy 230 kV,0
