constraint_key,n_binding_intervals,sum_mu,sum_abs_mu,max_mu,min_mu,abs_sum_mu,type
NOM:22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1|SD1 MIGUEL-JMACHA_1 69,3102,836331.61593,836331.61593,1462.88613,0.0,836331.61593,NOM
NOM:7690-CONTRL-INYOKN_EXP_NG|Base Case,2300,-733108.56189,733108.56189,0.0,-1480.88,733108.56189,NOM
NOM:115 WTG at PEGS|PNM1 CABEZN-RIOPUERC 345,759,536396.1360599999,536396.1360599999,1541.41054,0.0,536396.1360599999,NOM
NOM:31640_TRES VIS_60.0_31718_TBLE MTN_60.0_BR_1 _1|PG1 PALRMO-TBLMTN 230,161,151151.1043,151151.1043,1482.34427,0.0,151151.1043,NOM
ITC:AEOLUS_EXP|E|Base Case,2225,145242.61388000002,145242.61388000002,129.4018,0.0,145242.61388000002,ITC
NOM:35642_METCALF _115_30735_METCALF _230_XF_2|PG1 METCLF 500-230 BK13,190,81316.66844,81316.66844,1000.0,0.0,81316.66844,NOM
NOM:7690-COOLWATER_KRAMER_IM_NG|Base Case,396,-79321.05848,79321.05848,0.0,-1197.22023,79321.05848,NOM
NOM:115kv NH|PNM1 CABEZN-RIOPUERC 345,151,69761.17413,69761.17413,1469.73096,0.0,69761.17413,NOM
NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1|PG1 GATES-LOSBNS_1 500,578,60184.890889999995,60184.890889999995,560.31551,0.0,60184.890889999995,NOM
NOM:115 WTG at PEGS|PNM1 SANJUAN-CABEZON 345,74,44421.94609,44421.94609,1191.44804,0.0,44421.94609,NOM
NOM:31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11|Base Case,972,32203.844510000003,32203.844510000003,67.53136,0.0,32203.844510000003,NOM
ITC:WINDSTAR EXPORT TCOR|E|Base Case,1101,31468.317619999998,31468.317619999998,84.6547,0.0,31468.317619999998,ITC
ITC:EPE_SNMIC_ITC|I|Base Case,37,-27938.945389999997,27938.945389999997,0.0,-966.99988,27938.945389999997,ITC
NOM:7820_TL23040_IV_SPS_NG|Base Case,195,-26566.45557,26566.45557,0.0,-973.38676,26566.45557,NOM
NOM:7820_TL649A_OVERLOAD_NG|Base Case,51,-23378.843780000003,23378.843780000003,0.0,-1224.98323,23378.843780000003,NOM
ITC:PINALCENT500_ITC|I|Base Case,86,-20808.8,20808.8,0.0,-1000.0,20808.8,ITC
ITC:Line_QU-YMT_69KV|I|SD1 NGILA-IVALLY 500,67,20500.08948,20500.08948,1380.38737,0.0,20500.08948,ITC
NOM:22644_PENSQTOS_69.0_22492_MIRAMRTP_69.0_BR_1 _1|SD1 SXCYN-SCRIPS 69,84,16352.36016,16352.36016,1236.69583,0.0,16352.36016,NOM
NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P|SC1 DEVERS 500-230 BK2AA,247,12825.18346,12825.18346,103.8686,0.0,12825.18346,NOM
NOM:33020_MORAGA  _115_35101_SN LNDRO_115_BR_2 _1|PG1 MORAGA-SANLEA 115 3,117,11258.85777,11258.85777,707.94884,0.0,11258.85777,NOM
NOM:25201_LEWIS   _230_24137_SERRANO _230_BR_1 _1|SC1 LEWIS-SERRAN_2 230,95,9984.773229999999,9984.773229999999,608.62777,0.0,9984.773229999999,NOM
NOM:22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1|SD1 BAYBLV-SLVRGT 230,19,8996.17841,8996.17841,1000.0,0.0,8996.17841,NOM
NOM:SYLMAR-AC_BG_NG|Base Case,263,-7848.55206,7848.55206,0.0,-143.42855,7848.55206,NOM
NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1|PG1 MOSSLD-LOSBNS 500,50,7375.914749999999,7375.914749999999,292.78519,0.0,7375.914749999999,NOM
NOM:6110_COI_N-S|Base Case,361,-6969.23667,6969.23667,0.0,-57.92943,6969.23667,NOM
NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1|PG1 LOSBNS-GATES_3 500,64,6785.90615,6785.90615,260.16714,0.0,6785.90615,NOM
ITC:EPE_NET_ITC|I|Base Case,26,-6073.23711,6073.23711,0.0,-1000.68351,6073.23711,ITC
ITC:PACE_PATHC_ITC|E|Base Case,817,-6036.706550000001,6036.706550000001,0.0,-107.18824,6036.706550000001,ITC
NOM:22136_CLAIRMNT_69.0_22140_CLARMTTP_69.0_BR_1 _1|SD1 KEARNY-MSSION 1A 69,20,5140.40222,5140.40222,1348.05424,0.0,5140.40222,NOM
ITC:TCWF T1|I|PNM1 SANJUAN-CABEZON 345,34,4827.16778,4827.16778,157.53954,0.0,4827.16778,ITC
ITC:TCWF T1|I|PNM1 CABEZN-RIOPUERC 345,34,4827.16778,4827.16778,157.53954,0.0,4827.16778,ITC
NOM:35352_WHISMAN _115_35356_MNTA VSA_115_BR_1 _1|PG1 LOSEST-METCLF 230,12,4083.1275,4083.1275,600.05871,0.0,4083.1275,NOM
ITC:LDWP_IPP_NORTH|E|Base Case,1011,-3762.6513600000003,3762.6513600000003,0.0,-23.25016,3762.6513600000003,ITC
ITC:SUNZIA_ITC|E|Base Case,68,-3753.6,3753.6,0.0,-55.2,3753.6,ITC
NOM:345kV CLCR-DMND1|Base Case,13,3681.89525,3681.89525,1000.0,0.0,3681.89525,NOM
NOM:22430_SILVERGT_230_22597_OLDTWNTP_230_BR_1 _1|SD1 SLVRGT-OLDTWN 230,32,3341.40002,3341.40002,413.08072,0.0,3341.40002,NOM
ITC:TEPC_BA_IMP_ITC|I|Base Case,163,-3256.4981399999997,3256.4981399999997,0.0,-984.84564,3256.4981399999997,ITC
ITC:EPE_NET_ITC|E|Base Case,90,-2662.08075,2662.08075,0.0,-163.20074,2662.08075,ITC
NOM:345kV CLCR-DMND2|Base Case,2,2614.45725,2614.45725,1614.45725,0.0,2614.45725,NOM
ITC:TOTAL_WYOMING_EXPORT|E|Base Case,162,2606.2528700000003,2606.2528700000003,49.03901,0.0,2606.2528700000003,ITC
NOM:30915_MORROBAY_230_30916_SOLARSS _230_BR_1 _1|PG1 MIDWAY BUS 1D+2D 230_M_RT,57,2528.8311999999996,2528.8311999999996,48.65397,0.0,2528.8311999999996,NOM
NOM:VC_TL_681B_import_NG|Base Case,359,-2516.36582,2516.36582,0.0,-38.66418,2516.36582,NOM
ITC:LDWP_IPP_NORTH|I|Base Case,729,-2359.27325,2359.27325,0.0,-14.7684,2359.27325,ITC
