physical_line,n_scenarios,sum_abs_mu,sub1,sub2,kV,matched_path,rating_MW,rating_source,match_confidence
NOM:39021_SC21ATP _70.0_34888_ARVIN   _70.0_BR_1 _1,5.0,1784492.56056,SC21ATP,ARVIN,70.0,,150.0,voltage proxy 70 kV,0
NOM:24723_CONTROL _115_24865_TAP188  _115_BR_2 _1,1.0,467596.81348,CONTROL,TAP188,115.0,,250.0,voltage proxy 115 kV,0
NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,2.0,462128.91974000004,LOSBANOS,PANOCHE,230.0,Midway -Los Banos,5400.0,WECC path 15,7
NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,2.0,414869.90727,MOSSLD,LASAGUIL,230.0,,700.0,voltage proxy 230 kV,0
NOM:31336_HPLND JT_60.0_31370_CLVRDLJT_60.0_BR_1 _1,1.0,319370.87947000004,HPLNDJT,CLVRDLJT,60.0,,150.0,voltage proxy 60 kV,0
NOM:7430_KTTLM_GATES_70_1,1.0,206570.59684,,,,,,unknown,0
NOM:34418_KINGSBRG_115_34428_CONTADNA_115_BR_1 _1,6.0,169565.59405,KINGSBRG,CONTADNA,115.0,,250.0,voltage proxy 115 kV,0
NOM:34366_SANGER  _115_34370_MC CALL _115_BR_3 _1,3.0,134626.38392,SANGER,MCCALL,115.0,,250.0,voltage proxy 115 kV,0
NOM:7430_CP6_NG,1.0,130402.37842,,,,,,unknown,0
NOM:22886_SUNCREST_230_92861_SUNC TP2_230_BR_2 _1,2.0,124537.91899,SUNCREST,SUNCTP2,230.0,,700.0,voltage proxy 230 kV,0
NOM:30765_LOSBANOS_230_30766_PADR FLT_230_BR_1 _1,2.0,121459.2739,LOSBANOS,PADRFLT,230.0,,700.0,voltage proxy 230 kV,0
NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,2.0,116205.22425,LEGRAND,ADRATAP,115.0,,250.0,voltage proxy 115 kV,0
NOM:31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11,1.0,112088.84012,CARIBOU,XF,115.0,,250.0,voltage proxy 115 kV,0
NOM:22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1,1.0,112009.98898,ELCAJON,LOSCOCHS,69.0,,150.0,voltage proxy 69 kV,0
NOM:34321_MCSWAINJ_70.0_34232_EXCHEQUR_70.0_BR_1 _1,1.0,101360.27171,MCSWAINJ,EXCHEQUR,70.0,,150.0,voltage proxy 70 kV,0
NOM:34548_KETTLEMN_70.0_34552_GATES   _70.0_BR_1 _1,1.0,87994.46354999999,KETTLEMN,GATES,70.0,,150.0,voltage proxy 70 kV,0
NOM:34101_CERTANJ2_115_34116_LE GRAND_115_BR_1 _1,3.0,84014.75888,CERTANJ2,LEGRAND,115.0,,250.0,voltage proxy 115 kV,0
ITC:RP _Prager_Monta,1.0,70402.02232999999,RP,,,,,unknown,0
ITC:INTNEL,1.0,65705.53187,INTNEL,,,,,unknown,0
NOM:7430_MEN_SNJQJ_HELM_70,1.0,59313.12607,,,,,,unknown,0
NOM:24602_VICTOR  _115_24607_ROADWAY _115_BR_1 _1,1.0,54881.47459,VICTOR,ROADWAY,115.0,,250.0,voltage proxy 115 kV,0
NOM:34112_EXCHEQUR_115_34116_LE GRAND_115_BR_1 _1,1.0,47414.11202,EXCHEQUR,LEGRAND,115.0,,250.0,voltage proxy 115 kV,0
NOM:33543_AEC_TP2 _115_33540_TESLA   _115_BR_1 _1,2.0,43745.99907,TESLA,,115.0,,250.0,voltage proxy 115 kV,0
NOM:30300_TABLMTN _230_30330_RIO OSO _230_BR_1 _1,1.0,42890.17068,TABLMTN,RIOOSO,230.0,,700.0,voltage proxy 230 kV,0
NOM:92321_SYCA TP2_230_22832_SYCAMORE_230_BR_2 _1,1.0,40172.32445,SYCATP2,SYCAMORE,230.0,,700.0,voltage proxy 230 kV,0
NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1,2.0,39973.45382,PANOCHE,GATES,230.0,Midway -Los Banos,5400.0,WECC path 15,5
NOM:34882_SAN EMDO_70.0_34904_OLD RIVR_70.0_BR_1 _1,1.0,39320.58007,SANEMDO,OLDRIVR,70.0,,150.0,voltage proxy 70 kV,0
ITC:TAR BK E,1.0,33873.70564,TAR,,,,,unknown,0
NOM:34418_KINGSBRG_115_34405_FRWT TAP_115_BR_1 _1,2.0,33686.92931,KINGSBRG,FRWTTAP,115.0,,250.0,voltage proxy 115 kV,0
NOM:30515_WARNERVL_230_30800_WILSON  _230_BR_1 _1,2.0,29242.618989999995,WARNERVL,WILSON,230.0,,700.0,voltage proxy 230 kV,0
NOM:34860_TAFT    _70.0_34943_Q356TAP _70.0_BR_1 _1,1.0,28477.91656,TAFT,Q356TAP,70.0,,150.0,voltage proxy 70 kV,0
NOM:32214_RIO OSO _115_32244_BRNSWKT2_115_BR_2 _1,3.0,28162.817499999997,RIOOSO,BRNSWKT2,115.0,,250.0,voltage proxy 115 kV,0
NOM:7690-INYOKN_VOLTAGE_EX_NG,1.0,28136.954019999997,,,,,,unknown,0
NOM:24701_KRAMER  _230_24601_VICTOR  _230_BR_2 _1,1.0,27584.62119,KRAMER,VICTOR,230.0,,700.0,voltage proxy 230 kV,0
NOM:34880_SN BRNRD_70.0_39021_SC21ATP _70.0_BR_1 _1,1.0,23371.222689999995,SNBRNRD,SC21ATP,70.0,,150.0,voltage proxy 70 kV,0
NOM:31338_KONOCTI6_60.0_31344_EGLE RCK_60.0_BR_1 _1,1.0,21000.0,KONOCTI6,EGLERCK,60.0,,150.0,voltage proxy 60 kV,0
NOM:35107_DUMBARTN_115_35120_NEWARK D_115_BR_1 _1,1.0,20713.51503,DUMBARTN,NEWARKD,115.0,,250.0,voltage proxy 115 kV,0
NOM:32214_RIO OSO _115_32225_BRNSWKT1_115_BR_1 _1,4.0,20667.44405,RIOOSO,BRNSWKT1,115.0,,250.0,voltage proxy 115 kV,0
NOM:345kV CLCR-DMND1,2.0,19786.94474,,,345.0,,1300.0,voltage proxy 345 kV,0
NOM:24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1,1.0,19710.88236,NEENACH,TAP85,66.0,,,voltage 66 kV (no proxy),0
NOM:7450_CUYAMS_TAFT_70_1,1.0,18901.30964,,,,,,unknown,0
NOM:7410_CP24_NG,1.0,18496.053890000003,,,,,,unknown,0
NOM:22886_SUNCREST_230_22885_SUNCREST_500_XF_2 _P,1.0,18311.558999999997,SUNCREST,,500.0,,2500.0,voltage proxy 500 kV,0
NOM:34375_ULTPWRJ _115_34377_AIRPROD _115_BR_1 _1,2.0,17540.73345,ULTPWRJ,AIRPROD,115.0,,250.0,voltage proxy 115 kV,0
ITC:WMesaWT2_448 MVA,1.0,17400.181709999997,WMesaWT2,,,,448.0,ITC name (explicit MVA),0
NOM:22464_MIGUEL  _230_22468_MIGUEL  _500_XF_81,1.0,15649.85197,MIGUEL,,500.0,,2500.0,voltage proxy 500 kV,0
