node,archetype,spread,conc,marker,size_node,kstar_physical_line,kstar_rating_MW,kstar_rating_source,MCC_mid,MCC_eve,import_signal,export_signal,hours_covered,kstar_sum_abs_mu,kstar_contribution,top5_lines,top5_shares
VESTAL_6_N523,WHITE,31.73124151960784,0.2929272043548053,filled,2495496166.596,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-2.8794436559139784,0.3873752688172043,0.3873752688172043,2.8794436559139784,744,462128.91974000004,0.783498187995336,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | ITC:INTNEL | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:OMS_13913705_Pardee-Pastoria_NG,32% | 22% | 17% | 4% | 4%
VESTAL_6_N026,WHITE,31.73124151960784,0.2929272043548053,filled,2495496166.596,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-2.8794436559139784,0.3873752688172043,0.3873752688172043,2.8794436559139784,744,462128.91974000004,0.783498187995336,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | ITC:INTNEL | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:OMS_13913705_Pardee-Pastoria_NG,32% | 22% | 17% | 4% | 4%
BIGCRK3_2_B1,WHITE,31.73124151960784,0.2929272043548053,filled,2495496166.596,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-2.8794436559139784,0.3873752688172043,0.3873752688172043,2.8794436559139784,744,462128.91974000004,0.783498187995336,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | ITC:INTNEL | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:OMS_13913705_Pardee-Pastoria_NG,32% | 22% | 17% | 4% | 4%
BIGCRK2_2_B1,WHITE,31.73124151960784,0.2929272043548053,filled,2495496166.596,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-2.8794436559139784,0.3873752688172043,0.3873752688172043,2.8794436559139784,744,462128.91974000004,0.783498187995336,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | ITC:INTNEL | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:OMS_13913705_Pardee-Pastoria_NG,32% | 22% | 17% | 4% | 4%
BIGCRK1_2_B1,WHITE,31.73124151960784,0.2929272043548053,filled,2495496166.596,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-2.8794436559139784,0.3873752688172043,0.3873752688172043,2.8794436559139784,744,462128.91974000004,0.783498187995336,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | ITC:INTNEL | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:OMS_13913705_Pardee-Pastoria_NG,32% | 22% | 17% | 4% | 4%
DUCORGN4_7_N001,WHITE,31.73124151960784,0.2929272043548053,filled,2495496166.596,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-2.8794436559139784,0.3873752688172043,0.3873752688172043,2.8794436559139784,744,462128.91974000004,0.783498187995336,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | ITC:INTNEL | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:OMS_13913705_Pardee-Pastoria_NG,32% | 22% | 17% | 4% | 4%
VESTAL_6_N024,WHITE,31.73124151960784,0.2929272043548053,filled,2495496166.596,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-2.8794436559139784,0.3873752688172043,0.3873752688172043,2.8794436559139784,744,462128.91974000004,0.783498187995336,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | ITC:INTNEL | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:OMS_13913705_Pardee-Pastoria_NG,32% | 22% | 17% | 4% | 4%
REXFRD_7_NBT1,WHITE,31.73124151960784,0.2929272043548053,filled,2495496166.596,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-2.8794436559139784,0.3873752688172043,0.3873752688172043,2.8794436559139784,744,462128.91974000004,0.783498187995336,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | ITC:INTNEL | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:OMS_13913705_Pardee-Pastoria_NG,32% | 22% | 17% | 4% | 4%
TULARE60_6_N001,WHITE,31.73124151960784,0.2929272043548053,filled,2495496166.596,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-2.8794436559139784,0.3873752688172043,0.3873752688172043,2.8794436559139784,744,462128.91974000004,0.783498187995336,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | ITC:INTNEL | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:OMS_13913705_Pardee-Pastoria_NG,32% | 22% | 17% | 4% | 4%
TULARE60_6_N003,WHITE,31.73124151960784,0.2929272043548053,filled,2495496166.596,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-2.8794436559139784,0.3873752688172043,0.3873752688172043,2.8794436559139784,744,462128.91974000004,0.783498187995336,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | ITC:INTNEL | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:OMS_13913705_Pardee-Pastoria_NG,32% | 22% | 17% | 4% | 4%
LITLRKC1_7_N007,RED,34.002339705882356,0.2493697259275024,filled,2495496166.596,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-3.367363704301075,0.3800083602150538,0.3800083602150538,3.367363704301075,744,462128.91974000004,0.8322773276935915,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | ITC:INTNEL | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1,34% | 23% | 18% | 4% | 4%
LITLRKC1_7_N003,RED,34.002339705882356,0.2493697259275024,filled,2495496166.596,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-3.367363704301075,0.3800083602150538,0.3800083602150538,3.367363704301075,744,462128.91974000004,0.8322773276935915,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | ITC:INTNEL | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1,34% | 23% | 18% | 4% | 4%
LITLRKC1_7_N004,RED,34.002339705882356,0.2493697259275024,filled,2495496166.596,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-3.367363704301075,0.3800083602150538,0.3800083602150538,3.367363704301075,744,462128.91974000004,0.8322773276935915,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | ITC:INTNEL | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1,34% | 23% | 18% | 4% | 4%
PIUTE12_7_N002,RED,34.002339705882356,0.2493697259275024,filled,2495496166.596,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-3.367363704301075,0.3800083602150538,0.3800083602150538,3.367363704301075,744,462128.91974000004,0.8322773276935915,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | ITC:INTNEL | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1,34% | 23% | 18% | 4% | 4%
LITLRKC1_7_N005,RED,34.002339705882356,0.2493697259275024,filled,2495496166.596,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-3.367363704301075,0.3800083602150538,0.3800083602150538,3.367363704301075,744,462128.91974000004,0.8322773276935915,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | ITC:INTNEL | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1,34% | 23% | 18% | 4% | 4%
LITTLERK_6_N016,RED,34.002339705882356,0.2493697259275024,filled,2495496166.596,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-3.367363704301075,0.3800083602150538,0.3800083602150538,3.367363704301075,744,462128.91974000004,0.8322773276935915,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | ITC:INTNEL | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1,34% | 23% | 18% | 4% | 4%
