constraint_key,n_binding_intervals,sum_mu,sum_abs_mu,max_mu,min_mu,abs_sum_mu,type
NOM:24723_CONTROL _115_24865_TAP188  _115_BR_2 _1|Base Case,2272,768812.2122999999,768812.2122999999,2004.09822,0.0,768812.2122999999,NOM
NOM:39021_SC21ATP _70.0_34888_ARVIN   _70.0_BR_1 _1|PG1 WHELRG-WEEDPC 70,879,750760.39499,750760.39499,1856.91731,0.0,750760.39499,NOM
NOM:115kv SOC_BeBe|AP1 FC-MK_1 500,824,657078.01605,657078.01605,2765.09489,0.0,657078.01605,NOM
NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1|PG1 MOSSLD-LOSBNS 500,1821,491805.5702,491805.5702,1103.47984,0.0,491805.5702,NOM
NOM:31336_HPLND JT_60.0_31370_CLVRDLJT_60.0_BR_1 _1|PG1 EGLRK-SLVR-FLTN 115_M,702,465063.45817999996,465063.45817999996,962.32333,0.0,465063.45817999996,NOM
NOM:39021_SC21ATP _70.0_34888_ARVIN   _70.0_BR_1 _1|Base Case,303,405595.37805999996,405595.37805999996,4381.63662,0.0,405595.37805999996,NOM
NOM:115kv SOC_BeBe|Base Case,541,404008.64845000004,404008.64845000004,2371.95164,0.0,404008.64845000004,NOM
ITC:WMesaET1_448 MVA|I|PNM1 WSTMSA 345-115 BKT2,377,373012.03689,373012.03689,4153.99304,0.0,373012.03689,ITC
ITC:WMesaWT2_448 MVA|I|PNM1 WSTMSA 345-115 BKT1,363,371002.58794,371002.58794,3870.0854,0.0,371002.58794,ITC
NOM:7430_KTTLM_GATES_70_1|Base Case,2351,-274327.57867,274327.57867,0.0,-192.13071,274327.57867,NOM
NOM:30765_LOSBANOS_230_30766_PADR FLT_230_BR_1 _1|PG1 GATES-LOSBNS_1 500,1289,229136.14666,229136.14666,330.44962,0.0,229136.14666,NOM
NOM:115kv SOC_BeBe|PNM1 CABEZN-RIOPUERC 345,388,212254.69755,212254.69755,1491.43107,0.0,212254.69755,NOM
NOM:115kv SOC_BeBe|PNM1 SANJUAN-CABEZON 345,370,199784.61042,199784.61042,2543.12795,0.0,199784.61042,NOM
NOM:7430_CP6_NG|Base Case,986,-175343.22700999997,175343.22700999997,0.0,-1723.57271,175343.22700999997,NOM
NOM:31334_CLER LKE_60.0_31338_KONOCTI6_60.0_BR_1 _1|PG1 EGLRCK-REDBUD 115,142,157789.18078999998,157789.18078999998,1361.49545,0.0,157789.18078999998,NOM
NOM:39021_SC21ATP _70.0_34888_ARVIN   _70.0_BR_1 _1|PG1 MIDWAY-KERNPP 230 1,88,142730.18906,142730.18906,3993.29921,0.0,142730.18906,NOM
NOM:34321_MCSWAINJ_70.0_34232_EXCHEQUR_70.0_BR_1 _1|PG1 WILSON-LGRAND 115,1061,134607.23774,134607.23774,1470.17446,0.0,134607.23774,NOM
NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1|PG1 LOSBNS 500-230 BK1,776,111315.50440000002,111315.50440000002,472.27962,0.0,111315.50440000002,NOM
NOM:39021_SC21ATP _70.0_34888_ARVIN   _70.0_BR_1 _1|PG1 MIDWAY-KERNPP 230 3,65,104017.19675999999,104017.19675999999,3440.75077,0.0,104017.19675999999,NOM
NOM:33916_CURTISS _115_33917_FBERBORD_115_BR_1 _1|Base Case,1531,102196.19488,102196.19488,245.44042,0.0,102196.19488,NOM
NOM:39021_SC21ATP _70.0_34888_ARVIN   _70.0_BR_1 _1|PG1 MIDWAY-KERNPP 230 4,64,95705.93961,95705.93961,3309.76781,0.0,95705.93961,NOM
NOM:34418_KINGSBRG_115_34405_FRWT TAP_115_BR_1 _1|PG1 KNGBRG-WAUKNA 115,1711,90819.99339,90819.99339,350.14579,0.0,90819.99339,NOM
NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1|PG1 MNDOTA-PNOCHE 115,3098,89271.37724,89271.37724,200.00274,0.0,89271.37724,NOM
NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1|PG1 GATES-LOSBNS_1 500,640,88618.35265999999,88618.35265999999,588.4713,0.0,88618.35265999999,NOM
NOM:34112_EXCHEQUR_115_34116_LE GRAND_115_BR_1 _1|Base Case,2528,83166.59246,83166.59246,148.88694,0.0,83166.59246,NOM
NOM:32214_RIO OSO _115_32225_BRNSWKT1_115_BR_1 _1|PG1 BELL-HIGGNS 115,97,79177.07873000001,79177.07873000001,1696.34533,0.0,79177.07873000001,NOM
ITC:ABO S_COMP_WESP1|I|Base Case,145,76915.46272,76915.46272,1649.37129,0.0,76915.46272,ITC
NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1|Base Case,678,74468.8309,74468.8309,1270.15805,0.0,74468.8309,NOM
NOM:24602_VICTOR  _115_24607_ROADWAY _115_BR_1 _1|Base Case,793,67709.86138,67709.86138,118.7589,0.0,67709.86138,NOM
NOM:30765_LOSBANOS_230_30766_PADR FLT_230_BR_1 _1|Base Case,596,63519.49434,63519.49434,238.16686,0.0,63519.49434,NOM
NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1|SD1 SXCYN-ARTRAN 230,175,57723.593830000005,57723.593830000005,578.65602,0.0,57723.593830000005,NOM
NOM:32214_RIO OSO _115_32225_BRNSWKT1_115_BR_1 _1|PG1 PLACER-BELL 115,79,56995.852170000006,56995.852170000006,1494.84609,0.0,56995.852170000006,NOM
NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3|Base Case,1238,56883.47328,56883.47328,146.23386,0.0,56883.47328,NOM
NOM:33543_AEC_TP2 _115_33540_TESLA   _115_BR_1 _1|PG1 TESLA-SCHLTE_1 115_M,455,50736.43847999999,50736.43847999999,758.43989,0.0,50736.43847999999,NOM
NOM:115kv SOC_BeBe|PNM1 FC-PINTADO 345,98,47297.43443,47297.43443,1582.54494,0.0,47297.43443,NOM
NOM:115kv EB Fron|PNM1 CABEZN-RIOPUERC 345,69,45393.42579,45393.42579,968.33734,0.0,45393.42579,NOM
NOM:115kv EB Fron|AP1 FC-MK_1 500,61,43878.124,43878.124,941.43908,0.0,43878.124,NOM
NOM:33936_MELNS JB_115_33951_VLYHMTP1_115_BR_1 _1|PG1 STANIS-MELONS-MANTEC 115 1,457,42634.603630000005,42634.603630000005,481.39103,0.0,42634.603630000005,NOM
NOM:7430_MEN_SNJQJ_HELM_70|Base Case,2103,-42001.13603,42001.13603,0.0,-175.35923,42001.13603,NOM
ITC:CAL-DRM_2 120|I|Base Case,54,39754.160820000005,39754.160820000005,1411.28319,0.0,39754.160820000005,ITC
NOM:34418_KINGSBRG_115_34428_CONTADNA_115_BR_1 _1|Base Case,84,38166.550890000006,38166.550890000006,1982.56772,0.0,38166.550890000006,NOM
ITC:SRP_NET_ITC|I|Base Case,774,-38056.8473,38056.8473,0.0,-984.53864,38056.8473,ITC
NOM:24723_CONTROL _115_24866_TAP189  _115_BR_1 _1|Base Case,76,36762.33838,36762.33838,1197.6798,0.0,36762.33838,NOM
NOM:115kv SOC_BeBe|AP1 CH-FC_2 345,73,36634.24711,36634.24711,1839.64586,0.0,36634.24711,NOM
ITC:CC XFMR8 A  69KV|I|AP1 CC 230-69 BK 6,131,34049.13449,34049.13449,1000.0,0.0,34049.13449,ITC
ITC:WMesaET1_448 MVA|I|Base Case,27,30789.56973,30789.56973,4601.92196,0.0,30789.56973,ITC
NOM:22886_SUNCREST_230_92861_SUNC TP2_230_BR_2 _1|SD1 SNCRST-SXCYN_1 230,85,29050.16596,29050.16596,464.42152,0.0,29050.16596,NOM
