name,lat,lon,archetype,spread,size,controlling_constraint,rating,rating_source,conc,placed_flag,marker,MCC_mid,MCC_eve,import_signal,export_signal,hours_covered,aggregate_hub,abbrev,eia_plant_name,eia_match_score,kstar_contribution,top5_lines,top5_shares
SCARLT_7_CN2,,,RED,172.28771196078435,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,0.1211391929896148,unplaced,filled,-24.899632279569897,-4.561931922043011,-4.561931922043011,24.899632279569897,744,TH_NP15_GEN-APND,SCARLT,,,5.269929245170754,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:34418_KINGSBRG_115_34428_CONTADNA_115_BR_1 _1,41% | 24% | 9% | 6% | 2%
SCARLT_7_N001,,,RED,172.28771196078435,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,0.1211391929896148,unplaced,filled,-24.899632279569897,-4.561931922043011,-4.561931922043011,24.899632279569897,744,TH_NP15_GEN-APND,SCARLT,,,5.269929245170754,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:34418_KINGSBRG_115_34428_CONTADNA_115_BR_1 _1,41% | 24% | 9% | 6% | 2%
SCARLT_7_N002,,,RED,172.28771196078435,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,0.1211391929896148,unplaced,filled,-24.899632279569897,-4.561931922043011,-4.561931922043011,24.899632279569897,744,TH_NP15_GEN-APND,SCARLT,,,5.269929245170754,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:34418_KINGSBRG_115_34428_CONTADNA_115_BR_1 _1,41% | 24% | 9% | 6% | 2%
SCARLT_7_N005,,,RED,172.28771196078435,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,0.1211391929896148,unplaced,filled,-24.899632279569897,-4.561931922043011,-4.561931922043011,24.899632279569897,744,TH_NP15_GEN-APND,SCARLT,,,5.269929245170754,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:34418_KINGSBRG_115_34428_CONTADNA_115_BR_1 _1,41% | 24% | 9% | 6% | 2%
SCARLT_7_N010,,,RED,172.28771196078435,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,0.1211391929896148,unplaced,filled,-24.899632279569897,-4.561931922043011,-4.561931922043011,24.899632279569897,744,TH_NP15_GEN-APND,SCARLT,,,5.269929245170754,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:34418_KINGSBRG_115_34428_CONTADNA_115_BR_1 _1,41% | 24% | 9% | 6% | 2%
LUNAVL_7_ND003,,,RED,172.28771196078435,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,0.1211391929896148,unplaced,filled,-24.899632279569897,-4.561931922043011,-4.561931922043011,24.899632279569897,744,TH_NP15_GEN-APND,LUNAVL,,,5.269929245170754,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:34418_KINGSBRG_115_34428_CONTADNA_115_BR_1 _1,41% | 24% | 9% | 6% | 2%
Q526C2_7_N006,,,RED,224.38266764705884,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,0.1265257788648845,unplaced,filled,-32.1868594623656,-9.72717426747312,-9.72717426747312,32.1868594623656,744,TH_NP15_GEN-APND,Q,,,5.711646884147634,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1,36% | 21% | 10% | 8% | 5%
SCHINDLR_1_N021,,,RED,224.38266764705884,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,0.1265257788648845,unplaced,filled,-32.1868594623656,-9.72717426747312,-9.72717426747312,32.1868594623656,744,TH_NP15_GEN-APND,SCHINDLR,,,5.711646884147634,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1,36% | 21% | 10% | 8% | 5%
DOSPALS_7_N002,,,RED,218.1532205882353,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,0.1367760385858537,unplaced,filled,-28.443384150537636,-9.443627614247312,-9.443627614247312,28.443384150537636,744,TH_NP15_GEN-APND,DOSPALS,,,5.713114977485046,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1,38% | 23% | 11% | 8% | 6%
SANLUIS8_7_B1,,,WHITE,154.22282274509806,1655356659.57,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,0.1552175617377306,unplaced,filled,31.687336129032253,-0.4155969825268817,-0.4155969825268817,-31.687336129032253,744,TH_NP15_GEN-APND,SANLUIS,,,10.726769015458736,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2,67% | 9% | 7% | 3% | 1%
